Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/14/2024 14:00:49.132",60.0006,60.0006,1,1,0,0,0,0,3.889195,0,0,0,0,0,,2.35491E-05,,,,0,0,0,24.42383,-0.009385943
2,"	03/14/2024 14:01:49.133",120.0016,120.0016,1,1,0,0,0,0,3.889205,0,0,0,0,0,,2.4458E-05,,,,,,,24.11276,-0.006485581
3,"	03/14/2024 14:01:49.134",120.0023,120.0023,1,1,0,0,0,0,3.889205,0,0,0,0,0,,2.4458E-05,0,0,0,,,,24.11276,-0.006485581
4,"	03/14/2024 14:01:51.201",122.0702,2.0304,1,2,0,0,0,2.86102E-05,3.761593,0.00010762,0,0,0,0,,2.458075047,0.254100412,0,0,,,,24.11276,-0.006485581
5,"	03/14/2024 14:02:51.242",182.111,60.0008,1,3,0,0,0,0,3.88911,0,0,0,0,0,,2.10191E-05,,,,,,,24.06701668,0.008284425
6,"	03/14/2024 14:02:51.244",182.1125,60.0023,1,3,0,0,0,0,3.88911,0,0,0,0,0,,2.10191E-05,0.254100412,0,0,,,,24.067019,0.008284511
7,"	03/14/2024 14:02:51.287",182.1556,0.0055,1,4,0,0,0,-0.09989482,3.863997,-0.385993285,0,1.30418E-07,0,5.03936E-07,,-0.002174833,0.254100412,0,0,,,,24.06709036,0.008287145
8,"	03/14/2024 14:03:51.327",242.1957,60.0007,1,5,0,0,0,0,3.889014,0,0,1.66491E-07,0,6.43322E-07,,1.17746E-05,,,,,,,24.16650565,0.011956686
9,"	03/14/2024 14:03:51.328",242.1971,60.0021,1,5,0,0,0,0,3.889009,0,0,1.66491E-07,0,6.43322E-07,,1.17746E-05,0.254100412,0,0,,,,24.1665056,0.011954526
10,"	03/14/2024 14:04:00.878",251.747,9.5139,1,6,0,0,0,-0.0422411,3.878416,-0.163828558,1.39856E-07,2.97999E-06,5.43913E-07,1.1573E-05,,-0.001186866,,,,,,,24.16617,-0.003910661
