Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/13/2024 21:34:16.343",60.0007,60.0007,1,1,0,0,0,0,3.919447,0,0,0,0,0,,1.7425E-05,,,,0,0,0,24.37436,-0.00446856
2,"	03/13/2024 21:35:16.344",120.0014,120.0014,1,1,0,0,0,0,3.919477,0,0,0,0,0,,5.89522E-05,,,,,,,24.59389,-0.01559615
3,"	03/13/2024 21:35:16.346",120.0029,120.0029,1,1,0,0,0,0,3.919477,0,0,0,0,0,,5.89522E-05,0,0,0,,,,24.5939144,-0.01557728
4,"	03/13/2024 21:35:18.424",122.0815,2.0403,1,2,0,0,0,-2.95639E-05,3.846755,-0.000113725,0,0,0,0,,1.431637049,0.1454999,0,0,,,,24.62772,0.01057208
5,"	03/13/2024 21:36:18.462",182.119,60.0002,1,3,0,0,0,0,3.919283,0,0,0,0,0,,1.84914E-05,,,,,,,24.75284,-0.003004074
6,"	03/13/2024 21:36:18.463",182.1204,60.0016,1,3,0,0,0,0,3.919283,0,0,0,0,0,,1.84914E-05,0.1454999,0,0,,,,24.75284289,-0.003003123
7,"	03/13/2024 21:36:48.503",212.1601,30.0011,1,4,0,0,0,-0.1000203,3.903261,-0.390405336,0,0.000833299,0,0.003253022,,-6.01415E-05,,0.000185546,5389.504883,,,,24.81496,0.01740277
8,"	03/13/2024 21:37:18.504",242.1612,60.0022,1,4,0,0,0,-0.1000199,3.902131,-0.390290752,0,0.001666745,0,0.006505711,,-5.93513E-05,,,,,,,24.82139,0.02151906
9,"	03/13/2024 21:37:48.504",272.1617,90.0027,1,4,0,0,0,-0.1000174,3.901767,-0.390244591,0,0.002500072,0,0.009757328,,-1.9361E-06,,,,,,,24.78245,-0.001004934
10,"	03/13/2024 21:38:18.506",302.1628,120.0038,1,4,0,0,0,-0.1000178,3.90086,-0.390155435,0,0.003333414,0,0.01300849,,-3.7578E-05,,,,,,,24.77241,-0.006697178
11,"	03/13/2024 21:38:48.506",332.1632,150.0042,1,4,0,0,0,-0.1000172,3.900505,-0.390117589,0,0.004166702,0,0.01625898,,5.25543E-06,,0,0,,,,24.73347486,0.024203555
12,"	03/13/2024 21:39:03.908",347.5653,165.4063,1,4,0,0,0,-0.1000149,3.899983,-0.39005641,0,0.004594608,0,0.01792799,,-2.68303E-05,0.1454999,0,0,,,,24.68520768,-0.003372252
13,"	03/13/2024 21:40:03.948",407.6048,60.0009,1,5,0,0,0,0,3.916413,0,0,0.00459463,0,0.01792807,,7.90185E-08,,,,,,,24.76971,-0.009709597
14,"	03/13/2024 21:40:03.949",407.6062,60.0023,1,5,0,0,0,0,3.916413,0,0,0.00459463,0,0.01792807,,7.90185E-08,0.1454999,0,0,,,,24.76971,-0.009709597
15,"	03/13/2024 21:40:04.002",407.6589,0.0119,1,6,0,0,0,-1.127551,3.752796,-4.231468883,1.90814E-10,0.004594651,7.47358E-10,0.01792815,,-0.01388525,,,,,,,24.76971244,-0.009709597
16,"	03/13/2024 21:40:04.495",408.152,0.505,1,6,0,0,0,-0.7193346,3.810088,-2.740728127,1.90814E-10,0.004748787,7.47358E-10,0.01850626,,,,,,,,,24.76971,-0.009709597
17,"	03/13/2024 21:40:04.993",408.6502,1.0032,1,6,0,0,0,-0.5308762,3.839368,-2.038229094,1.90814E-10,0.004848262,7.47358E-10,0.01888525,,,,,,,,,24.76971,-0.009709597
18,"	03/13/2024 21:40:05.188",408.8454,1.1984,1,6,0,0,0,-0.454772,3.849486,-1.750638447,1.90814E-10,0.004873205,7.47358E-10,0.01898124,,0.1704835,,-0.001550918,-295.3669128,,,,24.76971245,-0.009709597
19,"	03/13/2024 21:40:05.497",409.1542,1.5072,1,6,0,0,0,-0.2859573,3.872935,-1.107494036,1.90814E-10,0.004912032,7.47358E-10,0.01913066,,,,,,,,,24.76971,-0.009709597
20,"	03/13/2024 21:40:05.995",409.6526,2.0056,1,6,0,0,0,-0.1778755,3.88868,-0.691700899,1.90814E-10,0.004951549,7.47358E-10,0.01928371,,,,,,,,,24.76971245,-0.009709597
21,"	03/13/2024 21:40:06.499",410.1558,2.5088,1,6,0,0,0,-0.1092129,3.898915,-0.425811814,1.90814E-10,0.004976356,7.47358E-10,0.01938018,,0.020337351,,-0.002520795,-399.9341125,,,,24.77366941,-0.009709597
22,"	03/13/2024 21:40:07.496",411.1534,3.5064,1,6,0,0,0,-0.04162312,3.909142,-0.162710687,1.90814E-10,0.005000542,7.47358E-10,0.01947455,,0.004142985,,-0.002211719,-418.5378113,,,,24.7736702,0.001235699
23,"	03/13/2024 21:40:17.497",421.1543,13.5073,1,6,0,0,0,-0.02449608,3.912097,-0.095831041,1.90814E-10,0.005036749,7.47358E-10,0.01961621,,0.002675888,,0.004261347,-421.5985107,,,,24.84001284,0.00712508
24,"	03/13/2024 21:40:27.498",431.1554,23.5084,1,6,0,0,0,-0.05011559,3.908474,-0.195875481,1.90814E-10,0.005141513,7.47358E-10,0.02002584,,-0.00037498,,,,,,,24.91072393,0.010480251
25,"	03/13/2024 21:40:37.499",441.1565,33.5095,1,6,0,0,0,-0.06725407,3.905872,-0.262685789,1.90814E-10,0.005304602,7.47358E-10,0.02066303,,-0.000292957,,0.03016548,,,,,24.90504,0.01819313
26,"	03/13/2024 21:40:47.500",451.1572,43.5102,1,6,0,0,0,-0.07899284,3.903816,-0.308373513,1.90814E-10,0.00550744,7.47358E-10,0.02145505,,-0.000215635,,,,,,,24.92397,-0.005793571
27,"	03/13/2024 21:40:57.500",461.1573,53.5103,1,6,0,0,0,-0.08803272,3.902401,-0.343538975,1.90814E-10,0.005739074,7.47358E-10,0.0223591,,-0.000195172,,0.09295661,,,,,25.01070317,0.016949545
28,"	03/13/2024 21:41:07.500",471.1573,63.5103,1,6,0,0,0,-0.09515476,3.900783,-0.37117807,1.90814E-10,0.005993333,7.47358E-10,0.02335109,,-0.000119324,,,12.62250996,,,,25.05922841,0.011473949
29,"	03/13/2024 21:41:17.501",481.1584,73.5114,1,6,0,0,0,-0.1026373,3.899512,-0.400235383,1.90814E-10,0.00626778,7.47358E-10,0.02442148,,-0.000119975,,,,,,,25.13207554,0.016388248
30,"	03/13/2024 21:41:27.502",491.1593,83.5123,1,6,0,0,0,-0.1091986,3.898249,-0.425683333,1.90814E-10,0.006561181,7.47358E-10,0.02556542,,-2.85668E-05,,,,,,,25.14388263,-0.001553118
31,"	03/13/2024 21:41:37.503",501.16,93.513,1,6,0,0,0,-0.1162758,3.896928,-0.453118421,1.90814E-10,0.006874012,7.47358E-10,0.02678471,,-0.00018133,,0.200164005,,,,,25.17243547,0.000557878
32,"	03/13/2024 21:41:47.504",511.161,103.514,1,6,0,0,0,-0.1237984,3.894231,-0.482099567,1.90814E-10,0.007207109,7.47358E-10,0.02808254,,-3.62351E-05,,,,,,,25.20925294,-0.00923743
33,"	03/13/2024 21:41:57.504",521.1611,113.5141,1,6,0,0,0,-0.1319408,3.894028,-0.51378117,1.90814E-10,0.007561572,7.47358E-10,0.0294631,,-0.000181937,,,,,,,25.29343712,0.005240296
34,"	03/13/2024 21:42:07.505",531.162,123.515,1,6,0,0,0,-0.1407557,3.891785,-0.547790922,1.90814E-10,0.007939759,7.47358E-10,0.03093546,,-5.5754E-05,,,,,,,25.32343834,0.013936671
35,"	03/13/2024 21:42:17.505",541.1621,133.5151,1,6,0,0,0,-0.1503029,3.890484,-0.584751028,1.90814E-10,0.008343072,7.47358E-10,0.03250497,,-0.000135906,,0.230584204,,,,,25.30882,0.005688667
