Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/23/2024 19:49:12.768",60.0009,60.0009,1,1,0,0,0,0,3.864239,0,0,0,0,0,,4.65485E-05,,,,0,0,0,25.90985,0.009439588
2,"	03/23/2024 19:50:12.767",120.0001,120.0001,1,1,0,0,0,0,3.864246,0,0,0,0,0,,-4.84387E-05,,,,,,,25.98101,0.01113474
3,"	03/23/2024 19:50:12.770",120.0031,120.0031,1,1,0,0,0,0,3.864302,0,0,0,0,0,,-4.84387E-05,0,0,0,,,,25.98104193,0.011128638
4,"	03/23/2024 19:50:14.845",122.0775,2.0368,1,2,0,0,0,-2.86102E-05,3.701804,-0.000105909,0,0,0,0,,3.196151018,0.323304296,0,0,,,,26.00311554,0.006909574
5,"	03/23/2024 19:51:14.886",182.1184,60.0008,1,3,0,0,0,0,3.864235,0,0,0,0,0,,-6.71663E-07,,,,,,,25.90328,-0.003281832
6,"	03/23/2024 19:51:14.887",182.1198,60.0022,1,3,0,0,0,0,3.864219,0,0,0,0,0,,-6.71663E-07,0.323304296,0,0,,,,25.90328095,-0.003281554
7,"	03/23/2024 19:51:14.932",182.1653,0.0063,1,4,0,0,0,-0.09988326,3.832018,-0.38275445,0,1.52537E-07,0,5.85219E-07,,-0.002743964,0.323304296,0,0,,,,25.90331187,-0.003272504
8,"	03/23/2024 19:52:14.975",242.2077,60.0014,1,5,0,0,0,0,3.86411,0,0,1.88606E-07,0,7.23435E-07,,4.09319E-05,,,,,,,25.94410699,0.00866888
9,"	03/23/2024 19:52:14.976",242.2091,60.0028,1,5,0,0,0,0,3.86411,0,0,1.88606E-07,0,7.23435E-07,,4.09319E-05,0.323304296,0,0,,,,25.94410699,0.00866888
10,"	03/23/2024 19:52:15.591",242.8237,0.5754,1,6,0,0,0,-0.02943707,3.854057,-0.113452146,0,3.02493E-06,0,1.16655E-05,,-0.01913568,,6.78063E-05,,,,,25.94410706,0.0086689
11,"	03/23/2024 19:52:23.085",250.3174,8.0691,1,6,0,0,0,-0.05725574,3.843987,-0.22009032,0,0.000107022,0,0.000411792,,-0.000949981,,0.004363299,3482.004883,,,,26.00659,0.009378195
12,"	03/23/2024 19:52:33.086",260.3184,18.0701,1,6,0,0,0,-0.06315041,3.84242,-0.242650398,0,0.000273751,0,0.001052741,,-0.000136375,,0.035987481,96.78488159,,,,25.94541,-0.0226301
13,"	03/23/2024 19:52:43.087",270.3195,28.0712,1,6,0,0,0,-0.06764984,3.841585,-0.259882611,0,0.000454788,0,0.00174835,,0.002380265,,,,,,,26.02718844,0.013655657
14,"	03/23/2024 19:52:48.884",276.117,33.8687,1,6,0,0,0,-0.06947803,3.831379,-0.266196665,0,0.000564834,0,0.002171053,,-0.002213051,,,,,,,26.0373,0.008906126
15,"	03/23/2024 19:52:48.923",276.1554,33.9071,1,6,0,0,0,-0.06940556,3.841453,-0.266618197,0,0.000565611,0,0.002174038,,,,,,,,,26.0373,0.008906126
16,"	03/23/2024 19:52:49.387",276.6202,34.3719,1,6,0,0,0,-0.06951714,3.828075,-0.266116826,0,0.000574582,0,0.00220849,,-0.031650141,,-0.000205721,-1873.093018,,,,26.0373,0.008906126
17,"	03/23/2024 19:52:49.394",276.6265,34.3782,1,6,0,0,0,-0.06975746,3.839805,-0.267855044,0,0.000574676,0,0.002208852,,,,,,,,,26.03726882,0.008899228
18,"	03/23/2024 19:52:59.394",286.6268,44.3785,1,6,0,0,0,-0.07278156,3.839432,-0.27943985,0,0.000772616,0,0.002968943,,-0.000195195,,-0.000145663,-6865.138184,,,,25.98778,-0.0020504
19,"	03/23/2024 19:53:09.394",296.6268,54.3785,1,6,0,0,0,-0.07581997,3.837704,-0.290974602,0,0.000979358,0,0.003762581,,-0.00019007,,,,,,,26.03221849,0.004619889
20,"	03/23/2024 19:53:19.394",306.627,64.3787,1,6,0,0,0,-0.07923126,3.837028,-0.304012563,0,0.001195034,0,0.004590254,,-0.000141961,,0.109262802,,,,,26.11378207,0.020332179
21,"	03/23/2024 19:53:29.394",316.627,74.3787,1,6,0,0,0,-0.08302498,3.835622,-0.31845244,0,0.001419944,0,0.005453069,,-0.000219715,,,,,,,26.07066388,-0.003980751
22,"	03/23/2024 19:53:39.395",326.628,84.3797,1,6,0,0,0,-0.08670139,3.83477,-0.332479889,0,0.001655107,0,0.006354891,,,,,,,,,26.05060216,-0.013179091
23,"	03/23/2024 19:53:49.396",336.629,94.3807,1,6,0,0,0,-0.09117985,3.832992,-0.349491636,0,0.001901735,0,0.007300301,,-0.000217419,,,7.797763824,,,,26.12165,0.005156994
24,"	03/23/2024 19:53:59.396",346.6291,104.3808,1,6,0,0,0,-0.09548283,3.831181,-0.365812004,0,0.002160813,0,0.00829301,,-0.000209555,,-0.00027688,,,,,26.12539,0.00222683
25,"	03/23/2024 19:54:09.396",356.6292,114.3809,1,6,0,0,0,-0.1011524,3.828978,-0.387310314,0,0.002433414,0,0.009337039,,-0.000234809,,-0.000489854,,,,,26.18462885,-0.004752209
26,"	03/23/2024 19:54:19.396",366.6293,124.381,1,6,0,0,0,-0.1065264,3.826978,-0.407674189,0,0.002721229,0,0.01043876,,-0.000206842,,,,,,,26.19215,-0.001528263
27,"	03/23/2024 19:54:29.397",376.6302,134.3819,1,6,0,0,0,-0.1124468,3.824683,-0.430073364,0,0.003025568,0,0.01160308,,-0.000302078,,0.090837717,,,,,26.2705,0.02155125
28,"	03/23/2024 19:54:39.397",386.6303,144.382,1,6,0,0,0,-0.119442,3.820952,-0.456382149,0,0.00334761,0,0.01283438,,-0.000273771,,-0.00039202,11.02863026,,,,26.16317,0.005690455
29,"	03/23/2024 19:54:49.398",396.6312,154.3829,1,6,0,0,0,-0.1262255,3.819176,-0.4820774,0,0.003688891,0,0.01413837,,-0.000109834,,0.080012918,,,,,26.11873,-0.006446242
