Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/24/2024 12:11:11.116",60.0007,60.0007,1,1,0,0,0,0,3.887234,0,0,0,0,0,,-3.89195E-05,,,,0,0,0,26.05435,0.005147457
2,"	03/24/2024 12:12:11.116",120.0006,120.0006,1,1,0,0,0,0,3.887107,0,0,0,0,0,,-2.52859E-06,,,,,,,26.15996,0.000532866
3,"	03/24/2024 12:12:11.117",120.002,120.002,1,1,0,0,0,0,3.887107,0,0,0,0,0,,-2.52859E-06,0,0,0,,,,26.15996,0.000532866
4,"	03/24/2024 12:12:13.197",122.0813,2.04,1,2,0,0,0,-0.000510693,3.843138,-0.001962662,0,0,0,0,,0.85550642,0.086933188,0,0,,,,26.15996,0.000532866
5,"	03/24/2024 12:13:13.237",182.1212,60.0007,1,3,0,0,0,0,3.887264,0,0,0,0,0,,1.78201E-05,,,,,,,26.19363,0.01043439
6,"	03/24/2024 12:13:13.238",182.1227,60.0022,1,3,0,0,0,0,3.887264,0,0,0,0,0,,1.78201E-05,0.086933188,0,0,,,,26.19363168,0.010434402
7,"	03/24/2024 12:13:13.281",182.1651,0.0055,1,4,0,0,0,-0.09985834,3.877816,-0.387232269,0,0,0,0,,1.78201E-05,0.086933188,0,0,,,,26.19367917,0.01043473
8,"	03/24/2024 12:14:13.321",242.2051,60.0008,1,5,0,0,0,0,3.88716,0,0,1.60883E-07,0,6.23874E-07,,2.78961E-05,,,,,,,26.26092,0.0108999
9,"	03/24/2024 12:14:13.322",242.2065,60.0022,1,5,0,0,0,0,3.88716,0,0,1.60883E-07,0,6.23874E-07,,2.78961E-05,0.086933188,0,0,,,,26.26091723,0.010899803
10,"	03/24/2024 12:14:23.361",252.246,10.0002,1,6,0,0,0,-0.0611124,3.881902,-0.237232348,1.1346E-07,1.64E-05,4.4103E-07,6.36779E-05,,-0.000178128,,,,,,,26.24105283,0.010205514
11,"	03/24/2024 12:14:33.363",262.2471,20.0013,1,6,0,0,0,-0.09245014,3.878459,-0.358564078,1.1346E-07,0.000268593,4.4103E-07,0.001041868,,-0.000187717,,0.004095257,85.03117371,,,,26.24696,-0.008975863
12,"	03/24/2024 12:14:43.363",272.2478,30.002,1,6,0,0,0,-0.09167385,3.878122,-0.355522375,1.1346E-07,0.0005236,4.4103E-07,0.002030847,,,,,,,,,26.26461,-0.02010405
13,"	03/24/2024 12:14:53.363",282.2478,40.002,1,6,0,0,0,-0.09187126,3.87835,-0.356308901,1.1346E-07,0.000778259,4.4103E-07,0.003018413,,-1.89249E-05,,,,,,,26.23248,-0.001767874
14,"	03/24/2024 12:15:03.365",292.2491,50.0033,1,6,0,0,0,-0.09360313,3.877684,-0.36296336,1.1346E-07,0.001036359,4.4103E-07,0.004019236,,7.6653E-06,,,,,,,26.26513,0.01741171
15,"	03/24/2024 12:15:13.365",302.2495,60.0037,1,6,0,0,0,-0.09676456,3.878574,-0.375308507,1.1346E-07,0.001301142,4.4103E-07,0.005045864,,-7.33389E-05,,0.246676907,,,,,26.24279426,0.016880637
16,"	03/24/2024 12:15:23.366",312.2505,70.0047,1,6,0,0,0,-0.1004648,3.876625,-0.389464355,1.1346E-07,0.001575205,4.4103E-07,0.006108338,,6.00585E-05,,,,,,,26.19177,-0.01464367
17,"	03/24/2024 12:15:33.366",322.2508,80.005,1,6,0,0,0,-0.1053915,3.875161,-0.408409031,1.1346E-07,0.001860824,4.4103E-07,0.007215444,,-9.19455E-05,,,,,,,26.2146,0.01096129
18,"	03/24/2024 12:15:43.367",332.2518,90.006,1,6,0,0,0,-0.1107178,3.874914,-0.429021953,1.1346E-07,0.002160741,4.4103E-07,0.00837778,,,,,,,,,26.21214,0.01066148
19,"	03/24/2024 12:15:53.367",342.2519,100.0061,1,6,0,0,0,-0.1167736,3.873665,-0.452341807,1.1346E-07,0.002476787,4.4103E-07,0.0096024,,-3.04269E-06,,,,,,,26.18911,0.002993941
20,"	03/24/2024 12:16:03.368",352.2525,110.0067,1,6,0,0,0,-0.1241713,3.874987,-0.481162173,1.1346E-07,0.002811198,4.4103E-07,0.0108979,,-8.69861E-05,,,,,,,26.16355,-0.001706481
21,"	03/24/2024 12:16:13.369",362.2535,120.0077,1,6,0,0,0,-0.1319771,3.872775,-0.511117613,1.1346E-07,0.00316606,4.4103E-07,0.01227233,,-0.000569459,,,,,,,26.12231,-0.001695752
22,"	03/24/2024 12:16:23.369",372.2537,130.0079,1,6,0,0,0,-0.1403046,3.871354,-0.543168774,1.1346E-07,0.003542921,4.4103E-07,0.01373159,,4.02994E-05,,,,,,,26.05873553,-0.01694366
23,"	03/24/2024 12:16:33.370",382.2548,140.009,1,6,0,0,0,-0.1496077,3.870767,-0.579096548,1.1346E-07,0.003944586,4.4103E-07,0.01528648,,,,0.454944789,0,,,,26.09848,0.01119256
24,"	03/24/2024 12:16:43.370",392.2549,150.0091,1,6,0,0,0,-0.1595869,3.869193,-0.617472516,1.1346E-07,0.004372577,4.4103E-07,0.01694278,,-0.00011661,,,2.560106039,,,,26.08129137,0.005981378
25,"	03/24/2024 12:16:53.372",402.2563,160.0105,1,6,0,0,0,-0.1699619,3.868227,-0.657451211,1.1346E-07,0.00482885,4.4103E-07,0.01870799,,-0.000167045,,,,,,,26.05503,-0.008206964
26,"	03/24/2024 12:17:03.372",412.2566,170.0108,1,6,0,0,0,-0.1812668,3.866951,-0.700949834,1.1346E-07,0.00531569,4.4103E-07,0.02059083,,-0.000187296,,,,,,,26.01863707,0.008677671
27,"	03/24/2024 12:17:13.372",422.257,180.0112,1,6,0,0,0,-0.1931849,3.865487,-0.74675372,1.1346E-07,0.005834924,4.4103E-07,0.02259824,,,,0.362154007,,,,,26.02106855,0.013122514
28,"	03/24/2024 12:17:23.373",432.2577,190.0119,1,6,0,0,0,-0.2062464,3.86397,-0.796929902,1.1346E-07,0.006388295,4.4103E-07,0.02473682,,-0.000173228,,,,,,,26.00809,0.01083434
