Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/22/2024 23:51:12.495",60.0007,60.0007,1,1,0,0,0,0,3.886975,0,0,0,0,0,,8.4561E-06,,,,0,0,0,26.31199,0.004450679
2,"	03/22/2024 23:52:12.496",120.0014,120.0014,1,1,0,0,0,0,3.886848,0,0,0,0,0,,-1.33542E-05,,,,,,,26.31199,0.004450679
3,"	03/22/2024 23:52:12.497",120.0028,120.0028,1,1,0,0,0,0,3.886848,0,0,0,0,0,,-1.33542E-05,0,0,0,,,,26.27719,-0.006733537
4,"	03/22/2024 23:52:14.575",122.0806,2.0384,1,2,0,0,0,-0.000209808,3.842673,-0.000806225,0,0,0,0,,0.81719929,0.088198781,0,0,,,,26.29648,0.006026626
5,"	03/22/2024 23:53:14.614",182.1197,60.0017,1,3,0,0,0,0,3.88722,0,0,0,0,0,,-1.65962E-05,,,,,,,26.16759,-0.004741549
6,"	03/22/2024 23:53:14.615",182.1212,60.0032,1,3,0,0,0,0,3.88722,0,0,0,0,0,,-1.65962E-05,0.088198781,0,0,,,,26.16758628,-0.004740872
7,"	03/22/2024 23:53:14.659",182.1651,0.0071,1,4,0,0,0,-0.09989566,3.877668,-0.387362204,0,0,0,0,,-1.65962E-05,0.088198781,0,0,,,,26.16747752,-0.004721067
8,"	03/22/2024 23:54:14.702",242.2075,60.0016,1,5,0,0,0,0,3.886976,0,0,2.08116E-07,0,8.07004E-07,,2.44992E-06,0.088198781,0,0,,,,26.01872,0.02236664
9,"	03/22/2024 23:54:24.744",252.2494,10.001,1,6,0,0,0,-0.04277325,3.883448,-0.166107692,9.74969E-08,8.71603E-06,3.78983E-07,3.38517E-05,,-0.001096963,,,,,,,25.93548476,0.001275749
10,"	03/22/2024 23:54:34.744",262.25,20.0016,1,6,0,0,0,-0.08396244,3.878761,-0.325670238,9.74969E-08,0.000234531,3.78983E-07,0.000909896,,-0.000633321,,0.004901801,52.43999863,,,,25.87847,-0.004698038
