,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,184,	06/13/2024 00:06:04.391,1871.4039,8.0064,1,10,0,0,0,0,0,0,0,0,-0.05759048,3.791321,-0.21834399622408,0.0005933361,0.08263554,0.002307561,0.3071419,,-0.0001531703019281,,,,,,,24.28805,-0.02603292
1,185,	06/13/2024 00:06:05.389,1872.4023,9.0048,1,10,0,0,0,0,0,0,0,0,-0.09544563,3.779323,-0.36071986470849,0.0005933361,0.08265545,0.002307561,0.3072173,,-0.0048918998800218,,,,,,,24.28019,-0.002455115
2,186,	06/13/2024 00:06:15.390,1882.4034,19.0059,1,10,0,0,0,0,0,0,0,0,-0.1226301,3.771244,-0.4624680288444,0.0005933361,0.08298787,0.002307561,0.3084713,,-0.001465864945203,,0.0079916417598724,1151.01794433594,,,,24.21723,-0.01296937
3,187,	06/13/2024 00:06:25.390,1892.4036,29.0061,1,10,0,0,0,0,0,0,0,0,-0.1232729,3.771001,-0.4648622291729,0.0005933361,0.08332891,0.002307561,0.3097574,,-0.000146392500028,,,,,,,24.2562366399707,0.0038014165392631
4,188,	06/13/2024 00:06:33.388,1900.4011,37.0036,1,10,0,0,0,0,0,0,0,0,-0.1638994,3.758952,-0.6160899774288,0.0005933361,0.08360653,0.002307561,0.3108041,,-0.0002800603106152,,0.129456505179405,13.223690032959,,,,24.23941,-0.006146431
5,189,	06/13/2024 00:06:34.894,1901.9077,38.5102,1,10,0,0,0,0,0,0,0,0,-0.1986418,3.748849,-0.7446781132882,0.0005933361,0.08368145,0.002307561,0.3110853,,-0.0026367420796304,,0.0049201189540326,256.590515136719,,,,24.23941,-0.006146431
6,190,	06/13/2024 00:06:42.954,1909.9677,46.5702,1,10,0,0,0,0,0,0,0,0,-0.2271709,3.73806,-0.849178454454,0.0005933361,0.08416587,0.002307561,0.3128987,,-0.000363812490832,,0.0666897818446159,75.9932403564453,,,,24.27124,0.01195312
7,191,	06/13/2024 00:06:51.931,1918.9444,55.5469,1,10,0,0,0,0,0,0,0,0,-0.2020845,3.748062,-0.757425235239,0.0005933361,0.084751,0.002307561,0.3150855,,0.0037655211053788,,-0.0053658760152757,-61.5203704833984,,,,24.2344002059257,0.000997903794114
8,192,	06/13/2024 00:06:55.581,1922.5948,59.1973,1,10,0,0,0,0,0,0,0,0,-0.167264,3.758298,-0.628627956672,0.0005933361,0.08493196,0.002307561,0.3157647,,0.0018177930032834,,-0.0202074404805899,-74.4684677124023,,,,24.2451531325419,0.0033604451472537
9,193,	06/13/2024 00:07:05.582,1932.5958,69.1983,1,10,0,0,0,0,0,0,0,0,-0.1695757,3.755428,-0.6368293318996,0.0005933361,0.08539713,0.002307561,0.317512,,-0.0016295580426231,,,,,,,24.20975,-0.01241207
10,194,	06/13/2024 00:07:15.583,1942.5966,79.1991,1,10,0,0,0,0,0,0,0,0,-0.1773481,3.752386,-0.6654785275666,0.0005933361,0.08587859,0.002307561,0.3193196,,-0.0002171771047869,,0.148552298545837,,,,,24.20224,0.001006722
11,195,	06/13/2024 00:07:25.585,1952.5986,89.2011,1,10,0,0,0,0,0,0,0,0,-0.1880693,3.749923,-0.7052453936639,0.0005933361,0.08638571,0.002307561,0.321222,,-0.0001323353062616,,,,,,,24.3788815957537,-0.0007790148534165
12,196,	06/13/2024 00:07:35.585,1962.5987,99.2012,1,10,0,0,0,0,0,0,0,0,-0.2009211,3.745059,-0.7524613738449,0.0005933361,0.08692545,0.002307561,0.3232449,,-0.0004243506118655,,0.165266796946526,6.35739421844482,,,,24.29985,-0.02201498
13,197,	06/13/2024 00:07:45.586,1972.5996,109.2021,1,10,0,0,0,0,0,0,0,0,-0.2152567,3.741551,-0.8053939211417,0.0005933361,0.08750326,0.002307561,0.325408,,-0.000706250721123,,0.120560199022293,,,,,24.35172,0.02190709
14,198,	06/13/2024 00:07:55.588,1982.6012,119.2037,1,10,0,0,0,0,0,0,0,0,-0.2319431,3.735581,-0.8664422374411,0.0005933361,0.08812402,0.002307561,0.3277289,,-0.0006542776245623,,0.124317303299904,7.36700105667114,,,,24.3517208099284,0.0100649587191409
15,199,	06/13/2024 00:08:05.588,1992.6018,129.2043,1,10,0,0,0,0,0,0,0,0,-0.2498255,3.730823,-0.9320547213865,0.0005933361,0.08879168,0.002307561,0.3302217,,-0.0006377423997037,,0.136056497693062,,,,,24.33596,-0.01329482
16,200,	06/13/2024 00:08:15.590,2002.603,139.2055,1,10,0,0,0,0,0,0,0,0,-0.2686577,3.724891,-1.0007206488107,0.0005933361,0.08951132,0.002307561,0.3329043,,-0.0001963199028978,,0.105045802891254,8.39201545715332,,,,24.3159677597129,0.0015752020790347
17,201,	06/13/2024 00:08:25.591,2012.6039,149.2064,1,10,0,0,0,0,0,0,0,0,-0.2893076,3.718682,-1.0758429645832,0.0005933361,0.09028639,0.002307561,0.3357889,,-0.0008240347960963,,0.134391605854034,,,,,24.25372,-0.001237392
18,202,	06/13/2024 00:08:35.592,2022.6049,159.2074,1,10,0,0,0,0,0,0,0,0,-0.3119392,3.711235,-1.157679676912,0.0005933361,0.09112102,0.002307561,0.3388897,,-0.0009530031820759,,0.117097601294518,7.81798410415649,,,,24.27447,0.002004504
19,203,	06/13/2024 00:08:45.592,2032.6057,169.2082,1,10,0,0,0,0,0,0,0,0,-0.3349266,3.704756,-1.2408213309096,0.0005933361,0.09201881,0.002307561,0.3422188,,-0.0003857509873341,,0.11889909952879,8.1964807510376,,,,24.2236981700312,-0.0041317326183724
20,204,	06/13/2024 00:08:55.593,2042.6066,179.2091,1,10,0,0,0,0,0,0,0,0,-0.3600101,3.696913,-1.3309260188213,0.0005933361,0.09298358,0.002307561,0.3457891,,-0.0003180098137818,,0.141502693295479,,,,,24.3106013191667,0.0125191930920718
21,205,	06/13/2024 00:09:05.595,2052.6082,189.2107,1,10,0,0,0,0,0,0,0,0,-0.3629837,3.69543,-1.341380854491,0.0005933361,0.09401597,0.002307561,0.3496018,,0.0006906347116455,,-0.064683273434639,8.03931903839111,,,,24.26195,-0.01196265
22,206,	06/13/2024 00:09:15.596,2062.6093,199.2118,1,10,0,0,0,0,0,0,0,0,-0.3630495,3.694571,-1.3413121542645,0.0005933361,0.09500398,0.002307561,0.3532548,,-0.000148086095578,,0.124559499323368,,,,,24.2476464748066,0.0081525221827804
23,207,	06/13/2024 00:09:25.596,2072.6093,209.2118,1,10,0,0,0,0,0,0,0,0,-0.3808098,3.689498,-1.4049969954804,0.0005933361,0.09603578,0.002307561,0.3570645,,-0.0007235432858578,,0.167769506573677,,,,,24.3227665065179,-0.0005679450571568
24,208,	06/13/2024 00:09:35.596,2082.6096,219.2121,1,10,0,0,0,0,0,0,0,0,-0.3994761,3.683733,-1.4715632922813,0.0005933361,0.0971197,0.002307561,0.3610604,,-0.0012520479504019,,0.17101639509201,3.01749801635742,,,,24.30703,0.01632214
25,209,	06/13/2024 00:09:45.597,2092.6105,229.213,1,10,0,0,0,0,0,0,0,0,-0.418766,3.677612,-1.540058866792,0.0005933361,0.09825645,0.002307561,0.3652442,,-0.0005756954778917,,0.168536201119423,,,,,24.2655567501444,-0.0137481066884855
26,210,	06/13/2024 00:09:52.728,2099.7409,236.3434,1,10,0,0,0,0,0,0,0,0,-0.3852291,3.687616,-1.4205769928256,0.0005933361,0.09907745,0.002307561,0.3682642,,0.0024598229210823,,-0.252303302288055,-31.1916694641113,,,,24.30885,0.02616942
27,211,	06/13/2024 00:10:02.729,2109.7425,246.345,1,10,0,0,0,0,0,0,0,0,-0.3582945,3.693949,-1.3235216099805,0.0005933361,0.1000918,0.002307561,0.3720098,,0.0015395099762827,,-0.0794875398278236,-18.1996307373047,,,,24.25518,-0.01945376
28,212,	06/13/2024 00:10:12.729,2119.7428,256.3453,1,10,0,0,0,0,0,0,0,0,-0.3570108,3.694721,-1.3190552999868,0.0005933361,0.1010849,0.002307561,0.375679,,5.89482915529e-05,,,,,,,24.31204,-0.002574325
29,213,	06/13/2024 00:10:22.730,2129.7429,266.3454,1,10,0,0,0,0,0,0,0,0,-0.3571205,3.694171,-1.3192641946055,0.0005933361,0.1020769,0.002307561,0.3793437,,,,,,,,,24.35067,0.01453519
30,214,	06/13/2024 00:10:32.731,2139.7443,276.3468,1,10,0,0,0,0,0,0,0,0,-0.3569975,3.69411,-1.318788034725,0.0005933361,0.1030688,0.002307561,0.383008,,-3.40592305292e-05,,,,,,,24.3842789150565,0.0034613524449813
31,215,	06/13/2024 00:10:42.732,2149.7455,286.348,1,10,0,0,0,0,0,0,0,0,-0.3571301,3.693793,-1.3191646634693,0.0005933361,0.1040608,0.002307561,0.3866721,,-9.15476775844e-05,,,,,,,24.37713,-0.01016438
32,216,	06/13/2024 00:10:52.732,2159.7455,296.348,1,10,0,0,0,0,0,0,0,0,-0.3569479,3.693358,-1.3183363820482,0.0005933361,0.1050522,0.002307561,0.3903338,,-0.0053840870968997,,,,,,,24.4007585070011,0.0147548806215417
33,217,	06/13/2024 00:11:02.733,2169.7466,306.3491,1,10,0,0,0,0,0,0,0,0,-0.3570929,3.693105,-1.3187815744545,0.0005933361,0.1060442,0.002307561,0.3939974,,-3.5721099266e-05,,,,,,,24.43794,0.00626564
34,218,	06/13/2024 00:11:12.735,2179.7481,316.3506,1,10,0,0,0,0,0,0,0,0,-0.3570499,3.692719,-1.3184849496781,0.0005933361,0.1070362,0.002307561,0.3976608,,-0.0105306999757886,,,,,,,24.42364,0.0004476309
35,219,	06/13/2024 00:11:22.736,2189.749,326.3515,1,10,0,0,0,0,0,0,0,0,-0.3571444,3.692437,-1.3187331969028,0.0005933361,0.1080282,0.002307561,0.4013239,,-7.18319934094e-05,,,,,,,24.4332789410948,-0.0130890446381023
36,220,	06/13/2024 00:11:32.736,2199.7497,336.3522,1,10,0,0,0,0,0,0,0,0,-0.3571405,3.692498,-1.318740581969,0.0005933361,0.1090202,0.002307561,0.4049865,,-4.6861860028e-05,,,,,,,24.3574684094376,-0.0284992107618431
37,221,	06/13/2024 00:11:42.738,2209.751,346.3535,1,10,0,0,0,0,0,0,0,0,-0.3571568,3.691679,-1.3185082582672,0.0005933361,0.1100117,0.002307561,0.408647,,7.61744668125e-05,,,,,,,24.36105,-0.008149147
38,222,	06/13/2024 00:11:52.738,2219.7511,356.3536,1,10,0,0,0,0,0,0,0,0,-0.3571177,3.691208,-1.3181957111816,0.0005933361,0.1110037,0.002307561,0.4123091,,,,,,,,,24.3635730491106,-0.0048095321827404
39,223,	06/13/2024 00:12:02.738,2229.7518,366.3543,1,10,0,0,0,0,0,0,0,0,-0.3571796,3.691262,-1.3184434846552,0.0005933361,0.1119959,0.002307561,0.4159712,,-5.43324204045e-05,,2.28306698799133,0.0,,,,24.3388998591134,-0.0065970242095605
40,224,	06/13/2024 00:12:12.739,2239.7521,376.3546,1,10,0,0,0,0,0,0,0,0,-0.3572006,3.690635,-1.318297036381,0.0005933361,0.1129879,0.002307561,0.4196326,,-1.21302400657e-05,,,,,,,24.4001058180078,0.0003426573118532
41,225,	06/13/2024 00:12:22.740,2249.7535,386.356,1,10,0,0,0,0,0,0,0,0,-0.3569708,3.690715,-1.317477486122,0.0005933361,0.11398,0.002307561,0.4232942,,-3.64673396688e-05,,,,,,,24.43293729384,0.0064741952087877
