,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,315,	06/13/2024 00:25:58.055,3065.0685,0.5057,1,14,0,0,0,0,0,0,0,0,-0.04441071,3.769235,-0.16739440250685,0.001255454,0.1651582,0.004866165,0.6114888,,-5.76429883949e-05,,8.13196966191e-05,,,,,24.43898,0.01072526
1,316,	06/13/2024 00:26:00.056,3067.0689,2.5061,1,14,0,0,0,0,0,0,0,0,-0.07880688,3.758973,-0.29623293413424,0.001255454,0.1651932,0.004866165,0.6116208,,-0.0025609459262341,,0.0015310039743781,292.69189453125,,,,24.43898,0.01072526
2,317,	06/13/2024 00:26:10.056,3077.0695,12.5067,1,14,0,0,0,0,0,0,0,0,-0.09776878,3.753276,-0.36695321552328,0.001255454,0.1654452,0.004866165,0.6125672,,0.0048131961375474,,0.0284167993813753,,,,,24.4246770381626,-0.0060407630978139
3,318,	06/13/2024 00:26:20.056,3087.0696,22.5068,1,14,0,0,0,0,0,0,0,0,-0.1070108,3.750402,-0.4013335183416,0.001255454,0.1657293,0.004866165,0.6136329,,-0.0003922285977751,,,,,,,24.42256,0.001354814
4,319,	06/13/2024 00:26:30.056,3097.0697,32.5069,1,14,0,0,0,0,0,0,0,0,-0.1143913,3.746652,-0.4285843929276,0.001255454,0.1660359,0.004866165,0.6147826,,-0.0002075118973152,,0.0785287097096443,18.8621597290039,,,,24.37606,-0.001216531
5,320,	06/13/2024 00:26:34.556,3101.5697,37.0069,1,14,0,0,0,0,0,0,0,0,-0.1570158,3.735847,-0.5865870053826,0.001255454,0.1661825,0.004866165,0.6153318,,-0.0042059211991727,,0.078092597424984,,,,,24.3992781247887,0.0080476132677006
6,321,	06/13/2024 00:26:36.058,3103.0718,38.509,1,14,0,0,0,0,0,0,0,0,-0.1919088,3.725194,-0.7148975103072,0.001255454,0.1662541,0.004866165,0.6155991,,-0.0044648242183029,,0.0043490431271493,29.1030406951904,,,,24.3992786408376,0.008047819137564
7,322,	06/13/2024 00:26:44.105,3111.1185,46.5557,1,14,0,0,0,0,0,0,0,0,-0.2225437,3.714722,-0.8266879783514,0.001255454,0.1667241,0.004866165,0.6173471,,-0.0007973865722306,,0.0252093207091093,148.253799438477,,,,24.44793,0.0170821
8,323,	06/13/2024 00:26:53.552,3120.5652,56.0024,1,14,0,0,0,0,0,0,0,0,-0.1882086,3.726042,-0.7012731483612,0.001255454,0.1673262,0.004866165,0.6195832,,0.0063866171985864,,-0.0056653837673366,22.2816009521484,,,,24.40323,0.004022717
9,324,	06/13/2024 00:27:03.552,3130.5652,66.0024,1,14,0,0,0,0,0,0,0,0,-0.1661434,3.731892,-0.6200292253128,0.001255454,0.1677902,0.004866165,0.6213149,,-0.0149179203435779,,-0.0197786707431078,-18.8109493255615,,,,24.4354397413791,0.0006527045604149
10,325,	06/13/2024 00:27:13.552,3140.5652,76.0024,1,14,0,0,0,0,0,0,0,0,-0.1735601,3.729471,-0.6472873597071,0.001255454,0.1682613,0.004866165,0.6230721,,2.46953295572e-05,,0.125340193510056,,,,,24.4254742665284,0.0290766496181492
11,326,	06/13/2024 00:27:23.553,3150.5661,86.0033,1,14,0,0,0,0,0,0,0,0,-0.1840763,3.726206,-0.6859062135178,0.001255454,0.1687567,0.004866165,0.6249189,,-0.000396267598262,,,,,,,24.4096852927221,0.0022348465319921
12,327,	06/13/2024 00:27:33.553,3160.5662,96.0034,1,14,0,0,0,0,0,0,0,0,-0.1959457,3.722705,-0.7294480371185,0.001255454,0.1692839,0.004866165,0.6268824,,-0.0003737338120117,,0.145032301545143,,,,,24.3875105214774,0.0038957429708698
13,328,	06/13/2024 00:27:43.554,3170.5672,106.0044,1,14,0,0,0,0,0,0,0,0,-0.209938,3.717801,-0.780507706338,0.001255454,0.169848,0.004866165,0.6289809,,-0.0004988420987501,,0.13068799674511,4.04020214080811,,,,24.32388,-0.003451109
14,329,	06/13/2024 00:27:53.554,3180.5677,116.0049,1,14,0,0,0,0,0,0,0,0,-0.2258148,3.713334,-0.8385257745432,0.001255454,0.1704539,0.004866165,0.6312322,,-0.0004624727880582,,0.135847806930542,,,,,24.3772348790755,-0.0014531812179029
15,330,	06/13/2024 00:28:03.556,3190.569,126.0062,1,14,0,0,0,0,0,0,0,0,-0.2440491,3.707034,-0.9046983113694,0.001255454,0.1711061,0.004866165,0.6336524,,-0.0003472570970188,,0.139154106378555,,,,,24.30886,0.0007909536
16,331,	06/13/2024 00:28:13.556,3200.5697,136.0069,1,14,0,0,0,0,0,0,0,0,-0.2629652,3.702043,-0.9735084779036,0.001255454,0.1718083,0.004866165,0.6362537,,-0.0002703251957427,,0.0960420370101929,8.08572387695313,,,,24.28924,-0.003896356
17,332,	06/13/2024 00:28:23.557,3210.5702,146.0074,1,14,0,0,0,0,0,0,0,0,-0.2833319,3.69523,-1.046976536837,0.001255454,0.1725651,0.004866165,0.639053,,-0.0006018562125973,,0.140104994177818,8.5715217590332,,,,24.319959333325,-0.0205777407567486
18,333,	06/13/2024 00:28:33.558,3220.5711,156.0083,1,14,0,0,0,0,0,0,0,0,-0.305028,3.689121,-1.125285200388,0.001255454,0.17338,0.004866165,0.6420619,,-0.0009112965199165,,0.128692895174026,,,,,24.3067380319894,-0.0034697574402157
19,334,	06/13/2024 00:28:43.559,3230.572,166.0092,1,14,0,0,0,0,0,0,0,0,-0.3280458,3.68225,-1.20794664705,0.001255454,0.1742571,0.004866165,0.6452948,,-0.0007342459866777,,0.106831200420856,8.47789478302002,,,,24.3332535953589,0.0101743764344491
20,335,	06/13/2024 00:28:53.560,3240.5735,176.0107,1,14,0,0,0,0,0,0,0,0,-0.3526201,3.674448,-1.2956842212048,0.001255454,0.1751998,0.004866165,0.6487623,,-0.0006057071732357,,0.101378299295902,,,,,24.3454397890078,-0.0027977123216922
21,336,	06/13/2024 00:29:03.560,3250.5737,186.0109,1,14,0,0,0,0,0,0,0,0,-0.3780403,3.666524,-1.3860938329172,0.001255454,0.1762122,0.004866165,0.6524783,,-0.0008886866271495,,0.126541003584862,7.31188011169434,,,,24.34863,0.01352847
22,337,	06/13/2024 00:29:13.562,3260.5753,196.0125,1,14,0,0,0,0,0,0,0,0,-0.4053535,3.658176,-1.482854445216,0.001255454,0.1772978,0.004866165,0.6564538,,-0.0007930846768431,,0.149524703621864,7.63977384567261,,,,24.2953820784145,0.0127470571445435
23,338,	06/13/2024 00:29:22.581,3269.594,205.0312,1,14,0,0,0,0,0,0,0,0,-0.4306574,3.647693,-1.5709059833782,0.001255454,0.1783425,0.004866165,0.6602715,,-0.0009028136846609,,0.121202602982521,7.0350170135498,,,,24.3029193042201,0.004686802592288
24,339,	06/13/2024 00:29:32.581,3279.5945,215.0317,1,14,0,0,0,0,0,0,0,0,-0.4601908,3.641095,-1.675598420926,0.001255454,0.1795777,0.004866165,0.6647747,,-0.0007648558821529,,0.181389793753624,7.68350505828857,,,,24.2449079592476,-0.0027977671839486
25,340,	06/13/2024 00:29:36.055,3283.0685,218.5057,1,14,0,0,0,0,0,0,0,0,-0.4170256,3.652705,-1.523271494248,0.001255454,0.1800146,0.004866165,0.6663661,,0.0040488969534635,,-0.125023499131203,,,,,24.19626,-0.01520216
26,341,	06/13/2024 00:29:38.542,3285.5554,220.9926,1,14,0,0,0,0,0,0,0,0,-0.3881378,3.662943,-1.4217266375454,0.001255454,0.1802918,0.004866165,0.6673801,,0.0044687660411,,-0.021572470664978,-15.5798397064209,,,,24.2019937117042,0.0017910323137206
27,342,	06/13/2024 00:29:48.543,3295.5567,230.9939,1,14,0,0,0,0,0,0,0,0,-0.3581381,3.669732,-1.3142708459892,0.001255454,0.1813069,0.004866165,0.6711035,,0.0002776079054456,,-0.0594212487339973,-36.9609489440918,,,,24.2116774544066,0.0074964191332143
28,343,	06/13/2024 00:29:58.544,3305.5575,240.9947,1,14,0,0,0,0,0,0,0,0,-0.3573561,3.670352,-1.3116226763472,0.001255454,0.1823002,0.004866165,0.674749,,,,,,,,,24.25751,0.006617904
29,344,	06/13/2024 00:30:08.546,3315.559,250.9962,1,14,0,0,0,0,0,0,0,0,-0.3570356,3.670108,-1.3103592118448,0.001255454,0.1832922,0.004866165,0.6783898,,1.40662295962e-05,,,,,,,24.24459,0.001887679
30,345,	06/13/2024 00:30:18.546,3325.5592,260.9964,1,14,0,0,0,0,0,0,0,0,-0.3573141,3.66977,-1.311260564757,0.001255454,0.1842842,0.004866165,0.6820303,,-6.06872199568e-05,,,,,,,24.21168,-0.01866221
31,346,	06/13/2024 00:30:28.546,3335.5595,270.9967,1,14,0,0,0,0,0,0,0,0,-0.3569088,3.669361,-1.3096272312768,0.001255454,0.1852756,0.004866165,0.6856682,,-0.0066435090266168,,,,,,,24.2918464273637,0.0098517666037122
32,347,	06/13/2024 00:30:38.548,3345.561,280.9982,1,14,0,0,0,0,0,0,0,0,-0.3569746,3.66921,-1.309814772066,0.001255454,0.1862675,0.004866165,0.689308,,-3.22003106703e-05,,,,,,,24.19314,-0.01475751
33,348,	06/13/2024 00:30:48.548,3355.5613,290.9985,1,14,0,0,0,0,0,0,0,0,-0.3571758,3.669281,-1.3105783765998,0.001255454,0.1872595,0.004866165,0.6929474,,0.0003051293024327,,,,,,,24.22144,0.009071827
34,349,	06/13/2024 00:30:58.549,3365.5628,301.0,1,14,0,0,0,0,0,0,0,0,-0.3570042,3.668635,-1.309718103267,0.001255454,0.1882515,0.004866165,0.6965867,,-7.20708485459e-05,,,,,,,24.16745,0.004601479
35,350,	06/13/2024 00:31:08.550,3375.5631,311.0003,1,14,0,0,0,0,0,0,0,0,-0.3570194,3.66851,-1.309729239094,0.001255454,0.1892436,0.004866165,0.7002261,,-4.96236207254e-05,,,,,,,24.1695632723249,0.0044703496694082
36,351,	06/13/2024 00:31:18.550,3385.5632,321.0004,1,14,0,0,0,0,0,0,0,0,-0.3571253,3.667923,-1.3099081017519,0.001255454,0.1902356,0.004866165,0.7038648,,-9.94689326034e-05,,,,,,,24.2700890978584,-0.0034623544879775
