,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,16,	06/12/2024 23:44:55.233,602.2461,0.009,1,6,0,0,0,0,0,0,0,0,-1.135527,3.486808,-3.959364627816,0.0,1.386572e-07,0.0,5.283235e-07,,-0.0341786891222,,,,,,,24.8087590690562,0.0133884058996233
1,17,	06/12/2024 23:44:55.239,602.2525,0.0154,1,6,0,0,0,0,0,0,0,0,-1.135503,3.498678,-3.972759365034,0.0,3.734451e-06,0.0,1.308863e-05,,,,,,,,,24.8087590690562,0.0133884058996233
2,18,	06/12/2024 23:44:55.317,602.3308,0.0937,1,6,0,0,0,0,0,0,0,0,-1.135662,3.50956,-3.98567392872,0.0,2.843512e-05,0.0,9.970619e-05,,,,,,,,,24.8088436084056,0.0133949518182243
3,19,	06/12/2024 23:44:55.732,602.7454,0.5083,1,6,0,0,0,0,0,0,0,0,-0.7305822,3.63758,-2.657551199076,0.0,0.0001584495,0.0,0.0005567539,,,,,,,,,24.80884,0.01339495
4,20,	06/12/2024 23:44:56.229,603.2426,1.0055,1,6,0,0,0,0,0,0,0,0,-0.4698381,3.71561,-1.745735142741,0.0,0.0002583283,0.0,0.0009201816,,0.156811997294426,,-0.00128001102712,-781.243408203125,,,,24.80884,0.01339495
5,21,	06/12/2024 23:44:56.728,603.7418,1.5047,1,6,0,0,0,0,0,0,0,0,-0.3062286,3.762276,-1.1521165122936,0.0,0.0003232672,0.0,0.001161454,,,,,,,,,24.80884,0.01339495
6,22,	06/12/2024 23:44:57.232,604.2458,2.0087,1,6,0,0,0,0,0,0,0,0,-0.1960478,3.794312,-0.7438665201136,0.0,0.000365619,0.0,0.001320854,,0.192349597811699,,-0.0014043230330571,-712.0869140625,,,,24.8088436119542,0.0133949518200124
7,23,	06/12/2024 23:44:57.730,604.7437,2.5066,1,6,0,0,0,0,0,0,0,0,-0.1286821,3.813469,-0.4907251992049,0.0,0.0003927931,0.0,0.001423964,,,,,,,,,24.80884,0.01339495
8,24,	06/12/2024 23:44:58.229,605.2428,3.0057,1,6,0,0,0,0,0,0,0,0,-0.09230518,3.824196,-0.35299310013528,0.0,0.0004106679,0.0,0.001492137,,0.0214839391410351,,-0.0016663529677316,-600.113098144531,,,,24.7540583698818,-0.0171177048621859
9,25,	06/12/2024 23:44:58.761,605.7748,3.5377,1,6,0,0,0,0,0,0,0,0,-0.05897713,3.834301,-0.22613606853613,0.0,0.0004230613,0.0,0.001539561,,,,,,,,,24.75405,-0.01712382
10,26,	06/12/2024 23:45:01.033,608.0467,5.8096,1,6,0,0,0,0,0,0,0,0,-0.02553749,3.845046,-0.09819282377454,0.0,0.0004473097,0.0,0.00163264,,0.0026544521097093,,-0.0017655210103839,-815.364013671875,,,,24.8127568153736,-0.0171238183975925
11,27,	06/12/2024 23:45:09.602,616.6156,14.3785,1,6,0,0,0,0,0,0,0,0,-0.05089474,3.834242,-0.19514274968708,0.0,0.000533208,0.0,0.001962494,,-0.0051632951945066,,0.0080444496124982,-443.085601806641,,,,24.7766,-0.005248785
12,28,	06/12/2024 23:45:19.602,626.6158,24.3787,1,6,0,0,0,0,0,0,0,0,-0.07830334,3.827595,-0.2997134726673,0.0,0.000715551,0.0,0.00266119,,-0.0008767666877247,,0.0245623793452978,125.641403198242,,,,24.7973440003278,-0.0091451016855005
13,29,	06/12/2024 23:45:29.603,636.616,34.3789,1,6,0,0,0,0,0,0,0,0,-0.09695339,3.822458,-0.37060026123262,0.0,0.0009607832,0.0,0.003599212,,-0.0004458953917492,,0.0267370101064444,40.6312408447266,,,,24.83835,-0.0005787611
14,30,	06/12/2024 23:45:32.226,639.239,37.0019,1,6,0,0,0,0,0,0,0,0,-0.1337023,3.811692,-0.5096319872916,0.0,0.001035073,0.0,0.003883053,,-0.0006052996031939,,0.0340991988778114,,,,,24.8287109235132,-0.0030135180164767
15,31,	06/12/2024 23:45:33.240,640.2537,38.0166,1,6,0,0,0,0,0,0,0,0,-0.1686993,3.801513,-0.6413125820409,0.0,0.001077201,0.0,0.004043436,,-0.0042141531594097,,0.0031472470145672,241.606994628906,,,,24.82871,-0.003013611
16,32,	06/12/2024 23:45:37.357,644.3704,42.1333,1,6,0,0,0,0,0,0,0,0,-0.1987028,3.790959,-0.7532741679852,0.0,0.001290935,0.0,0.004854775,,-0.0013323390157893,,0.0129327401518822,49.3807106018066,,,,24.8301200524179,0.0004403944226037
17,33,	06/12/2024 23:45:47.358,654.371,52.1339,1,6,0,0,0,0,0,0,0,0,-0.2280197,3.782559,-0.8624979684123,0.0,0.001883492,0.0,0.007099051,,-0.0018228880362585,,0.0689882636070251,,,,,24.79538,0.01038015
18,34,	06/12/2024 23:45:50.740,657.7537,55.5166,1,6,0,0,0,0,0,0,0,0,-0.1926327,3.793151,-0.7306849186377,0.0,0.002098287,0.0,0.00791146,,0.000893578690011,,-0.0054217102006077,-78.6911163330078,,,,24.86975,0.02323985
19,35,	06/12/2024 23:45:53.338,660.3512,58.1141,1,6,0,0,0,0,0,0,0,0,-0.1614723,3.803317,-0.6141303436191,0.0,0.002224006,0.0,0.008388878,,0.002055220073089,,-0.008300743997097,-99.5867767333984,,,,24.852207859185,-0.0054813295024942
20,36,	06/12/2024 23:46:03.339,670.3525,68.1154,1,6,0,0,0,0,0,0,0,0,-0.1641703,3.800205,-0.6238807949115,0.0,0.002671082,0.0,0.0100883,,-0.0001553629990667,,,,,,,24.8472,0.001934171
21,37,	06/12/2024 23:46:13.341,680.3541,78.117,1,6,0,0,0,0,0,0,0,0,-0.1736784,3.796003,-0.6592837274352,0.0,0.003139562,0.0,0.01186776,,-0.00034580018837,,,,,,,24.82073,-0.003806353
22,38,	06/12/2024 23:46:23.342,690.3556,88.1185,1,6,0,0,0,0,0,0,0,0,-0.1853638,3.792372,-0.7029684849336,0.0,0.003637119,0.0,0.01375585,,-0.0005095956730656,,0.217577204108238,7.55285120010376,,,,24.7882388502534,0.0015848336007972
23,39,	06/12/2024 23:46:33.343,700.3567,98.1196,1,6,0,0,0,0,0,0,0,0,-0.1980696,3.787549,-0.7501983154104,0.0,0.004168921,0.0,0.01577161,,-0.0004430793924257,,0.119409203529358,,,,,24.838904827875,0.0231067174433009
