,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,241,	06/13/2024 00:25:28.973,3071.4254,6.8683,1,14,0,0,0,0,0,0,0,0,-0.09056568,3.793304,-0.34354315620672,1.398376e-05,0.1649071,5.376347e-05,0.6284874,,-0.0005371174192987,,0.002164184115827,,,,,24.7033561709095,-0.0099287122868629
1,242,	06/13/2024 00:25:38.973,3081.4255,16.8684,1,14,0,0,0,0,0,0,0,0,-0.1019897,3.794329,-0.3869824764113,1.398376e-05,0.1651757,5.376347e-05,0.6295068,,-0.0001773862022673,,0.0258989296853542,71.0261764526367,,,,24.5870849792785,-0.0271449751632768
2,243,	06/13/2024 00:25:48.973,3091.4256,26.8685,1,14,0,0,0,0,0,0,0,0,-0.1098404,3.792646,-0.4165857536984,1.398376e-05,0.1654704,5.376347e-05,0.6306247,,,,,,,,,24.59784,-0.01642287
3,244,	06/13/2024 00:25:58.974,3101.4266,36.8695,1,14,0,0,0,0,0,0,0,0,-0.1325321,3.791347,-0.5024751797387,1.398376e-05,0.1657878,5.376347e-05,0.6318286,,-2.37861495406e-05,,,,,,,24.6875391574194,0.0151845632602502
4,245,	06/13/2024 00:26:08.975,3111.4275,46.8704,1,14,0,0,0,0,0,0,0,0,-0.2221432,3.783077,-0.8403848306264,1.398376e-05,0.1663542,5.376347e-05,0.633972,,-0.0001803002960514,,0.0405036397278309,9.7010555267334,,,,24.6211134876983,-0.0203141000709448
5,246,	06/13/2024 00:26:18.976,3121.4286,56.8715,1,14,0,0,0,0,0,0,0,0,-0.1774445,3.785943,-0.6717947626635,1.398376e-05,0.1669807,5.376347e-05,0.6363416,,0.0002495649969205,,,,,,,24.6354,0.01698732
6,247,	06/13/2024 00:26:28.976,3131.4287,66.8716,1,14,0,0,0,0,0,0,0,0,-0.1666203,3.786615,-0.6309269272845,1.398376e-05,0.1674412,5.376347e-05,0.6380855,,0.0004287590854801,,-0.189031898975372,,,,,24.5999587742085,8.95759429139e-05
7,248,	06/13/2024 00:26:38.977,3141.4289,76.8718,1,14,0,0,0,0,0,0,0,0,-0.1740513,3.785834,-0.6589293292842,1.398376e-05,0.1679143,5.376347e-05,0.6398768,,-8.64194735186e-05,,-0.0029467160347849,,,,,24.66076027152,0.0129632854547022
8,249,	06/13/2024 00:26:48.977,3151.4296,86.8725,1,14,0,0,0,0,0,0,0,0,-0.1846828,3.784701,-0.6989691778428,1.398376e-05,0.1684127,5.376347e-05,0.6417633,,-0.0001075887994375,,0.138408601284027,,,,,24.56033,-0.003231764
9,250,	06/13/2024 00:26:58.978,3161.4304,96.8733,1,14,0,0,0,0,0,0,0,0,-0.1976042,3.783369,-0.7476096045498,1.398376e-05,0.1689431,5.376347e-05,0.6437704,,1.18534599096e-05,,,,,,,24.63398,0.01733303
