,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,143,	06/13/2024 00:05:48.007,1873.3944,10.0002,1,10,0,0,0,0,0,0,0,0,-0.06594086,3.853999,-0.25413600849914,1.759238e-05,0.04891834,6.78704e-05,0.1883329,,-9.01168532436e-05,,,,,,,23.4662934168917,0.0021380620130468
1,144,	06/13/2024 00:05:58.007,1883.3946,20.0004,1,10,0,0,0,0,0,0,0,0,-0.09550953,3.850683,-0.36777692350899,1.759238e-05,0.04917852,6.78704e-05,0.1893349,,-0.0003530030953697,,0.0041477871127426,232.896102905273,,,,23.4071413232924,-0.0238535189263312
2,145,	06/13/2024 00:06:08.008,1893.3955,30.0013,1,10,0,0,0,0,0,0,0,0,-0.09485054,3.850406,-0.36521308831924,1.759238e-05,0.04944123,6.78704e-05,0.1903464,,-4.8046829761e-05,,,,,,,23.51714,0.01331747
3,146,	06/13/2024 00:06:18.009,1903.3962,40.002,1,10,0,0,0,0,0,0,0,0,-0.09513283,3.849742,-0.36623685122986,1.759238e-05,0.04970403,6.78704e-05,0.1913582,,-7.1476380981e-05,,,,,,,23.4254502881708,0.0088525264883508
4,147,	06/13/2024 00:06:28.009,1913.3965,50.0023,1,10,0,0,0,0,0,0,0,0,-0.09740257,3.849516,-0.37495275165612,1.759238e-05,0.04997082,6.78704e-05,0.1923852,,,,0.162896901369095,,,,,23.43441,-0.005037189
5,148,	06/13/2024 00:06:38.010,1923.3975,60.0033,1,10,0,0,0,0,0,0,0,0,-0.1002178,3.848744,-0.3857126564432,1.759238e-05,0.05024479,6.78704e-05,0.1934397,,-6.19592319708e-05,,,,,,,23.4121744471868,-0.0089561547382113
6,149,	06/13/2024 00:06:48.012,1933.3991,70.0049,1,10,0,0,0,0,0,0,0,0,-0.1043854,3.847837,-0.4016580043798,1.759238e-05,0.05052879,6.78704e-05,0.1945326,,-3.65861706086e-05,,,,,,,23.43978,-0.009063482
7,150,	06/13/2024 00:06:58.012,1943.3991,80.0049,1,10,0,0,0,0,0,0,0,0,-0.1096497,3.846974,-0.4218195450078,1.759238e-05,0.0508256,6.78704e-05,0.1956746,,-0.0001154362034867,,,,,,,23.4763275306429,0.0003396524438752
8,151,	06/13/2024 00:07:08.013,1953.4002,90.006,1,10,0,0,0,0,0,0,0,0,-0.1155453,3.846404,-0.4444339041012,1.759238e-05,0.05113735,6.78704e-05,0.1968738,,0.0052272011525929,,,,,,,23.49961,0.007504225
9,152,	06/13/2024 00:07:18.014,1963.4012,100.007,1,10,0,0,0,0,0,0,0,0,-0.1220217,3.845278,-0.4692073585326,1.759238e-05,0.05146659,6.78704e-05,0.19814,,-0.0001126154966186,,,,,,,23.48742,0.01276195
10,153,	06/13/2024 00:07:28.014,1973.4012,110.007,1,10,0,0,0,0,0,0,0,0,-0.1292324,3.844228,-0.4967988105872,1.759238e-05,0.05181548,6.78704e-05,0.1994814,,-8.84269029484e-05,,,,,,,23.51035,-0.008504391
11,154,	06/13/2024 00:07:38.014,1983.4013,120.0071,1,10,0,0,0,0,0,0,0,0,-0.1377115,3.843326,-0.529270188449,1.759238e-05,0.05218612,6.78704e-05,0.200906,,-0.0004905246896669,,0.404459804296494,,,,,23.47272,-0.004478097
12,155,	06/13/2024 00:07:48.014,1993.4014,130.0072,1,10,0,0,0,0,0,0,0,0,-0.1470842,3.84087,-0.564931291254,1.759238e-05,0.0525805,6.78704e-05,0.2024214,,,,,,,,,23.55119,0.0105232
13,156,	06/13/2024 00:07:58.014,2003.4016,140.0074,1,10,0,0,0,0,0,0,0,0,-0.1563311,3.840495,-0.6003888078945,1.759238e-05,0.05300138,6.78704e-05,0.2040381,,-0.0001510615984443,,,2.59238910675049,,,,23.46737,0.007843971
14,157,	06/13/2024 00:08:08.015,2013.4024,150.0082,1,10,0,0,0,0,0,0,0,0,-0.1671457,3.838095,-0.6415210754415,1.759238e-05,0.05345044,6.78704e-05,0.2057624,,,,,,,,,23.53469,-0.003128648
15,158,	06/13/2024 00:08:18.015,2023.4025,160.0083,1,10,0,0,0,0,0,0,0,0,-0.1785374,3.837641,-0.6851624462734,1.759238e-05,0.05392994,6.78704e-05,0.2076029,,-0.0001331995008513,,0.324259787797928,,,,,23.5013717168465,-0.0006616362268778
16,159,	06/13/2024 00:08:28.015,2033.4025,170.0083,1,10,0,0,0,0,0,0,0,0,-0.1906118,3.836103,-0.7312064978154,1.759238e-05,0.05444171,6.78704e-05,0.2095665,,-0.0003384267911314,,,,,,,23.477735755754,0.0025766764104362
17,160,	06/13/2024 00:08:38.016,2043.4037,180.0095,1,10,0,0,0,0,0,0,0,0,-0.2037086,3.833253,-0.7808666020758,1.759238e-05,0.05498851,6.78704e-05,0.2116636,,-5.91502503084e-05,,,,,,,23.447292632321,-0.0022381062684589
18,161,	06/13/2024 00:08:48.017,2053.4038,190.0096,1,10,0,0,0,0,0,0,0,0,-0.2173147,3.832474,-0.8328529375678,1.759238e-05,0.05557214,6.78704e-05,0.2139009,,-0.0002271511038998,,0.311168789863586,,,,,23.4369,-0.00302732
19,162,	06/13/2024 00:08:58.017,2063.4039,200.0097,1,10,0,0,0,0,0,0,0,0,-0.2319736,3.830858,-0.8886579213488,1.759238e-05,0.05619486,6.78704e-05,0.216287,,-9.52540794969e-05,,,3.21146893501282,,,,23.47665,0.006818175
20,163,	06/13/2024 00:09:08.018,2073.4053,210.0111,1,10,0,0,0,0,0,0,0,0,-0.2469873,3.828835,-0.9456736187955,1.759238e-05,0.05685858,6.78704e-05,0.2188288,,-0.0002181450981879,,,,,,,23.46555,-0.003806949
21,164,	06/13/2024 00:09:18.019,2083.4061,220.0119,1,10,0,0,0,0,0,0,0,0,-0.2620478,3.826889,-1.0028278432942,1.759238e-05,0.05756518,6.78704e-05,0.2215335,,-8.46670300234e-05,,0.335109293460846,,,,,23.48672,0.008165836
22,165,	06/13/2024 00:09:28.020,2093.4073,230.0131,1,10,0,0,0,0,0,0,0,0,-0.2600298,3.825309,-0.9946943342082,1.759238e-05,0.05827624,6.78704e-05,0.2242547,,-0.0003010941145475,,,,,,,23.5329,0.009394288
23,166,	06/13/2024 00:09:38.020,2103.4075,240.0133,1,10,0,0,0,0,0,0,0,0,-0.2343693,3.827974,-0.8971595867982,1.759238e-05,0.05900627,6.78704e-05,0.2270475,,-5.82409811613e-05,,,,,,,23.4677244981775,-0.0015692806634421
24,167,	06/13/2024 00:09:48.021,2113.4083,250.0141,1,10,0,0,0,0,0,0,0,0,-0.2200871,3.828938,-0.8426998604998,1.759238e-05,0.05962753,6.78704e-05,0.2294262,,-0.0003708566946443,,,,,,,23.5221857346777,0.0127612111504303
25,168,	06/13/2024 00:09:58.021,2123.4083,260.0141,1,10,0,0,0,0,0,0,0,0,-0.2165785,3.828815,-0.8292390094775,1.759238e-05,0.06023414,6.78704e-05,0.2317488,,0.0002966074098367,,,,,,,23.5118275724974,-0.0062642579079119
26,169,	06/13/2024 00:10:08.021,2133.4085,270.0143,1,10,0,0,0,0,0,0,0,0,-0.2149477,3.828641,-0.8229575770757,1.759238e-05,0.0608336,6.78704e-05,0.234044,,-8.9697150542e-06,,,,,,,23.556249174343,0.0143317308765135
27,170,	06/13/2024 00:10:18.022,2143.4095,280.0153,1,10,0,0,0,0,0,0,0,0,-0.2140465,3.82867,-0.819513413155,1.759238e-05,0.06142897,6.78704e-05,0.2363234,,3.39787984557e-05,,,,,,,23.4985223820338,-0.006395371129941
28,171,	06/13/2024 00:10:28.022,2153.4095,290.0153,1,10,0,0,0,0,0,0,0,0,-0.2129803,3.82838,-0.815369520914,1.759238e-05,0.06202166,6.78704e-05,0.2385923,,,,,,,,,23.4849339890109,-0.0116413307130298
29,172,	06/13/2024 00:10:38.024,2163.4111,300.0169,1,10,0,0,0,0,0,0,0,0,-0.2123203,3.827298,-0.8126130595494,1.759238e-05,0.0626125,6.78704e-05,0.240854,,-6.65808111079e-05,,,,,,,23.5325808529086,-0.0087333016289124
