,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,242,	06/13/2024 00:25:49.169,3074.5567,10.0003,1,14,0,0,0,0,0,0,0,0,-0.07134247,3.82478,-0.2728692524066,1.763978e-05,0.09805031,6.805187e-05,0.3761657,,-0.0005483839195221,,0.0016212470363825,,,,,23.6497038147164,-0.0004358428012313
1,243,	06/13/2024 00:25:59.170,3084.5568,20.0004,1,14,0,0,0,0,0,0,0,0,-0.07877541,3.824569,-0.30128199104829,1.763978e-05,0.09825983,6.805187e-05,0.3769671,,3.33460811816e-05,,,,,,,23.64789583103,0.0062661692864439
2,244,	06/13/2024 00:26:09.170,3094.557,30.0006,1,14,0,0,0,0,0,0,0,0,-0.08425522,3.824238,-0.32221201402236,1.763978e-05,0.0984866,6.805187e-05,0.3778343,,-8.37940533529e-05,,0.0719544589519501,25.1197299957275,,,,23.5906053550452,-0.0082896684377725
3,245,	06/13/2024 00:26:19.171,3104.5579,40.0015,1,14,0,0,0,0,0,0,0,0,-0.08877373,3.823176,-0.33939759396648,1.763978e-05,0.09872731,6.805187e-05,0.3787546,,,,,,,,,23.631452151936,-0.000882222812662
4,246,	06/13/2024 00:26:29.172,3114.5588,50.0024,1,14,0,0,0,0,0,0,0,0,-0.09297562,3.822309,-0.35538154910658,1.763978e-05,0.09898037,6.805187e-05,0.379722,,-8.04910232545e-05,,,,,,,23.57055,-0.005693436
5,247,	06/13/2024 00:26:39.172,3124.5595,60.0031,1,14,0,0,0,0,0,0,0,0,-0.09780788,3.82175,-0.37379726539,1.763978e-05,0.09924594,6.805187e-05,0.3807369,,-1.95585398614e-05,,,,,,,23.5924108226668,0.0107537055504727
6,248,	06/13/2024 00:26:49.173,3134.5598,70.0034,1,14,0,0,0,0,0,0,0,0,-0.1032248,3.821122,-0.3944345542256,1.763978e-05,0.09952468,6.805187e-05,0.3818021,,-8.2975611803e-06,,,,,,,23.56339,0.001236796
7,249,	06/13/2024 00:26:59.173,3144.5604,80.004,1,14,0,0,0,0,0,0,0,0,-0.1085224,3.820765,-0.414638587636,1.763978e-05,0.09981824,6.805187e-05,0.3829237,,-8.64069006638e-05,,,,,,,23.5799,0.01513362
8,250,	06/13/2024 00:27:09.174,3154.5612,90.0048,1,14,0,0,0,0,0,0,0,0,-0.1146488,3.819528,-0.4379043017664,1.763978e-05,0.100128,6.805187e-05,0.384107,,-8.32128134788e-05,,,,,,,23.5268426478406,-0.0202741658708144
9,251,	06/13/2024 00:27:19.174,3164.5617,100.0053,1,14,0,0,0,0,0,0,0,0,-0.1219864,3.818377,-0.4657900640728,1.763978e-05,0.1004561,6.805187e-05,0.3853599,,-0.0001087107011699,,,,,,,23.55733,0.01264632
10,252,	06/13/2024 00:27:29.175,3174.5627,110.0063,1,14,0,0,0,0,0,0,0,0,-0.1296358,3.817457,-0.4948790921606,1.763978e-05,0.1008042,6.805187e-05,0.3866887,,,,0.47806191444397,,,,,23.5337202525534,-0.0091717445792072
11,253,	06/13/2024 00:27:39.177,3184.5642,120.0078,1,14,0,0,0,0,0,0,0,0,-0.1376696,3.81662,-0.525432548752,1.763978e-05,0.1011742,6.805187e-05,0.3881011,,-0.0001401313056703,,,,,,,23.51968,-0.01803517
12,254,	06/13/2024 00:27:49.177,3194.5645,130.0081,1,14,0,0,0,0,0,0,0,0,-0.1468468,3.815303,-0.5602650365804,1.763978e-05,0.1015685,6.805187e-05,0.3896058,,,,,,,,,23.5262469588685,0.0084206796633071
13,255,	06/13/2024 00:27:59.177,3204.5646,140.0082,1,14,0,0,0,0,0,0,0,0,-0.156517,3.814344,-0.597009679848,1.763978e-05,0.1019891,6.805187e-05,0.39121,,-0.0001273669040529,,,,,,,23.5394648184133,0.0079453039049605
14,256,	06/13/2024 00:28:09.177,3214.5647,150.0083,1,14,0,0,0,0,0,0,0,0,-0.1672373,3.812875,-0.6376549202375,1.763978e-05,0.102438,6.805187e-05,0.392922,,-0.0001295867987209,,,0.0,,,,23.47458,-0.02273202
