,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,16,	06/12/2024 23:44:36.847,602.234,0.0058,1,6,0,0,0,0,0,0,0,0,-0.1214104,3.868619,-0.4696905802376,1.046657e-10,2.080024e-07,4.066819e-10,8.06565e-07,,-0.0017368090339005,,,,,,,23.905702551938,0.0208383611331067
1,17,	06/12/2024 23:44:36.852,602.2389,0.0107,1,6,0,0,0,0,0,0,0,0,-1.127349,3.789638,-4.272244609662,1.046657e-10,4.069804e-07,4.066819e-10,1.576335e-06,,,,,,,,,23.9057,0.02083838
2,18,	06/12/2024 23:44:37.345,602.7324,0.5042,1,6,0,0,0,0,0,0,0,0,-0.7186985,3.821389,-2.7464265422165,1.046657e-10,0.0001546417,4.066819e-10,0.0005857185,,0.0859552025794983,,0.0002861479879356,3494.69506835938,,,,23.9057,0.02083838
3,19,	06/12/2024 23:44:37.843,603.2307,1.0025,1,6,0,0,0,0,0,0,0,0,-0.5275764,3.83909,-2.025413281476,1.046657e-10,0.0002540876,4.066819e-10,0.0009657834,,,,,,,,,23.9057,0.02083838
4,20,	06/12/2024 23:44:38.347,603.734,1.5058,1,6,0,0,0,0,0,0,0,0,-0.2855129,3.858643,-1.1016923529947,1.046657e-10,0.0003178577,4.066819e-10,0.001210929,,0.0349791012704372,,-0.0023227520287036,-178.526596069336,,,,23.8863354057527,-0.0060481056837138
5,21,	06/12/2024 23:44:38.857,604.2442,2.016,1,6,0,0,0,0,0,0,0,0,-0.1776762,3.868721,-0.6873796461402,1.046657e-10,0.0003579707,4.066819e-10,0.001365727,,,,,,,,,23.88633,-0.006053448
6,22,	06/12/2024 23:44:40.044,605.4308,3.2026,1,6,0,0,0,0,0,0,0,0,-0.06565189,3.879704,-0.25470990024056,1.046657e-10,0.000400832,4.066819e-10,0.001531654,,0.0053002098575234,,-0.0031437589786946,-251.251403808594,,,,23.8863315580962,-0.0060534477234119
7,23,	06/12/2024 23:44:50.044,615.4309,13.2027,1,6,0,0,0,0,0,0,0,0,-0.02328491,3.882574,-0.09040538615834,1.046657e-10,0.0004400977,4.066819e-10,0.001684083,,0.0011053150519728,,-0.0043220082297921,-256.234008789063,,,,23.84295,-0.01066387
8,24,	06/12/2024 23:45:00.044,625.431,23.2028,1,6,0,0,0,0,0,0,0,0,-0.04916859,3.879829,-0.19076572137111,1.046657e-10,0.0005421946,4.066819e-10,0.002080326,,-0.0001111097008106,,,,,,,23.8561361901609,-0.0171565360261374
9,25,	06/12/2024 23:45:10.044,635.4311,33.2029,1,6,0,0,0,0,0,0,0,0,-0.06611633,3.878522,-0.25643364046426,1.046657e-10,0.0007032293,4.066819e-10,0.002705001,,-0.0001966536947293,,,,,,,23.8572635538279,0.0057009556972091
10,26,	06/12/2024 23:45:20.045,645.4322,43.204,1,6,0,0,0,0,0,0,0,0,-0.07819557,3.876661,-0.30313771659177,1.046657e-10,0.0009045762,4.066819e-10,0.003485758,,-0.0001729377981973,,0.067374512553215,,,,,23.8708895274146,-0.0113986212858909
11,27,	06/12/2024 23:45:30.046,655.4331,53.2049,1,6,0,0,0,0,0,0,0,0,-0.08706379,3.876171,-0.33747413794809,1.046657e-10,0.001134958,4.066819e-10,0.004378829,,5.1757979235e-06,,,,,,,23.9048229639202,0.0038944145698119
12,28,	06/12/2024 23:45:40.046,665.4331,63.2049,1,6,0,0,0,0,0,0,0,0,-0.09478378,3.875171,-0.36730335552638,1.046657e-10,0.001388147,4.066819e-10,0.005360062,,-0.0001252905058208,,,,,,,23.8880025638059,-0.004913718831544
13,29,	06/12/2024 23:45:50.046,675.4333,73.2051,1,6,0,0,0,0,0,0,0,0,-0.1019812,3.87432,-0.395107802784,1.046657e-10,0.001661473,4.066819e-10,0.006419089,,9.1662222985e-06,,,,,,,23.91481,0.0255233
14,30,	06/12/2024 23:46:00.046,685.4334,83.2052,1,6,0,0,0,0,0,0,0,0,-0.1085758,3.873964,-0.4206187404712,1.046657e-10,0.001953727,4.066819e-10,0.007551197,,-0.0001502718951087,,,,,,,23.8430602572852,-0.0013706378931444
15,31,	06/12/2024 23:46:10.047,695.4343,93.2061,1,6,0,0,0,0,0,0,0,0,-0.1155243,3.872118,-0.4473237214674,1.046657e-10,0.002265394,4.066819e-10,0.008758228,,3.26354493154e-05,,0.254538893699646,,,,,23.85642,0.01030862
16,32,	06/12/2024 23:46:20.049,705.4359,103.2077,1,6,0,0,0,0,0,0,0,0,-0.1232557,3.870861,-0.4771056821577,1.046657e-10,0.002597355,4.066819e-10,0.01004355,,-0.0001094209001166,,,4.93393707275391,,,,23.8395673529478,-0.0002257962763883
17,33,	06/12/2024 23:46:30.049,715.436,113.2078,1,6,0,0,0,0,0,0,0,0,-0.1315041,3.870214,-0.5089490088774,1.046657e-10,0.002950852,4.066819e-10,0.0114119,,,,,,,,,23.8098109360184,-0.0243881908798538
18,34,	06/12/2024 23:46:40.050,725.4371,123.2089,1,6,0,0,0,0,0,0,0,0,-0.1400948,3.868338,-0.5419340384424,1.046657e-10,0.003327775,4.066819e-10,0.01287054,,4.41768388554e-05,,,,,,,23.87284,0.01075029
19,35,	06/12/2024 23:46:50.051,735.4386,133.2104,1,6,0,0,0,0,0,0,0,0,-0.1495981,3.868156,-0.5786687881036,1.046657e-10,0.003729742,4.066819e-10,0.01442563,,-6.66137129883e-05,,0.288832187652588,,,,,23.8631478325028,0.0016690208527825
20,36,	06/12/2024 23:47:00.051,745.4387,143.2105,1,6,0,0,0,0,0,0,0,0,-0.1595755,3.867012,-0.617080373406,1.046657e-10,0.004158619,4.066819e-10,0.01608431,,-9.78514217422e-05,,,,,,,23.8301604708865,0.0023710657478075
21,37,	06/12/2024 23:47:10.052,755.4389,153.2107,1,6,0,0,0,0,0,0,0,0,-0.1703901,3.865644,-0.6586674677244,1.046657e-10,0.004616845,4.066819e-10,0.0178559,,-0.0001571571046952,,,,,,,23.8010981604885,-0.008391034271483
22,38,	06/12/2024 23:47:20.053,765.4399,163.2117,1,6,0,0,0,0,0,0,0,0,-0.182025,3.863861,-0.703319298525,1.046657e-10,0.005106404,4.066819e-10,0.01974795,,-0.0002473283093422,,,,,,,23.80647,-0.008061528
23,39,	06/12/2024 23:47:30.054,775.4412,173.213,1,6,0,0,0,0,0,0,0,0,-0.1946516,3.86229,-0.751800928164,1.046657e-10,0.005629294,4.066819e-10,0.02176804,,-0.0001526612031739,,0.305628687143326,,,,,23.8304574475346,-0.0044733644673643
24,40,	06/12/2024 23:47:40.054,785.4416,183.2134,1,6,0,0,0,0,0,0,0,0,-0.2076693,3.861189,-0.8018504167977,1.046657e-10,0.006187695,4.066819e-10,0.02392444,,-0.0002210615057265,,,2.83347511291504,,,,23.8153,0.01061082
25,41,	06/12/2024 23:47:50.055,795.4419,193.2137,1,6,0,0,0,0,0,0,0,0,-0.2210464,3.859257,-0.8530748665248,1.046657e-10,0.006783128,4.066819e-10,0.02622285,,-0.000166119003552,,,,,,,23.8751,0.007154346
26,42,	06/12/2024 23:48:00.055,805.442,203.2138,1,6,0,0,0,0,0,0,0,0,-0.2364483,3.857711,-0.9121492078413,1.046657e-10,0.007418773,4.066819e-10,0.02867535,,-8.99883307283e-05,,,,,,,23.77981,-0.00469923
