,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/29/2024 20:57:50.689,252.2702,10.0003,1,6,0,0,0,-0.02988052,3.884143,-0.116060213,1.38013e-07,4.55545e-06,5.36406e-07,1.76933e-05,,-3.00269e-05,,,,,,,24.96997837,-0.0007939
1,11,	03/29/2024 20:58:00.691,262.2728,20.0029,1,6,0,0,0,-0.07882118,3.879377,-0.305777073,1.38013e-07,0.000215073,5.36406e-07,0.000834446,,-0.001009186,,0.005083654,,,,,24.9924543,-0.000841617
2,12,	03/29/2024 20:58:10.693,272.2747,30.0048,1,6,0,0,0,-0.07730865,3.879153,-0.299892082,1.38013e-07,0.000431688,5.36406e-07,0.001674749,,-1.00355e-05,,,,,,,24.93599,0.001171231
3,13,	03/29/2024 20:58:20.694,282.276,40.0061,1,6,0,0,0,-0.07701492,3.879014,-0.298741953,1.38013e-07,0.00064598,5.36406e-07,0.002506003,,-0.00179751,,,22.91653061,,,,24.93954273,-0.01068163
4,14,	03/29/2024 20:58:30.697,292.2786,50.0087,1,6,0,0,0,-0.07798004,3.878764,-0.302466172,1.38013e-07,0.000861634,5.36406e-07,0.003342482,,-4.78888e-05,,,,,,,24.94395252,0.012328395
5,15,	03/29/2024 20:58:40.697,302.2788,60.0089,1,6,0,0,0,-0.08021069,3.878642,-0.311108551,1.38013e-07,0.001080962,5.36406e-07,0.004193151,,-6.524e-05,,,,,,,25.03595832,0.0139731
6,16,	03/29/2024 20:58:50.698,312.2795,70.0096,1,6,0,0,0,-0.08286095,3.87812,-0.321344707,1.38013e-07,0.001306465,5.36406e-07,0.005067691,,,,,,,,,25.08273459,0.034442339
7,17,	03/29/2024 20:59:00.699,322.2803,80.0104,1,6,0,0,0,-0.08569527,3.877728,-0.332302948,1.38013e-07,0.001539955,5.36406e-07,0.005973102,,5.1718e-05,,,,,,,25.03221,-0.005633235
8,18,	03/29/2024 20:59:10.701,332.2821,90.0122,1,6,0,0,0,-0.08962154,3.877175,-0.347478394,1.38013e-07,0.001783023,5.36406e-07,0.006915543,,-0.000940991,,0.295024008,,,,,25.06846,0.0335902
9,19,	03/29/2024 20:59:20.703,342.2841,100.0142,1,6,0,0,0,-0.09393883,3.876596,-0.364162893,1.38013e-07,0.002037418,5.36406e-07,0.007901767,,8.77156e-06,,,,,,,25.02117,-0.003243089
10,20,	03/29/2024 20:59:30.704,352.2858,110.0159,1,6,0,0,0,-0.09864902,3.876031,-0.38236666,1.38013e-07,0.002304602,5.36406e-07,0.008937413,,-5.70133e-05,,,,,,,25.03717,-0.017851
11,21,	03/29/2024 20:59:40.706,362.2874,120.0175,1,6,0,0,0,-0.1039581,3.875405,-0.402879741,1.38013e-07,0.002585959,5.36406e-07,0.01002782,,,,,,,,,24.99717943,0.013974587
12,22,	03/29/2024 20:59:50.706,372.2875,130.0176,1,6,0,0,0,-0.1100626,3.874605,-0.4264491,1.38013e-07,0.002882913,5.36406e-07,0.01117846,,-8.61315e-05,,,,,,,24.96471437,-0.023068415
13,23,	03/29/2024 21:00:00.707,382.2884,140.0185,1,6,0,0,0,-0.116642,3.873383,-0.45179914,1.38013e-07,0.003197007,5.36406e-07,0.01239529,,-6.21522e-05,,,,,,,25.02168,0.002815723
14,24,	03/29/2024 21:00:10.707,392.2888,150.0189,1,6,0,0,0,-0.1236019,3.872796,-0.478684944,1.38013e-07,0.003529491,5.36406e-07,0.01368308,,-9.37027e-05,,,,,,,24.94005,-0.003412962
15,25,	03/29/2024 21:00:20.709,402.2903,160.0204,1,6,0,0,0,-0.130867,3.87199,-0.506715715,1.38013e-07,0.003882069,5.36406e-07,0.0150484,,4.36972e-05,,0.400580704,0.0,,,,24.98531296,0.023656813
16,26,	03/29/2024 21:00:30.710,412.2919,170.022,1,6,0,0,0,-0.138854,3.870906,-0.537490782,1.38013e-07,0.004256045,5.36406e-07,0.01649624,,-8.36766e-05,,,,,,,24.98004537,0.008074201
17,27,	03/29/2024 21:00:40.711,422.2921,180.0222,1,6,0,0,0,-0.1471539,3.870245,-0.569521646,1.38013e-07,0.004652644,5.36406e-07,0.01803127,,,,,,,,,24.96968125,-0.001011454
18,28,	03/29/2024 21:00:50.712,432.2938,190.0239,1,6,0,0,0,-0.1563892,3.868407,-0.604977076,1.38013e-07,0.005073482,5.36406e-07,0.01965969,,0.002324671,,,,,,,24.95932017,-0.010098724
19,29,	03/29/2024 21:01:00.712,442.294,200.0241,1,6,0,0,0,-0.1655846,3.867846,-0.640455733,1.38013e-07,0.005519759,5.36406e-07,0.02138605,,-0.000157419,,,,,,,24.97872,-0.007876754
20,30,	03/29/2024 21:01:10.714,452.2957,210.0258,1,6,0,0,0,-0.1759624,3.865675,-0.680213451,1.38013e-07,0.005992939,5.36406e-07,0.02321592,,-0.000117307,,0.395381808,2.028414011,,,,24.98963917,-0.004661115
