,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/29/2024 20:57:16.422,242.7806,0.5089,1,6,0,0,0,-0.02683926,3.851245,-0.103364566,4.1114e-10,2.56067e-06,1.58853e-09,9.86371e-06,,-2.76603e-05,,4.73307e-05,5360.175781,,,,25.26724,0.02444565
1,11,	03/29/2024 20:57:17.954,244.3125,2.0408,1,6,0,0,0,-0.04652214,3.841154,-0.178698704,4.1114e-10,1.81087e-05,1.58853e-09,6.96615e-05,,-0.005941998,,0.001108397,,,,,25.24599214,-0.006639716
2,12,	03/29/2024 20:57:27.956,254.3145,12.0428,1,6,0,0,0,-0.05963516,3.835337,-0.228720936,4.1114e-10,0.000171182,1.58853e-09,0.000657083,,-0.000411906,,0.01165675,647.0548096,,,,25.21931866,0.003402133
3,13,	03/29/2024 20:57:37.958,264.3167,22.045,1,6,0,0,0,-0.06516647,3.83219,-0.249730295,4.1114e-10,0.000344126,1.58853e-09,0.001320146,,-0.000438692,,,,,,,25.17797702,-0.00706841
4,14,	03/29/2024 20:57:47.958,274.3168,32.0451,1,6,0,0,0,-0.06891441,3.83079,-0.263996633,4.1114e-10,0.000529826,1.58853e-09,0.002031673,,-8.93742e-05,,,26.47193909,,,,25.16370215,-0.008080592
5,15,	03/29/2024 20:57:57.958,284.3169,42.0452,1,6,0,0,0,-0.07229614,3.828873,-0.276812738,4.1114e-10,0.000725645,1.58853e-09,0.002781594,,-0.000179315,,0.087939613,,,,,25.2006,0.009506345
6,16,	03/29/2024 20:58:07.958,294.3171,52.0454,1,6,0,0,0,-0.07539177,3.827044,-0.288527621,4.1114e-10,0.000930338,1.58853e-09,0.003565149,,-0.000199403,,,,,,,25.14485415,-0.032945447
7,17,	03/29/2024 20:58:17.959,304.318,62.0463,1,6,0,0,0,-0.07876968,3.825316,-0.301318917,4.1114e-10,0.001143813,1.58853e-09,0.00438196,,-0.000284307,,0.107588597,,,,,25.18632084,0.01156822
8,18,	03/29/2024 20:58:27.962,314.3207,72.049,1,6,0,0,0,-0.08183575,3.823554,-0.312903409,4.1114e-10,0.001366707,1.58853e-09,0.005234421,,-0.000175287,,,,,,,25.18054,-0.00993371
9,19,	03/29/2024 20:58:37.963,324.3214,82.0497,1,6,0,0,0,-0.08590317,3.82182,-0.328306453,4.1114e-10,0.001599389,1.58853e-09,0.006123878,,-0.000132998,,,8.831059456,,,,25.18242071,-0.004252848
10,20,	03/29/2024 20:58:47.965,334.324,92.0523,1,6,0,0,0,-0.0896368,3.819689,-0.342384699,4.1114e-10,0.001843362,1.58853e-09,0.007055994,,-8.42689e-05,,0.129038498,,,,,25.19415653,0.000633549
11,21,	03/29/2024 20:58:57.965,344.3241,102.0524,1,6,0,0,0,-0.09451866,3.817252,-0.360801544,4.1114e-10,0.002099224,1.58853e-09,0.008032952,,,,,,,,,25.24852698,0.030116144
12,22,	03/29/2024 20:59:07.967,354.3257,112.054,1,6,0,0,0,-0.09992123,3.814664,-0.381165919,4.1114e-10,0.002368639,1.58853e-09,0.009060989,,-0.000612254,,0.118619002,,,,,25.16643225,0.018170595
13,23,	03/29/2024 20:59:17.968,364.3268,122.0551,1,6,0,0,0,-0.1054993,3.811682,-0.402129783,4.1114e-10,0.002652843,1.58853e-09,0.01014469,,-0.000306942,,,11.75887012,,,,25.22271,-0.003401637
14,24,	03/29/2024 20:59:27.970,374.3291,132.0574,1,6,0,0,0,-0.1116009,3.80875,-0.425059928,4.1114e-10,0.002953157,1.58853e-09,0.01128892,,-0.000307721,,0.090502962,,,,,25.12411025,-0.022306253
15,25,	03/29/2024 20:59:37.970,384.3291,142.0574,1,6,0,0,0,-0.1177759,3.804347,-0.448060392,4.1114e-10,0.003271004,1.58853e-09,0.01249894,,-0.000182699,,,,,,,25.14365,-0.000962019
16,26,	03/29/2024 20:59:47.971,394.3301,152.0584,1,6,0,0,0,-0.1251287,3.801616,-0.475691268,4.1114e-10,0.003607691,1.58853e-09,0.01377952,,-0.000401865,,0.107172102,,,,,25.20827801,-0.007532769
17,27,	03/29/2024 20:59:57.974,404.3329,162.0612,1,6,0,0,0,-0.1323204,3.798071,-0.502562274,4.1114e-10,0.003964593,1.58853e-09,0.01513567,,-0.000368857,,0.082628183,8.648317337,,,,25.15387,-0.01073778
18,28,	03/29/2024 21:00:07.976,414.3346,172.0629,1,6,0,0,0,-0.1406851,3.794056,-0.533767148,4.1114e-10,0.004343166,1.58853e-09,0.01657267,,-0.000472707,,,,,,,25.08505,0.00176549
19,29,	03/29/2024 21:00:17.976,424.3346,182.0629,1,6,0,0,0,-0.1493378,3.789371,-0.565896329,4.1114e-10,0.004744892,1.58853e-09,0.01809585,,-0.00044367,,0.105674103,10.97385979,,,,25.01514123,-0.019020826
20,30,	03/29/2024 21:00:27.978,434.3371,192.0654,1,6,0,0,0,-0.1581049,3.784735,-0.598385149,4.1114e-10,0.005171019,1.58853e-09,0.01970965,,-0.000234522,,0.084760867,,,,,25.05972818,-0.016411569
21,31,	03/29/2024 21:00:37.981,444.3395,202.0678,1,6,0,0,0,-0.1677504,3.780135,-0.634119158,4.1114e-10,0.005622936,1.58853e-09,0.021419,,-0.000585406,,0.08469592,11.09372044,,,,25.08879633,-0.012970601
22,32,	03/29/2024 21:00:47.983,454.3414,212.0697,1,6,0,0,0,-0.1778011,3.774019,-0.67102473,4.1114e-10,0.006101965,1.58853e-09,0.0232285,,-0.00071913,,0.114822999,,,,,25.06145123,-0.002656682
23,33,	03/29/2024 21:00:57.985,464.3438,222.0721,1,6,0,0,0,-0.1883535,3.769515,-0.710001344,4.1114e-10,0.006609642,1.58853e-09,0.02514355,,-0.000360971,,0.077881522,9.803724289,,,,25.09515347,0.023919674
24,34,	03/29/2024 21:01:07.987,474.3454,232.0737,1,6,0,0,0,-0.1990242,3.763144,-0.748956724,4.1114e-10,0.007147391,1.58853e-09,0.02716908,,-0.000528743,,0.0880768,,,,,25.0672286,0.005049298
25,35,	03/29/2024 21:01:17.988,484.3471,242.0754,1,6,0,0,0,-0.2109632,3.758048,-0.792809832,4.1114e-10,0.007716572,1.58853e-09,0.02930971,,-0.000883095,,0.094793953,10.91419983,,,,25.05552304,0.003035685
26,36,	03/29/2024 21:01:27.991,494.3492,252.0775,1,6,0,0,0,-0.2229729,3.751394,-0.836459199,4.1114e-10,0.00831866,1.58853e-09,0.03157046,,-0.000661672,,0.093153179,,,,,24.97764,-0.00526607
27,37,	03/29/2024 21:01:37.993,504.3514,262.0797,1,6,0,0,0,-0.2353907,3.745408,-0.881634211,4.1114e-10,0.008954906,1.58853e-09,0.03395545,,-0.000915107,,0.115268096,9.927492142,,,,25.00178694,-0.009891345
28,38,	03/29/2024 21:01:47.994,514.3523,272.0806,1,6,0,0,0,-0.2487688,3.738454,-0.930010715,4.1114e-10,0.009626799,1.58853e-09,0.03646964,,-0.000707459,,0.089094773,10.50179005,,,,25.03492,0.01376569
29,39,	03/29/2024 21:01:57.996,524.3543,282.0826,1,6,0,0,0,-0.2567968,3.734018,-0.958883874,4.1114e-10,0.01033249,1.58853e-09,0.03910585,,-0.000492363,,0.116843,,,,,25.01794,0.002194047
30,40,	03/29/2024 21:02:07.997,534.3558,292.0841,1,6,0,0,0,-0.2683821,3.728012,-1.000531689,4.1114e-10,0.01106113,1.58853e-09,0.0418245,,-0.000627408,,0.141319603,7.28615284,,,,24.91013063,-0.006326352
31,41,	03/29/2024 21:02:17.998,544.3569,302.0852,1,6,0,0,0,-0.2798176,3.722095,-1.04150769,4.1114e-10,0.01182404,1.58853e-09,0.04466615,,-0.000523909,,0.129027307,,,,,24.96766605,0.014518887
32,42,	03/29/2024 21:02:18.918,545.2766,303.0049,1,6,0,0,0,-0.2556267,3.733989,-0.954507286,4.1114e-10,0.01189346,1.58853e-09,0.04492477,,0.001233243,,-0.096193828,,,,,24.95757976,-0.003150568
33,43,	03/29/2024 21:02:26.245,552.6032,310.3315,1,6,0,0,0,-0.2347403,3.744147,-0.87890219,4.1114e-10,0.01238101,1.58853e-09,0.04674854,,0.000858889,,-0.07901372,-10.3297596,,,,24.97562,0.01111269
34,44,	03/29/2024 21:02:36.245,562.6035,320.3318,1,6,0,0,0,-0.2310085,3.744347,-0.864975984,4.1114e-10,0.01302718,1.58853e-09,0.04916759,,0.000100957,,,,,,,24.91285578,-0.028756458
35,45,	03/29/2024 21:02:46.248,572.6066,330.3349,1,6,0,0,0,-0.2289038,3.744977,-0.857239466,4.1114e-10,0.01366654,1.58853e-09,0.05156169,,6.61873e-05,,,,,,,24.96391,0.004038811
36,46,	03/29/2024 21:02:56.249,582.6075,340.3358,1,6,0,0,0,-0.2273808,3.745171,-0.851579978,4.1114e-10,0.01430023,1.58853e-09,0.05393488,,,,,,,,,24.93788,-0.002657175
37,47,	03/29/2024 21:03:06.251,592.6099,350.3382,1,6,0,0,0,-0.226284,3.745281,-0.847497166,4.1114e-10,0.01493083,1.58853e-09,0.05629662,,1.56072e-05,,,,,,,24.9646,0.003461242
38,48,	03/29/2024 21:03:16.254,602.6125,360.3408,1,6,0,0,0,-0.2256947,3.743821,-0.844960557,4.1114e-10,0.01555949,1.58853e-09,0.05865107,,-1.65545e-05,,,,,,,24.96446037,0.020429918
39,49,	03/29/2024 21:03:26.256,612.6143,370.3426,1,6,0,0,0,-0.2252884,3.745192,-0.843748313,4.1114e-10,0.01618602,1.58853e-09,0.06099753,,-7.95433e-05,,,,,,,24.87875833,0.001392555
40,50,	03/29/2024 21:03:36.256,622.6143,380.3426,1,6,0,0,0,-0.2244797,3.744744,-0.84061901,4.1114e-10,0.01681084,1.58853e-09,0.06333747,,-2.65522e-05,,,,,,,24.90136696,-0.009145035
41,51,	03/29/2024 21:03:46.256,632.6144,390.3427,1,6,0,0,0,-0.2245893,3.744191,-0.840905236,4.1114e-10,0.01743491,1.58853e-09,0.06567448,,-4.65849e-05,,,,,,,24.92415215,-0.004257013
42,52,	03/29/2024 21:03:56.256,642.6147,400.343,1,6,0,0,0,-0.2241325,3.744773,-0.839325334,4.1114e-10,0.01805816,1.58853e-09,0.06800826,,,,,,,,,24.93777452,-0.011962575
43,53,	03/29/2024 21:04:06.258,652.6163,410.3446,1,6,0,0,0,-0.2239094,3.743619,-0.838231484,4.1114e-10,0.01868046,1.58853e-09,0.07033831,,-2.55251e-05,,,,,,,24.94558,-0.01823246
44,54,	03/29/2024 21:04:16.259,662.6179,420.3462,1,6,0,0,0,-0.2234735,3.743912,-0.836665118,4.1114e-10,0.01930211,1.58853e-09,0.07266579,,-4.8679e-05,,,,,,,24.96421,-0.004670024
45,55,	03/29/2024 21:04:26.261,672.6197,430.348,1,6,0,0,0,-0.2233782,3.74305,-0.836115772,4.1114e-10,0.01992303,1.58853e-09,0.07499037,,-2.36664e-05,,,0.0,,,,24.98884,0.00521481
46,56,	03/29/2024 21:04:36.261,682.6199,440.3482,1,6,0,0,0,-0.2233458,3.743376,-0.836067307,4.1114e-10,0.02054334,1.58853e-09,0.07731248,,-5.77273e-05,,0.0,,,,,24.91042216,-0.015416535
47,57,	03/29/2024 21:04:46.263,692.6215,450.3498,1,6,0,0,0,-0.2228441,3.742281,-0.833945241,4.1114e-10,0.02116295,1.58853e-09,0.07963184,,7.52306e-05,,,,,,,24.95571091,0.003407409
48,58,	03/29/2024 21:04:56.265,702.6232,460.3515,1,6,0,0,0,-0.2227974,3.742884,-0.833904824,4.1114e-10,0.02178196,1.58853e-09,0.08194876,,,,,,,,,24.92770604,-0.024754123
