,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,263,	06/23/2024 18:20:42.343,2834.5356,10.0002,1,14,0,0,0,0,0,0,0,0,-0.06591415,3.815894,-0.2515214095001,5.600537e-06,0.1246202,2.174444e-05,0.4770395,,-0.0005717718740925,,0.0021604939829558,,,,,25.0844529886153,0.0184211446842627
1,264,	06/23/2024 18:20:52.343,2844.5359,20.0005,1,14,0,0,0,0,0,0,0,0,-0.0729208,3.814658,-0.2781679130864,5.600537e-06,0.1248144,2.174444e-05,0.4777804,,-0.0001165974972536,,,,,,,25.03086,0.0089252
2,265,	06/23/2024 18:21:02.344,2854.5364,30.001,1,14,0,0,0,0,0,0,0,0,-0.07839298,3.81403,-0.2989931775094,5.600537e-06,0.1250248,2.174444e-05,0.478583,,-0.0001048857011483,,-0.0002159922005375,-1766.20397949219,,,,24.9698110962984,-0.0125066283056525
3,266,	06/23/2024 18:21:12.344,2864.5368,40.0014,1,14,0,0,0,0,0,0,0,0,-0.08237743,3.813273,-0.31412762962839,5.600537e-06,0.1252482,2.174444e-05,0.4794348,,,,,,,,,24.9595128135401,0.0023560229838001
4,267,	06/23/2024 18:21:22.344,2874.5369,50.0015,1,14,0,0,0,0,0,0,0,0,-0.08643627,3.812804,-0.32956455600108,5.600537e-06,0.125483,2.174444e-05,0.48033,,3.86824394809e-05,,,,,,,24.9045072333773,-0.0200853487812033
5,268,	06/23/2024 18:21:32.344,2884.5369,60.0015,1,14,0,0,0,0,0,0,0,0,-0.09074211,3.812278,-0.34593414962658,5.600537e-06,0.1257287,2.174444e-05,0.4812671,,-0.0001154263009084,,0.153893694281578,,,,,25.0541347799824,0.0167413843512855
6,269,	06/23/2024 18:21:42.345,2894.5379,70.0025,1,14,0,0,0,0,0,0,0,0,-0.09487438,3.811611,-0.36162423042618,5.600537e-06,0.1259865,2.174444e-05,0.4822495,,-2.65535200014e-05,,-0.0003519873134791,11.4704103469849,,,,25.06201,0.01184165
7,270,	06/23/2024 18:21:52.346,2904.5388,80.0034,1,14,0,0,0,0,0,0,0,0,-0.09990501,3.809976,-0.38063569037976,5.600537e-06,0.1262572,2.174444e-05,0.4832813,,-7.24210476619e-05,,,,,,,24.9662599600998,-0.0101599877518353
8,271,	06/23/2024 18:21:55.014,2907.2061,82.6707,1,14,0,0,0,0,0,0,0,0,-0.1012001,3.799866,-0.3845468191866,5.600537e-06,0.1263318,2.174444e-05,0.4835654,,-0.0048236148431897,,,,,,,24.96094,-0.01016021
9,272,	06/23/2024 18:21:55.019,2907.2118,82.6764,1,14,0,0,0,0,0,0,0,0,-0.1014166,3.809973,-0.3863945077518,5.600537e-06,0.1263319,2.174444e-05,0.483566,,,,,,,,,24.9609784256863,-0.0101422209460472
