,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,1022,	03/29/2024 23:36:45.331,9811.6901,0.5098,1,18,0,0,0,-0.02983284,3.840408,-0.114570277,0.1690163,0.1973482,0.655863,0.7303749,,-0.000263804,,4.69614e-05,,,,,24.97521,0.01540661
1,1023,	03/29/2024 23:36:47.331,9813.6899,2.5096,1,18,0,0,0,-0.05236721,3.830237,-0.200578825,0.1690163,0.1973714,0.655863,0.7304636,,-0.003521573,,0.000902187,440.6455994,,,,24.9752121,0.010709401
2,1024,	03/29/2024 23:36:57.333,9823.6916,12.5113,1,18,0,0,0,-0.06418991,3.823964,-0.245459905,0.1690163,0.197537,0.655863,0.7310974,,-0.000489389,,0.015742941,,,,,24.95390723,-0.01862139
3,1025,	03/29/2024 23:37:07.335,9833.6935,22.5132,1,18,0,0,0,-0.0698719,3.821929,-0.267045441,0.1690163,0.1977231,0.655863,0.7318089,,-0.000289196,,,,,,,25.00311802,0.00404216
4,1026,	03/29/2024 23:37:17.335,9843.6935,32.5132,1,18,0,0,0,-0.07398891,3.818532,-0.28252902,0.1690163,0.1979224,0.655863,0.7325705,,-0.000235984,,-0.003064892,28.12454033,,,,25.04796365,-0.001398271
5,1027,	03/29/2024 23:37:27.337,9853.6953,42.515,1,18,0,0,0,-0.0777235,3.817589,-0.296716379,0.1690163,0.1981328,0.655863,0.7333739,,-0.000302409,,0.032107908,,,,,25.03368,-0.000628829
6,1028,	03/29/2024 23:37:37.337,9863.6956,52.5153,1,18,0,0,0,-0.08084679,3.815082,-0.308437133,0.1690163,0.1983532,0.655863,0.7342148,,-8.62485e-05,,,,,,,25.03434562,-0.018234077
7,1029,	03/29/2024 23:37:47.338,9873.6963,62.516,1,18,0,0,0,-0.08507538,3.813677,-0.32445002,0.1690163,0.1985834,0.655863,0.7350931,,-0.000258536,,,,,,,25.08432148,0.001218124
8,1030,	03/29/2024 23:37:57.338,9883.6971,72.5168,1,18,0,0,0,-0.08881283,3.811301,-0.338492428,0.1690163,0.198824,0.655863,0.7360106,,-0.000303258,,0.124917597,9.395616531,,,,25.0812054,-0.001012065
9,1031,	03/29/2024 23:38:07.339,9893.6973,82.517,1,18,0,0,0,-0.09277821,3.809797,-0.353466146,0.1690163,0.1990757,0.655863,0.7369696,,-6.1287e-05,,,,,,,25.05195456,0.000579937
10,1032,	03/29/2024 23:38:17.340,9903.6982,92.5179,1,18,0,0,0,-0.09775734,3.807334,-0.372194844,0.1690163,0.1993403,0.655863,0.7379773,,-0.000353382,,0.118317798,,,,,25.02732683,0.002447348
11,1033,	03/29/2024 23:38:27.341,9913.6992,102.5189,1,18,0,0,0,-0.1032267,3.804552,-0.392731348,0.1690163,0.1996189,0.655863,0.7390378,,-0.000343955,,,,,,,25.03767385,0.01213064
12,1034,	03/29/2024 23:38:37.342,9923.7008,112.5205,1,18,0,0,0,-0.1089554,3.80176,-0.414222282,0.1690163,0.199913,0.655863,0.7401563,,-0.000298606,,0.105555497,,,,,25.06044556,-0.000628105
