,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/29/2024 20:57:27.644,242.2806,0.0129,1,6,0,0,0,-2.507782,3.534084,-8.862712242,2.25438e-11,3.92411e-06,8.75179e-11,1.39691e-05,,-0.029675201,,,,,,,24.16654,0.005645752
1,11,	03/29/2024 20:57:28.138,242.7741,0.5064,1,6,0,0,0,-1.566053,3.660312,-5.732242589,2.25438e-11,0.00034608,8.75179e-11,0.001222166,,0.329820514,,-0.00218243,-458.2048035,,,,24.09906,-0.02108693
2,12,	03/29/2024 20:57:28.636,243.2719,1.0042,1,6,0,0,0,-1.360538,3.706058,-5.042232739,2.25438e-11,0.000562464,8.75179e-11,0.002014589,,,,,,,,,24.09905815,-0.021086931
3,13,	03/29/2024 20:57:28.641,243.2773,1.0096,1,6,0,0,0,-0.9584751,3.745323,-3.589798837,2.25438e-11,0.000563795,8.75179e-11,0.002019575,,,,,,,,,24.09905815,-0.021086931
4,14,	03/29/2024 20:57:29.139,243.7751,1.5074,1,6,0,0,0,-0.5695915,3.799432,-2.164124172,2.25438e-11,0.000695076,8.75179e-11,0.002511334,,0.128957093,,-0.001896838,-527.1931763,,,,24.09906,-0.02108693
5,15,	03/29/2024 20:57:29.637,244.2727,2.005,1,6,0,0,0,-0.3220463,3.835066,-1.235068816,2.25438e-11,0.000773899,8.75179e-11,0.002810849,,,,,,,,,24.09906,-0.02108693
6,16,	03/29/2024 20:57:30.136,244.7725,2.5048,1,6,0,0,0,-0.1891937,3.853214,-0.729003814,2.25438e-11,0.000818622,8.75179e-11,0.00298234,,0.036420681,,-0.002450098,-408.1469116,,,,24.09905815,-0.021086931
7,17,	03/29/2024 20:57:30.641,245.2768,3.0091,1,6,0,0,0,-0.06353188,3.870205,-0.2458814,2.25438e-11,0.000841267,8.75179e-11,0.003069672,,,,,,,,,24.09905815,-0.021086931
8,18,	03/29/2024 20:57:31.306,245.9421,3.6744,1,6,0,0,0,-0.000144959,3.880504,-0.000562512,6.40472e-10,0.000849858,2.48459e-09,0.003102923,,0.004677069,,-0.001205295,-741.8635254,,,,24.14453,-0.02108693
9,19,	03/29/2024 20:57:32.639,247.2749,5.0072,1,6,0,0,0,0.07757473,3.890616,0.301813486,1.43347e-05,0.000849858,5.57216e-05,0.003102925,,0.004193211,,0.000243341,-1198.928955,,,,24.14453125,0.014207695
10,20,	03/29/2024 20:57:42.640,257.2759,15.0082,1,6,0,0,0,0.0426178,3.887243,0.165665745,0.000211109,0.000849858,0.000821338,0.003102925,,-0.000619909,,-0.03218868,699.958313,,,,24.16532305,0.001014007
11,21,	03/29/2024 20:57:52.641,267.277,25.0093,1,6,0,0,0,0.000505447,3.881663,0.001961976,0.000266843,0.000849858,0.001037871,0.003102925,,-0.000474059,,,-39.8756485,,,,24.16086774,0.000794532
12,22,	03/29/2024 20:58:02.642,277.2785,35.0108,1,6,0,0,0,-0.02921963,3.877245,-0.113291664,0.000266847,0.000893272,0.001037886,0.003271308,,-0.000529143,,-0.01168929,,,,,24.26193518,0.020871558
13,23,	03/29/2024 20:58:12.645,287.2811,45.0134,1,6,0,0,0,-0.04811668,3.874829,-0.186443907,0.000266847,0.001001409,0.001037886,0.003690415,,-0.000465657,,0.019587681,,,,,24.23212,0.002405047
14,24,	03/29/2024 20:58:22.646,297.2819,55.0142,1,6,0,0,0,-0.06077099,3.872611,-0.235342404,0.000266847,0.001152659,0.001037886,0.004276271,,-0.000290155,,,,,,,24.21676,0.02778769
15,25,	03/29/2024 20:58:32.646,307.2821,65.0144,1,6,0,0,0,-0.06962013,3.871031,-0.269501681,0.000266847,0.001334141,0.001037886,0.004978919,,-8.98622e-05,,0.069329791,31.85124969,,,,24.20378698,-0.00868284
16,26,	03/29/2024 20:58:42.648,317.2846,75.0169,1,6,0,0,0,-0.07730675,3.86991,-0.299170165,0.000266847,0.001538143,0.001037886,0.005768484,,-3.8959e-05,,,,,,,24.22512224,-0.006485007
