,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,16,	06/23/2024 17:43:30.033,602.2259,0.009,1,6,0,0,0,0,0,0,0,0,-1.324851,3.780154,-5.008140807054,0.0,2.109658e-07,0.0,8.183054e-07,,-0.011316760443151,,,,,,,25.41345,0.01460135
1,17,	06/23/2024 17:43:30.526,602.7187,0.5018,1,6,0,0,0,0,0,0,0,0,-0.7440166,3.824281,-2.8453285470646,0.0,0.0001811809,0.0,0.0006846896,,,,,,,,,25.4134464270553,0.0146013498306589
2,18,	06/23/2024 17:43:31.031,603.2235,1.0066,1,6,0,0,0,0,0,0,0,0,-0.3457804,3.85588,-1.333287728752,0.0,0.0002768054,0.0,0.001050921,,0.0639803931117058,,-0.0031546370591968,-303.044097900391,,,,25.41345,0.01460135
3,19,	06/23/2024 17:43:31.529,603.7211,1.5042,1,6,0,0,0,0,0,0,0,0,-0.1710529,3.870292,-0.6620246704468,0.0,0.0003246824,0.0,0.001235582,,,,,,,,,25.3938390088646,-0.0061243844362485
4,20,	06/23/2024 17:43:32.532,604.7243,2.5074,1,6,0,0,0,0,0,0,0,0,-0.03465748,3.882544,-0.13455919102912,0.0,0.0003593497,0.0,0.001369869,,0.0051270858384668,,-0.0032945079728961,-303.501892089844,,,,25.39384,-0.00612855
5,21,	06/23/2024 17:43:42.533,614.7252,12.5083,1,6,0,0,0,0,0,0,0,0,-0.01780415,3.884621,-0.06916237497715,4.970468e-06,0.0003776188,1.931564e-05,0.001440832,,-0.0001808796951081,,-0.0021506079938262,-355.236511230469,,,,25.3591941483072,0.0101439517839498
6,22,	06/23/2024 17:43:52.533,624.7255,22.5086,1,6,0,0,0,0,0,0,0,0,-0.04279613,3.882384,-0.16615101037392,4.970468e-06,0.0004633432,1.931564e-05,0.001773716,,-0.0002242329937871,,,,,,,25.42088,0.001099706
7,23,	06/23/2024 17:44:02.533,634.7256,32.5087,1,6,0,0,0,0,0,0,0,0,-0.05955029,3.880825,-0.23110425418925,4.970468e-06,0.0006067154,1.931564e-05,0.00233021,,-0.0001626779994694,,,,,,,25.4098302038806,-0.0135009020834529
8,24,	06/23/2024 17:44:12.534,644.7264,42.5095,1,6,0,0,0,0,0,0,0,0,-0.07139301,3.879523,-0.27697082433423,4.970468e-06,0.0007889323,1.931564e-05,0.003037243,,-1.52507000166e-05,,,,,,,25.4383675582723,0.0062410049477001
9,25,	06/23/2024 17:44:22.534,654.7266,52.5097,1,6,0,0,0,0,0,0,0,0,-0.08005238,3.878853,-0.31051141432014,4.970468e-06,0.00099903,1.931564e-05,0.003852245,,-0.0001078399000107,,0.0843953266739845,,,,,25.44836,-0.004013181
10,26,	06/23/2024 17:44:32.534,664.7266,62.5097,1,6,0,0,0,0,0,0,0,0,-0.08705139,3.877914,-0.33757780400046,4.970468e-06,0.001230891,1.931564e-05,0.004751472,,-0.00010314820247,,,,,,,25.5036043364727,0.0101403966798604
11,27,	06/23/2024 17:44:42.535,674.728,72.5111,1,6,0,0,0,0,0,0,0,0,-0.09336853,3.877295,-0.36201733452635,4.970468e-06,0.001481297,1.931564e-05,0.005722433,,,,,,,,,25.5474944494182,0.0120448875752105
12,28,	06/23/2024 17:44:52.536,684.7285,82.5116,1,6,0,0,0,0,0,0,0,0,-0.09948444,3.876549,-0.38565630639756,4.970468e-06,0.001749004,1.931564e-05,0.006760284,,5.32198391738e-05,,,,,,,25.53183,0.002570152
13,29,	06/23/2024 17:45:02.537,694.7293,92.5124,1,6,0,0,0,0,0,0,0,0,-0.1060009,3.875466,-0.4108028839194,4.970468e-06,0.002033844,1.931564e-05,0.007864353,,-8.33277590572e-05,,,,,,,25.53675,-0.01538336
