,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/21/2024 14:07:33.190,242.7284,0.5049,1,6,0,0,0,-0.02499771,3.859091,-0.096468438,0.0,2.57011e-06,0.0,9.92153e-06,,-2.6478e-05,,4.71707e-05,,,,,25.61485096,0.003518462
1,11,	03/21/2024 14:07:34.209,243.7476,1.5241,1,6,0,0,0,-0.04588223,3.848721,-0.176587902,0.0,1.27042e-05,0.0,4.89777e-05,,-0.003951979,,0.000895451,4605.330078,,,,25.61485,-0.003166795
2,12,	03/21/2024 14:07:36.057,245.5957,3.3722,1,6,0,0,0,-0.05417633,3.834382,-0.207732745,0.0,3.84058e-05,0.0,0.000147868,,-0.01421371,,0.003577411,1019.815002,,,,25.61072,-0.001290441
3,13,	03/21/2024 14:07:36.062,245.6012,3.3777,1,6,0,0,0,-0.0541935,3.844982,-0.208373032,0.0,3.84825e-05,0.0,0.000148162,,,,,,,,,25.61072,-0.001290441
4,14,	03/21/2024 14:07:36.562,246.1004,3.8769,1,6,0,0,0,-0.05522251,3.833851,-0.211714875,0.0,4.60979e-05,0.0,0.000177447,,,,,,,,,25.61071968,-0.001290441
5,15,	03/21/2024 14:07:36.567,246.1053,3.8818,1,6,0,0,0,-0.05522156,3.844286,-0.21228747,0.0,4.62022e-05,0.0,0.000177846,,,,,,,,,25.61072806,-0.00129328
6,16,	03/21/2024 14:07:46.567,256.1061,13.8826,1,6,0,0,0,-0.06488609,3.841044,-0.249230327,0.0,0.000215807,0.0,0.000829544,,-0.000380348,,0.016029639,-7480.189941,,,,25.62817556,-0.007209719
7,17,	03/21/2024 14:07:56.568,266.107,23.8835,1,6,0,0,0,-0.06992722,3.838023,-0.268382279,0.0,0.000403829,0.0,0.001551387,,-0.000187524,,,,,,,25.61465277,-0.008975846
8,18,	03/21/2024 14:08:06.569,276.1079,33.8844,1,6,0,0,0,-0.07441139,3.835528,-0.28540697,0.0,0.000604862,0.0,0.002322694,,-0.000130522,,0.062937059,25.60149002,,,,25.65050471,-0.003278908
9,19,	03/21/2024 14:08:16.570,286.1089,43.8854,1,6,0,0,0,-0.07800007,3.833803,-0.299036902,0.0,0.000816625,0.0,0.003134743,,-9.29553e-05,,,,,,,25.65706056,0.014652431
10,20,	03/21/2024 14:08:26.570,296.1091,53.8856,1,6,0,0,0,-0.08155823,3.832107,-0.312539864,0.0,0.001038017,0.0,0.003983299,,-0.000195428,,-0.000405995,,,,,25.65783,0.01888871
11,21,	03/21/2024 14:08:36.570,306.1092,63.8857,1,6,0,0,0,-0.08519554,3.829812,-0.326282901,0.0,0.001269569,0.0,0.00487037,,-0.000200028,,,,,,,25.66738501,-0.013368999
12,22,	03/21/2024 14:08:46.571,316.1098,73.8863,1,6,0,0,0,-0.08895779,3.828265,-0.340553994,0.0,0.001511625,0.0,0.005797203,,-0.000159355,,0.068793513,,,,,25.66812705,0.014955118
13,23,	03/21/2024 14:08:56.571,326.1101,83.8866,1,6,0,0,0,-0.09343624,3.825784,-0.357466872,0.0,0.001765032,0.0,0.006766965,,-9.08689e-05,,,8.247345924,,,,25.69422696,0.007683707
14,24,	03/21/2024 14:09:06.572,336.1103,93.8868,1,6,0,0,0,-0.09835339,3.823364,-0.376040811,0.0,0.002031327,0.0,0.007785412,,-0.000218575,,0.125426799,,,,,25.69645,0.01383424
15,25,	03/21/2024 14:09:16.572,346.1104,103.8869,1,6,0,0,0,-0.1037273,3.820364,-0.396276043,0.0,0.002311952,0.0,0.008857931,,-0.000289183,,-0.00043388,,,,,25.64357,-0.006444454
16,26,	03/21/2024 14:09:26.572,356.111,113.8875,1,6,0,0,0,-0.1097555,3.816172,-0.418845866,0.0,0.002608197,0.0,0.00998931,,-0.000353356,,0.05577467,,,,,25.6433754,-0.005506883
17,27,	03/21/2024 14:09:36.573,366.1113,123.8878,1,6,0,0,0,-0.1159401,3.81459,-0.442263946,0.0,0.002921576,0.0,0.01118515,,-0.000362257,,,9.76817131,,,,25.66628,0.000241399
18,28,	03/21/2024 14:09:46.573,376.1115,133.888,1,6,0,0,0,-0.1228924,3.810848,-0.468324257,0.0,0.003253503,0.0,0.01245064,,-0.00044393,,0.088064238,,,,,25.64654,0.006443858
19,29,	03/21/2024 14:09:56.305,385.8438,143.6203,1,6,0,0,0,-0.1301756,3.800646,-0.494751373,0.0,0.003596141,0.0,0.01375574,,-0.000775318,,0.110403597,,,,,25.64244,-0.00252068
20,30,	03/21/2024 14:10:06.306,395.8446,153.6211,1,6,0,0,0,-0.1388483,3.80303,-0.52804425,0.0,0.003969812,0.0,0.01517758,,-0.000148486,,0.063863367,16.23192978,,,,25.6567,-0.003982186
21,31,	03/21/2024 14:10:16.307,405.8454,163.6219,1,6,0,0,0,-0.1474972,3.798415,-0.560255577,0.0,0.004366773,0.0,0.01668637,,-0.000506757,,,,,,,25.68219,-0.000705123
22,32,	03/21/2024 14:10:26.308,415.8469,173.6234,1,6,0,0,0,-0.1568403,3.79395,-0.595044256,0.0,0.004788782,0.0,0.01828845,,-0.000656757,,0.087779567,,,,,25.67583,-0.000231266
23,33,	03/21/2024 14:10:36.308,425.8472,183.6237,1,6,0,0,0,-0.1667938,3.789137,-0.632004559,0.0,0.005237372,0.0,0.0199893,,-0.000501262,,0.081428021,7.477939129,,,,25.66079918,-0.011141191
