,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,821,	03/21/2024 16:09:43.555,7573.0941,0.2123,1,18,0,0,0,-0.02039719,3.842974,-0.078385871,0.118501,0.1763791,0.4601227,0.6527661,,-0.001807573,,5.26094e-05,9390.222656,,,,25.96594,-0.01113415
1,822,	03/21/2024 16:09:44.405,7573.9437,1.0619,1,18,0,0,0,-0.04434013,3.832156,-0.169918295,0.118501,0.1763862,0.4601227,0.6527933,,-0.005376172,,0.000971244,,,,,25.96594,-0.01113415
2,823,	03/21/2024 16:09:49.939,7579.4773,6.5955,1,18,0,0,0,-0.06570148,3.817922,-0.250843126,0.118501,0.1764769,0.4601227,0.6531404,,-0.0025439,,0.005408213,1512.400024,,,,25.92953,0.000752211
3,824,	03/21/2024 16:09:59.939,7589.4782,16.5964,1,18,0,0,0,-0.07351398,3.819686,-0.28080032,0.118501,0.1766708,0.4601227,0.6538814,,-0.000197064,,0.026915319,156.8320007,,,,25.94538,0.005946159
4,825,	03/21/2024 16:10:09.939,7599.4782,26.5964,1,18,0,0,0,-0.07914543,3.816877,-0.302088371,0.118501,0.1768829,0.4601227,0.6546912,,-0.000345866,,-0.000841169,,,,,25.91930988,0.000259933
5,826,	03/21/2024 16:10:19.940,7609.4784,36.5966,1,18,0,0,0,-0.08328247,3.814281,-0.317662743,0.118501,0.1771089,0.4601227,0.6555535,,-0.000214813,,0.042673539,,,,,25.87415,0.003721714
6,827,	03/21/2024 16:10:29.941,7619.4793,46.5975,1,18,0,0,0,-0.08751392,3.812374,-0.333635793,0.118501,0.1773467,0.4601227,0.6564603,,-0.000328076,,,,,,,25.89011749,0.002728711
7,828,	03/21/2024 16:10:39.941,7629.4794,56.5976,1,18,0,0,0,-0.09166813,3.81008,-0.349262909,0.118501,0.1775959,0.4601227,0.6574099,,,,-0.000350076,13.58055973,,,,25.87192,0.004475117
8,829,	03/21/2024 16:10:49.942,7639.4803,66.5985,1,18,0,0,0,-0.09630203,3.807182,-0.366639355,0.118501,0.177857,0.4601227,0.6584045,,-0.000323117,,0.047574591,,,,,25.79909588,0.003472577
9,830,	03/21/2024 16:10:59.943,7649.4819,76.6001,1,18,0,0,0,-0.1014481,3.805277,-0.386038122,0.118501,0.1781313,0.4601227,0.6594484,,-0.000301538,,,,,,,25.78727925,0.016870365
10,831,	03/21/2024 16:11:09.944,7659.4829,86.6011,1,18,0,0,0,-0.1065426,3.802463,-0.405124294,0.118501,0.17842,0.4601227,0.6605465,,-0.000373288,,0.125831097,,,,,25.74454,-0.01163006
11,832,	03/21/2024 16:11:19.572,7669.1111,96.2293,1,18,0,0,0,-0.1121044,3.791942,-0.425093383,0.118501,0.1787129,0.4601227,0.6616598,,-0.000605143,,,,,,,25.70022,-0.01436174
12,833,	03/21/2024 16:11:29.573,7679.1119,106.2301,1,18,0,0,0,-0.1192808,3.795812,-0.452767492,0.118501,0.1790346,0.4601227,0.6628815,,-0.00017894,,-0.000265968,10.07036018,,,,25.67649293,-0.004456142
13,834,	03/21/2024 16:11:39.573,7689.1121,116.2303,1,18,0,0,0,-0.1265182,3.790672,-0.479588998,0.118501,0.1793758,0.4601227,0.6641759,,-0.000427168,,0.062217589,,,,,25.73683,0.008182526
14,835,	03/21/2024 16:11:49.575,7699.1134,126.2316,1,18,0,0,0,-0.1343937,3.788157,-0.509104435,0.118501,0.1797383,0.4601227,0.6655501,,-0.00040388,,0.08411292,,,,,25.6982,-0.004166961
15,836,	03/21/2024 16:11:59.575,7709.1139,136.2321,1,18,0,0,0,-0.1432667,3.783731,-0.542082654,0.118501,0.1801239,0.4601227,0.6670099,,-0.000562779,,0.097561687,7.127920151,,,,25.67286,0.003991723
16,837,	03/21/2024 16:12:04.810,7714.3483,141.4665,1,18,0,0,0,-0.1480837,3.770211,-0.558306795,0.118501,0.1803356,0.4601227,0.6678104,,-0.005338276,,-0.000542931,,,,,25.6301621,-0.005913784
17,838,	03/21/2024 16:12:04.816,7714.3548,141.473,1,18,0,0,0,-0.1476107,3.780566,-0.558051994,0.118501,0.1803358,0.4601227,0.6678112,,,,,,,,,25.63012765,-0.005917758
18,839,	03/21/2024 16:12:14.818,7724.3563,151.4745,1,18,0,0,0,-0.1575022,3.776705,-0.594839346,0.118501,0.1807605,0.4601227,0.6694161,,-0.0003381,,0.068889879,-2793.125,,,,25.57629,-0.01212835
19,840,	03/21/2024 16:12:24.818,7734.3565,161.4747,1,18,0,0,0,-0.1681633,3.771257,-0.634187022,0.118501,0.1812133,0.4601227,0.6711251,,-0.000222124,,0.081570059,13.25415993,,,,25.61689336,-0.002716278
20,841,	03/21/2024 16:12:34.818,7744.3566,171.4748,1,18,0,0,0,-0.1788397,3.766213,-0.673548403,0.118501,0.1816962,0.4601227,0.6729446,,-0.000481254,,0.081729643,,,,,25.55828,-0.0173521
21,842,	03/21/2024 16:12:44.819,7754.3576,181.4758,1,18,0,0,0,-0.1911917,3.759681,-0.718819802,0.118501,0.182211,0.4601227,0.6748817,,-0.000416221,,0.087820269,11.78649998,,,,25.60202,0.004944801
22,843,	03/21/2024 16:12:49.880,7759.4185,186.5367,1,18,0,0,0,-0.1979685,3.745143,-0.741420342,0.118501,0.1824841,0.4601227,0.6759081,,-0.01303794,,-0.000982111,,,,,25.56088529,-0.012644778
23,844,	03/21/2024 16:12:49.885,7759.4241,186.5423,1,18,0,0,0,-0.197916,3.75597,-0.743366559,0.118501,0.1824847,0.4601227,0.6759104,,,,,,,,,25.5609207,-0.01263209
24,845,	03/21/2024 16:12:59.886,7769.425,196.5432,1,18,0,0,0,-0.2106562,3.749891,-0.789937788,0.118501,0.1830513,0.4601227,0.6780368,,-0.000255256,,0.06225238,48.46343994,,,,25.62529881,0.010438927
25,846,	03/21/2024 16:13:09.887,7779.4258,206.544,1,18,0,0,0,-0.2245874,3.742934,-0.840615815,0.118501,0.183655,0.4601227,0.6802984,,-0.000245604,,0.075236678,,,,,25.59688,-0.003192425
26,847,	03/21/2024 16:13:10.561,7780.0996,207.2178,1,18,0,0,0,-0.2253027,3.730256,-0.840436748,0.118501,0.1836969,0.4601227,0.6804554,,-0.003773795,,,,,,,25.59688,-0.003192425
27,848,	03/21/2024 16:13:10.565,7780.1041,207.2223,1,18,0,0,0,-0.2252483,3.741927,-0.842862695,0.118501,0.1836973,0.4601227,0.6804568,,,,,,,,,25.59688182,-0.003190435
28,849,	03/21/2024 16:13:20.566,7790.1051,217.2233,1,18,0,0,0,-0.2397718,3.734808,-0.895501637,0.118501,0.1843422,0.4601227,0.6828683,,-0.000433168,,0.06149888,-1972.625977,,,,25.60093,0.00123322
29,850,	03/21/2024 16:13:30.566,7800.1052,227.2234,1,18,0,0,0,-0.2546978,3.727625,-0.949417887,0.118501,0.1850281,0.4601227,0.6854276,,-0.000767878,,0.081267931,13.3099699,,,,25.58598152,-0.001753539
30,851,	03/21/2024 16:13:38.981,7808.5198,235.638,1,18,0,0,0,-0.2679157,3.716923,-0.995822027,0.118501,0.185638,0.4601227,0.687699,,-0.001195473,,0.096993931,11.30249977,,,,25.62327,0.00369966
31,852,	03/21/2024 16:13:48.982,7818.5205,245.6387,1,18,0,0,0,-0.2843218,3.713149,-1.055729207,0.118501,0.1864041,0.4601227,0.6905468,,-0.001160215,,0.075652331,11.46181965,,,,25.63775239,0.00720557
32,853,	03/21/2024 16:13:55.631,7825.1696,252.2878,1,18,0,0,0,-0.2950487,3.699246,-1.091457723,0.118501,0.1869393,0.4601227,0.6925327,,-0.000514599,,0.0390625,19.82810974,,,,25.68141,0.004456639
33,854,	03/21/2024 16:14:05.632,7835.1705,262.2887,1,18,0,0,0,-0.3127842,3.698786,-1.15692182,0.118501,0.1877836,0.4601227,0.6956589,,-0.001008051,,0.042782798,,,,,25.61656,-0.009909272
34,855,	03/21/2024 16:14:15.493,7845.0315,272.1497,1,18,0,0,0,-0.330781,3.688662,-1.220139305,0.118501,0.1886647,0.4601227,0.6989139,,-0.001494799,,0.099620812,6.274876118,,,,25.57772,-0.01412928
35,856,	03/21/2024 16:14:25.494,7855.033,282.1512,1,18,0,0,0,-0.3496256,3.680106,-1.286659268,0.118501,0.1896096,0.4601227,0.7023956,,-0.001096829,,0.084900282,10.07180977,,,,25.58651915,-0.006240089
36,857,	03/21/2024 16:14:35.495,7865.0339,292.1521,1,18,0,0,0,-0.3488359,3.678725,-1.283271346,0.118501,0.1906053,0.4601227,0.7060553,,0.02514088,,-0.021715131,,,,,25.61765,-0.002711415
37,858,	03/21/2024 16:14:45.495,7875.0341,302.1523,1,18,0,0,0,-0.3426323,3.681821,-1.261510797,0.118501,0.1915515,0.4601227,0.7095401,,-0.00019276,,-0.017513851,,,,,25.6059457,-0.002741217
