,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,36,	03/13/2024 21:50:37.895,1055.0553,0.0097,1,6,0,0,0,-1.124656,3.625744,-4.077714744,1.18812e-10,0.02257627,4.68779e-10,0.0881731,,-0.02712792,,,,,,,25.63416672,0.014044642
1,37,	03/13/2024 21:50:37.907,1055.0674,0.0218,1,6,0,0,0,-1.125854,3.640814,-4.099025005,1.18812e-10,0.0225798,4.68779e-10,0.08818591,,,,,,,,,25.63416672,0.014044642
2,38,	03/13/2024 21:50:38.263,1055.4242,0.3786,1,6,0,0,0,-1.126501,3.651166,-4.11304215,1.18812e-10,0.02269225,4.68779e-10,0.08859619,,0.016989689,,0.000100962,9904.741211,,,,25.63416672,0.014044642
3,39,	03/13/2024 21:50:38.393,1055.5537,0.5081,1,6,0,0,0,-0.7140503,3.759841,-2.684715594,1.18812e-10,0.02273221,4.68779e-10,0.08874205,,,,,,,,,25.63416672,0.014044642
4,40,	03/13/2024 21:50:38.891,1056.0514,1.0058,1,6,0,0,0,-0.4492149,3.82821,-1.719688972,1.18812e-10,0.02283121,4.68779e-10,0.08911429,,,,,,,,,25.63417,0.01404464
5,41,	03/13/2024 21:50:39.389,1056.5498,1.5042,1,6,0,0,0,-0.2791061,3.872395,-1.080809066,1.18812e-10,0.02289322,4.68779e-10,0.08935173,,0.08867085,,-0.001438104,-695.3601074,,,,25.62849,-0.001775026
6,42,	03/13/2024 21:50:39.887,1057.0481,2.0025,1,6,0,0,0,-0.1811857,3.897925,-0.70624827,1.18812e-10,0.0229319,4.68779e-10,0.08950151,,,,,,,,,25.62848663,-0.001775026
7,43,	03/13/2024 21:50:40.391,1057.5522,2.5066,1,6,0,0,0,-0.1010218,3.917301,-0.395732798,1.18812e-10,0.02295569,4.68779e-10,0.08959429,,0.041321151,,-0.001507213,-663.4760742,,,,25.62848663,-0.001775026
8,44,	03/13/2024 21:50:40.891,1058.0514,3.0058,1,6,0,0,0,-0.05931091,3.929128,-0.233040157,1.18812e-10,0.02296968,4.68779e-10,0.08964912,,,,,,,,,25.62849,-0.001775026
9,45,	03/13/2024 21:50:41.893,1059.0538,4.0082,1,6,0,0,0,-0.01580906,3.939981,-0.062287396,1.18812e-10,0.02298193,4.68779e-10,0.08969728,,0.004329524,,-0.001131006,-848.49823,,,,25.62848663,-0.001775026
10,46,	03/13/2024 21:50:51.893,1069.0539,14.0083,1,6,0,0,0,-0.01527214,3.941265,-0.060191551,4.87045e-06,0.0229945,1.92176e-05,0.08974683,,-0.000750045,,-0.000995091,-892.0023804,,,,25.74362,0.009462833
