,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/23/2024 19:52:15.591,242.8237,0.5754,1,6,0,0,0,-0.02943707,3.854057,-0.113452146,0.0,3.02493e-06,0.0,1.16655e-05,,-0.01913568,,6.78063e-05,,,,,25.94410706,0.0086689
1,11,	03/23/2024 19:52:23.085,250.3174,8.0691,1,6,0,0,0,-0.05725574,3.843987,-0.22009032,0.0,0.000107022,0.0,0.000411792,,-0.000949981,,0.004363299,3482.004883,,,,26.00659,0.009378195
2,12,	03/23/2024 19:52:33.086,260.3184,18.0701,1,6,0,0,0,-0.06315041,3.84242,-0.242650398,0.0,0.000273751,0.0,0.001052741,,-0.000136375,,0.035987481,96.78488159,,,,25.94541,-0.0226301
3,13,	03/23/2024 19:52:43.087,270.3195,28.0712,1,6,0,0,0,-0.06764984,3.841585,-0.259882611,0.0,0.000454788,0.0,0.00174835,,0.002380265,,,,,,,26.02718844,0.013655657
4,14,	03/23/2024 19:52:48.884,276.117,33.8687,1,6,0,0,0,-0.06947803,3.831379,-0.266196665,0.0,0.000564834,0.0,0.002171053,,-0.002213051,,,,,,,26.0373,0.008906126
5,15,	03/23/2024 19:52:48.923,276.1554,33.9071,1,6,0,0,0,-0.06940556,3.841453,-0.266618197,0.0,0.000565611,0.0,0.002174038,,,,,,,,,26.0373,0.008906126
6,16,	03/23/2024 19:52:49.387,276.6202,34.3719,1,6,0,0,0,-0.06951714,3.828075,-0.266116826,0.0,0.000574582,0.0,0.00220849,,-0.031650141,,-0.000205721,-1873.093018,,,,26.0373,0.008906126
7,17,	03/23/2024 19:52:49.394,276.6265,34.3782,1,6,0,0,0,-0.06975746,3.839805,-0.267855044,0.0,0.000574676,0.0,0.002208852,,,,,,,,,26.03726882,0.008899228
8,18,	03/23/2024 19:52:59.394,286.6268,44.3785,1,6,0,0,0,-0.07278156,3.839432,-0.27943985,0.0,0.000772616,0.0,0.002968943,,-0.000195195,,-0.000145663,-6865.138184,,,,25.98778,-0.0020504
9,19,	03/23/2024 19:53:09.394,296.6268,54.3785,1,6,0,0,0,-0.07581997,3.837704,-0.290974602,0.0,0.000979358,0.0,0.003762581,,-0.00019007,,,,,,,26.03221849,0.004619889
10,20,	03/23/2024 19:53:19.394,306.627,64.3787,1,6,0,0,0,-0.07923126,3.837028,-0.304012563,0.0,0.001195034,0.0,0.004590254,,-0.000141961,,0.109262802,,,,,26.11378207,0.020332179
11,21,	03/23/2024 19:53:29.394,316.627,74.3787,1,6,0,0,0,-0.08302498,3.835622,-0.31845244,0.0,0.001419944,0.0,0.005453069,,-0.000219715,,,,,,,26.07066388,-0.003980751
12,22,	03/23/2024 19:53:39.395,326.628,84.3797,1,6,0,0,0,-0.08670139,3.83477,-0.332479889,0.0,0.001655107,0.0,0.006354891,,,,,,,,,26.05060216,-0.013179091
13,23,	03/23/2024 19:53:49.396,336.629,94.3807,1,6,0,0,0,-0.09117985,3.832992,-0.349491636,0.0,0.001901735,0.0,0.007300301,,-0.000217419,,,7.797763824,,,,26.12165,0.005156994
14,24,	03/23/2024 19:53:59.396,346.6291,104.3808,1,6,0,0,0,-0.09548283,3.831181,-0.365812004,0.0,0.002160813,0.0,0.00829301,,-0.000209555,,-0.00027688,,,,,26.12539,0.00222683
15,25,	03/23/2024 19:54:09.396,356.6292,114.3809,1,6,0,0,0,-0.1011524,3.828978,-0.387310314,0.0,0.002433414,0.0,0.009337039,,-0.000234809,,-0.000489854,,,,,26.18462885,-0.004752209
16,26,	03/23/2024 19:54:19.396,366.6293,124.381,1,6,0,0,0,-0.1065264,3.826978,-0.407674189,0.0,0.002721229,0.0,0.01043876,,-0.000206842,,,,,,,26.19215,-0.001528263
17,27,	03/23/2024 19:54:29.397,376.6302,134.3819,1,6,0,0,0,-0.1124468,3.824683,-0.430073364,0.0,0.003025568,0.0,0.01160308,,-0.000302078,,0.090837717,,,,,26.2705,0.02155125
18,28,	03/23/2024 19:54:39.397,386.6303,144.382,1,6,0,0,0,-0.119442,3.820952,-0.456382149,0.0,0.00334761,0.0,0.01283438,,-0.000273771,,-0.00039202,11.02863026,,,,26.16317,0.005690455
19,29,	03/23/2024 19:54:49.398,396.6312,154.3829,1,6,0,0,0,-0.1262255,3.819176,-0.4820774,0.0,0.003688891,0.0,0.01413837,,-0.000109834,,0.080012918,,,,,26.11873,-0.006446242
20,30,	03/23/2024 19:54:59.398,406.6312,164.3829,1,6,0,0,0,-0.1343136,3.816932,-0.512665878,0.0,0.004050561,0.0,0.01551929,,-0.000164295,,,,,,,26.1637378,-0.005029454
21,31,	03/23/2024 19:55:09.399,416.6314,174.3831,1,6,0,0,0,-0.1420546,3.814022,-0.54179937,0.0,0.004434382,0.0,0.01698369,,-0.00044119,,0.123181798,,,,,26.21175718,0.003465329
22,32,	03/23/2024 19:55:19.399,426.6315,184.3832,1,6,0,0,0,-0.1508341,3.810147,-0.574700094,0.0,0.004841767,0.0,0.01853674,,-0.000732702,,,,,,,26.22342,-0.01094759
23,33,	03/23/2024 19:55:21.732,428.9652,186.7169,1,6,0,0,0,-0.1531706,3.797517,-0.581667957,0.0,0.004940133,0.0,0.01891154,,-0.003837367,,,,,,,26.2329498,0.002977251
24,34,	03/23/2024 19:55:21.738,428.9706,186.7223,1,6,0,0,0,-0.153162,3.809756,-0.583509848,0.0,0.004940384,0.0,0.0189125,,,,,,,,,26.23291608,0.002969251
25,35,	03/23/2024 19:55:31.738,438.9709,196.7226,1,6,0,0,0,-0.1623697,3.805668,-0.617925171,0.0,0.005378201,0.0,0.02057981,,-0.000472663,,-0.000842814,-2915.792969,,,,26.16929,-0.01212478
26,36,	03/23/2024 19:55:41.738,448.9709,206.7226,1,6,0,0,0,-0.1720171,3.803175,-0.654211134,0.0,0.005842603,0.0,0.02234678,,-0.000566431,,0.081723817,,,,,26.24535866,0.022351397
27,37,	03/23/2024 19:55:51.739,458.9718,216.7235,1,6,0,0,0,-0.1823092,3.798931,-0.692580071,0.0,0.006334904,0.0,0.0242181,,-0.00037423,,0.139919698,8.828538895,,,,26.15793125,-0.01065102
28,38,	03/23/2024 19:56:01.740,468.9729,226.7246,1,6,0,0,0,-0.1931868,3.795508,-0.733242045,0.0,0.006856377,0.0,0.02619829,,-0.000360369,,0.127974704,,,,,26.14261,-0.000477433
29,39,	03/23/2024 19:56:08.649,475.8815,233.6332,1,6,0,0,0,-0.2008924,3.784165,-0.760209989,0.0,0.007234269,0.0,0.02763199,,-0.000325465,,,,,,,26.19097067,-0.015113142
30,40,	03/23/2024 19:56:09.949,477.1815,234.9332,1,6,0,0,0,-0.2022705,3.794537,-0.767522896,0.0,0.007306981,0.0,0.02790773,,,,-0.000635702,13.77879047,,,,26.19097137,0.015872717
