,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,16,	06/23/2024 17:43:43.323,602.2212,0.0097,1,6,0,0,0,-1.323993,3.77295,-4.995359389,0.0,1.7e-07,0.0,6.59e-07,,-0.01198033,,,,,,,23.86280823,-0.004579406
1,17,	06/23/2024 17:43:43.816,602.7141,0.5026,1,6,0,0,0,-0.6853275,3.824503,-2.62103708,0.0,0.000181645,0.0,0.000685116,,,,,,,,,23.86281,-0.004579425
2,18,	06/23/2024 17:43:44.315,603.2133,1.0018,1,6,0,0,0,-0.4753246,3.844455,-1.827364035,0.0,0.00027595,0.0,0.001045909,,0.046025671,,-0.002819188,-354.7120972,,,,23.86280823,-0.004579425
3,19,	06/23/2024 17:43:44.360,603.2581,1.0466,1,6,0,0,0,-0.3456564,3.854567,-1.332355753,0.0,0.000280465,0.0,0.001063301,,,,,,,,,23.86280823,-0.004579425
4,20,	06/23/2024 17:43:44.818,603.7164,1.5049,1,6,0,0,0,-0.1708775,3.869471,-0.661205531,0.0,0.000324617,0.0,0.001233489,,,,,,,,,23.86280823,-0.004579425
5,21,	06/23/2024 17:43:45.821,604.7189,2.5074,1,6,0,0,0,-0.03473568,3.881785,-0.134836442,0.0,0.000359288,0.0,0.001367745,,0.004394006,,-0.003216042,-373.0823059,,,,23.89396738,0.009736779
6,22,	06/23/2024 17:43:55.821,614.7189,12.5074,1,6,0,0,0,-0.01738262,3.883791,-0.067510463,5.04e-06,0.0003775,1.96e-05,0.001438472,,-0.000331269,,-0.00221652,-355.1872864,,,,23.90678584,0.001008598
7,23,	06/23/2024 17:44:05.821,624.719,22.5075,1,6,0,0,0,-0.0429945,3.881822,-0.166896996,5.04e-06,0.000462956,1.96e-05,0.001770245,,-9.24e-05,,,,,,,23.88784618,-0.00223693
8,24,	06/23/2024 17:44:15.822,634.72,32.5085,1,6,0,0,0,-0.0592041,3.879992,-0.229711434,5.04e-06,0.000606038,1.96e-05,0.002325483,,-0.000204834,,,,,,,23.91325,-0.006926656
9,25,	06/23/2024 17:44:25.823,644.7209,42.5094,1,6,0,0,0,-0.07178497,3.878615,-0.278426261,5.04e-06,0.000787993,1.96e-05,0.003031316,,-0.000154675,,,,,,,23.95761636,0.001569901
10,26,	06/23/2024 17:44:35.823,654.721,52.5095,1,6,0,0,0,-0.07987213,3.877993,-0.309743561,5.04e-06,0.000997983,1.96e-05,0.003845666,,-1.94e-05,,0.085253179,,,,,23.97223839,-0.002235136
11,27,	06/23/2024 17:44:45.824,664.7219,62.5104,1,6,0,0,0,-0.08699894,3.876745,-0.337272706,5.04e-06,0.001229746,1.96e-05,0.004744235,,-0.000146423,,,,,,,23.92500925,-0.026282428
12,28,	06/23/2024 17:44:55.824,674.722,72.5105,1,6,0,0,0,-0.09358597,3.875937,-0.362733324,5.04e-06,0.001479937,1.96e-05,0.005714041,,-4.69e-05,,,,,,,23.94968,-0.02260745
13,29,	06/23/2024 17:45:05.825,684.7231,82.5116,1,6,0,0,0,-0.09958839,3.875134,-0.385918356,5.04e-06,0.001747343,1.96e-05,0.006750362,,-9.98e-05,,,,,,,23.92139,-0.01957357
14,30,	06/23/2024 17:45:15.827,694.7246,92.5131,1,6,0,0,0,-0.105772,3.873603,-0.409718737,5.04e-06,0.002032001,1.96e-05,0.007853319,,,,,,,,,23.98187195,-0.002795626
15,31,	06/23/2024 17:45:25.828,704.7256,102.5141,1,6,0,0,0,-0.1123428,3.873157,-0.435121302,5.04e-06,0.00233427,1.96e-05,0.009024261,,-9.7e-05,,,,,,,24.03981,0.02851307
16,32,	06/23/2024 17:45:35.828,714.7264,112.5149,1,6,0,0,0,-0.1193848,3.871949,-0.462251857,5.04e-06,0.002655655,1.96e-05,0.01026898,,5.12e-05,,0.311980098,5.009024143,,,,24.00901634,-0.008396733
17,33,	06/23/2024 17:45:45.828,724.7265,122.515,1,6,0,0,0,-0.1271973,3.871712,-0.492471313,5.04e-06,0.002997469,1.96e-05,0.01159249,,-0.00012672,,,,,,,24.01224515,-0.003014261
18,34,	06/23/2024 17:45:55.829,734.7267,132.5152,1,6,0,0,0,-0.1360312,3.870699,-0.52653583,5.04e-06,0.003361075,1.96e-05,0.01300003,,5.02e-05,,,,,,,24.02154,0.003464818
19,35,	06/23/2024 17:46:05.829,744.7267,142.5152,1,6,0,0,0,-0.1438675,3.869242,-0.556658173,5.04e-06,0.003748053,1.96e-05,0.01449763,,-0.000165963,,,,,,,24.07236,0.01229882
20,36,	06/23/2024 17:46:15.830,754.7277,152.5162,1,6,0,0,0,-0.1540003,3.86832,-0.59572244,5.04e-06,0.004160461,1.96e-05,0.01609317,,0.01639243,,0.331400096,,,,,24.05479,0.01375496
21,37,	06/23/2024 17:46:25.830,764.7279,162.5164,1,6,0,0,0,-0.1634741,3.867036,-0.63216023,5.04e-06,0.004600118,1.96e-05,0.0177936,,-0.000105898,,,,,,,24.08411,0.02313793
22,38,	06/23/2024 17:46:35.830,774.728,172.5165,1,6,0,0,0,-0.1740665,3.865725,-0.672893221,5.04e-06,0.005068599,1.96e-05,0.01960489,,0.01439026,,,,,,,24.06086,0.001007915
23,39,	06/23/2024 17:46:45.831,784.7288,182.5173,1,6,0,0,0,-0.1857977,3.864245,-0.717967833,5.04e-06,0.005567769,1.96e-05,0.02153415,,-0.000133226,,,,,,,23.99467534,-0.00603788
24,40,	06/23/2024 17:46:55.831,794.7289,192.5174,1,6,0,0,0,-0.1980467,3.862755,-0.765005881,5.04e-06,0.006099287,1.96e-05,0.02358767,,-4.31e-06,,0.355092615,2.979734898,,,,24.01722,0.00459075
25,41,	06/23/2024 17:47:05.831,804.7291,202.5176,1,6,0,0,0,-0.2104025,3.861079,-0.812380674,5.04e-06,0.006665562,1.96e-05,0.02577459,,,,,,,,,23.96033535,-0.018557675
26,42,	06/23/2024 17:47:15.831,814.7292,212.5177,1,6,0,0,0,-0.2237406,3.85957,-0.863542508,5.04e-06,0.007268005,1.96e-05,0.02810021,,-0.00018431,,,,,,,23.99324,0.004022717
27,43,	06/23/2024 17:47:25.831,824.7293,222.5178,1,6,0,0,0,-0.2379761,3.857813,-0.918067292,5.04e-06,0.007908513,1.96e-05,0.03057167,,-0.00017434,,0.3390508,,,,,24.03329809,0.020463898
28,44,	06/23/2024 17:47:35.831,834.7294,232.5179,1,6,0,0,0,-0.2529478,3.855984,-0.97536267,5.04e-06,0.008588999,1.96e-05,0.03319615,,-8.3e-05,,,,,,,24.00540952,0.009061808
29,45,	06/23/2024 17:47:45.831,844.7295,242.518,1,6,0,0,0,-0.2682791,3.853216,-1.033737321,5.04e-06,0.009311527,1.96e-05,0.03598139,,-0.000141554,,,,,,,24.02474,-0.001227856
30,46,	06/23/2024 17:47:55.832,854.7296,252.5181,1,6,0,0,0,-0.2842102,3.852254,-1.09484988,5.04e-06,0.01007762,1.96e-05,0.03893307,,-0.000220603,,0.368041486,2.67594099,,,,23.98820532,-0.010847353
31,47,	06/23/2024 17:48:05.832,864.7297,262.5182,1,6,0,0,0,-0.3013401,3.848732,-1.159777286,5.04e-06,0.01088888,1.96e-05,0.04205703,,-0.000164889,,,,,,,24.05655983,0.008835596
32,48,	06/23/2024 17:48:15.832,874.7299,272.5184,1,6,0,0,0,-0.3182774,3.848053,-1.224748304,5.04e-06,0.01174809,1.96e-05,0.04536377,,-6.92e-05,,,,,,,24.02219616,-0.021016895
33,49,	06/23/2024 17:48:25.832,884.73,282.5185,1,6,0,0,0,-0.3363848,3.845083,-1.293427476,5.04e-06,0.01265648,1.96e-05,0.04885773,,-0.000303545,,0.447746694,,,,,24.00217267,-0.000336973
