,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,16,	06/23/2024 17:43:43.323,602.2212,0.0097,1,6,0,0,0,0,0,0,0,0,-1.323993,3.77295,-4.99535938935,0.0,1.698445e-07,0.0,6.587089e-07,,-0.0119803296402097,,,,,,,23.8628082347587,-0.0045794060428935
1,17,	06/23/2024 17:43:43.816,602.7141,0.5026,1,6,0,0,0,0,0,0,0,0,-0.6853275,3.824503,-2.6210370797325,0.0,0.0001816452,0.0,0.0006851162,,,,,,,,,23.86281,-0.004579425
2,18,	06/23/2024 17:43:44.315,603.2133,1.0018,1,6,0,0,0,0,0,0,0,0,-0.4753246,3.844455,-1.827364035093,0.0,0.0002759504,0.0,0.001045909,,0.0460256710648537,,-0.002819187939167,-354.712097167969,,,,23.8628082278941,-0.0045794248581216
3,19,	06/23/2024 17:43:44.360,603.2581,1.0466,1,6,0,0,0,0,0,0,0,0,-0.3456564,3.854567,-1.3323557527788,0.0,0.0002804654,0.0,0.001063301,,,,,,,,,23.8628082278941,-0.0045794248581216
4,20,	06/23/2024 17:43:44.818,603.7164,1.5049,1,6,0,0,0,0,0,0,0,0,-0.1708775,3.869471,-0.6612055308025,0.0,0.0003246172,0.0,0.001233489,,,,,,,,,23.8628082278914,-0.0045794248581214
5,21,	06/23/2024 17:43:45.821,604.7189,2.5074,1,6,0,0,0,0,0,0,0,0,-0.03473568,3.881785,-0.1348364415888,0.0,0.0003592884,0.0,0.001367745,,0.0043940059840679,,-0.0032160419505089,-373.082305908203,,,,23.8939673812237,0.0097367786706987
6,22,	06/23/2024 17:43:55.821,614.7189,12.5074,1,6,0,0,0,0,0,0,0,0,-0.01738262,3.883791,-0.06751046311242,5.043834e-06,0.0003775004,1.959761e-05,0.001438472,,-0.0003312689077574,,-0.0022165200207382,-355.187286376953,,,,23.9067858368062,0.0010085978865637
7,23,	06/23/2024 17:44:05.821,624.719,22.5075,1,6,0,0,0,0,0,0,0,0,-0.0429945,3.881822,-0.166896995979,5.043834e-06,0.0004629563,1.959761e-05,0.001770245,,-9.2447582574e-05,,,,,,,23.8878461824802,-0.0022369298640117
8,24,	06/23/2024 17:44:15.822,634.72,32.5085,1,6,0,0,0,0,0,0,0,0,-0.0592041,3.879992,-0.2297114343672,5.043834e-06,0.0006060377,1.959761e-05,0.002325483,,-0.0002048339956672,,,,,,,23.91325,-0.006926656
9,25,	06/23/2024 17:44:25.823,644.7209,42.5094,1,6,0,0,0,0,0,0,0,0,-0.07178497,3.878615,-0.27842626141655,5.043834e-06,0.0007879926,1.959761e-05,0.003031316,,-0.00015467510093,,,,,,,23.9576163624066,0.0015699013854561
10,26,	06/23/2024 17:44:35.823,654.721,52.5095,1,6,0,0,0,0,0,0,0,0,-0.07987213,3.877993,-0.30974356103509,5.043834e-06,0.000997983,1.959761e-05,0.003845666,,-1.93990399566e-05,,0.0852531790733337,,,,,23.9722383944655,-0.0022351361278558
11,27,	06/23/2024 17:44:45.824,664.7219,62.5104,1,6,0,0,0,0,0,0,0,0,-0.08699894,3.876745,-0.3372727056503,5.043834e-06,0.001229746,1.959761e-05,0.004744235,,-0.000146423393744,,,,,,,23.9250092460735,-0.0262824276604082
12,28,	06/23/2024 17:44:55.824,674.722,72.5105,1,6,0,0,0,0,0,0,0,0,-0.09358597,3.875937,-0.36273332380389,5.043834e-06,0.001479937,1.959761e-05,0.005714041,,-4.69005899503e-05,,,,,,,23.94968,-0.02260745
13,29,	06/23/2024 17:45:05.825,684.7231,82.5116,1,6,0,0,0,0,0,0,0,0,-0.09958839,3.875134,-0.38591835609426,5.043834e-06,0.001747343,1.959761e-05,0.006750362,,-9.97807583189e-05,,,,,,,23.92139,-0.01957357
14,30,	06/23/2024 17:45:15.827,694.7246,92.5131,1,6,0,0,0,0,0,0,0,0,-0.105772,3.873603,-0.409718736516,5.043834e-06,0.002032001,1.959761e-05,0.007853319,,,,,,,,,23.9818719538649,-0.0027956255942467
15,31,	06/23/2024 17:45:25.828,704.7256,102.5141,1,6,0,0,0,0,0,0,0,0,-0.1123428,3.873157,-0.4351213022196,5.043834e-06,0.00233427,1.959761e-05,0.009024261,,-9.70018008956e-05,,,,,,,24.03981,0.02851307
16,32,	06/23/2024 17:45:35.828,714.7264,112.5149,1,6,0,0,0,0,0,0,0,0,-0.1193848,3.871949,-0.4622518569752,5.043834e-06,0.002655655,1.959761e-05,0.01026898,,5.1168299251e-05,,0.311980098485947,5.00902414321899,,,,24.0090163448992,-0.0083967332874496
17,33,	06/23/2024 17:45:45.828,724.7265,122.515,1,6,0,0,0,0,0,0,0,0,-0.1271973,3.871712,-0.4924713127776,5.043834e-06,0.002997469,1.959761e-05,0.01159249,,-0.000126719896798,,,,,,,24.0122451459712,-0.0030142607147043
18,34,	06/23/2024 17:45:55.829,734.7267,132.5152,1,6,0,0,0,0,0,0,0,0,-0.1360312,3.870699,-0.5265358298088,5.043834e-06,0.003361075,1.959761e-05,0.01300003,,5.0216258387e-05,,,,,,,24.02154,0.003464818
