,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,239,	03/23/2024 20:26:29.046,2284.2761,0.0082,1,8,0,0,0,-1.118093,3.664595,-4.097358017,0.000266757,0.131498,0.001037569,0.5010759,,-0.176120296,,,,,,,25.64902,-0.01540369
1,240,	03/23/2024 20:26:29.544,2284.7744,0.5065,1,8,0,0,0,-0.7098722,3.716537,-2.638266297,0.000266757,0.1316535,0.001037569,0.5016452,,,,,,,,,25.64902496,0.015406982
2,241,	03/23/2024 20:26:30.042,2285.272,1.0041,1,8,0,0,0,-0.4429741,3.752751,-1.662371497,0.000266757,0.1317518,0.001037569,0.5020106,,0.072764367,,-0.002362721,-423.2408142,,,,25.64902,0.01541317
3,242,	03/23/2024 20:26:30.541,2285.7712,1.5033,1,8,0,0,0,-0.3578224,3.767282,-1.348017887,0.000266757,0.1318131,0.001037569,0.5022405,,,,,,,,,25.64902,0.01541317
4,243,	03/23/2024 20:26:30.557,2285.7872,1.5193,1,8,0,0,0,-0.272522,3.777617,-1.02948374,0.000266757,0.1318145,0.001037569,0.5022459,,,,,,,,,25.64902,0.01541317
5,244,	03/23/2024 20:26:31.044,2286.2743,2.0064,1,8,0,0,0,-0.163537,3.792005,-0.620133122,0.000266757,0.1318514,0.001037569,0.5023851,,0.038146969,,-0.000784023,-547.2025757,,,,25.64902496,0.015413165
6,245,	03/23/2024 20:26:31.756,2286.9857,2.7178,1,8,0,0,0,-0.09364891,3.802072,-0.356059899,0.000266757,0.1318795,0.001037569,0.5024918,,,,,,,,,25.65146793,0.000765595
7,246,	03/23/2024 20:26:32.658,2287.888,3.6201,1,8,0,0,0,-0.02237129,3.812766,-0.085296494,0.000266757,0.1318946,0.001037569,0.5025492,,0.005301625,,-0.001359582,-358.2099915,,,,25.65146828,0.000763535
8,247,	03/23/2024 20:26:42.658,2297.8881,13.6202,1,8,0,0,0,-0.004919052,3.815706,-0.018769656,0.000285945,0.1318987,0.001110811,0.5025651,,-0.000708131,,,-707.0897217,,,,25.66179,-0.000752807
9,248,	03/23/2024 20:26:52.659,2307.889,23.6211,1,8,0,0,0,-0.02840137,3.814215,-0.108328931,0.000285945,0.1319472,0.001110811,0.5027499,,-0.0001763,,,,,,,25.67526804,0.001984211
10,249,	03/23/2024 20:27:02.660,2317.89,33.6221,1,8,0,0,0,-0.04415131,3.811553,-0.168285058,0.000285945,0.1320491,0.001110811,0.5031382,,-0.000231792,,,,,,,25.64264712,0.001271374
11,250,	03/23/2024 20:27:12.660,2327.89,43.6221,1,8,0,0,0,-0.05401134,3.809817,-0.205773321,0.000285945,0.132186,0.001110811,0.50366,,-0.00019293,,,,,,,25.68318,0.003225207
12,251,	03/23/2024 20:27:22.661,2337.8911,53.6232,1,8,0,0,0,-0.06147766,3.809247,-0.234183592,0.000285945,0.132347,0.001110811,0.5042735,,-0.000127954,,,,,,,25.64434,-0.01217902
13,252,	03/23/2024 20:27:32.663,2347.8927,63.6248,1,8,0,0,0,-0.06717014,3.807608,-0.255757562,0.000285945,0.1325259,0.001110811,0.5049548,,-0.000126004,,0.101161301,,,,,25.68559,0.004690886
14,253,	03/23/2024 20:27:42.663,2357.8928,73.6249,1,8,0,0,0,-0.07166672,3.807643,-0.272881285,0.000285945,0.132719,0.001110811,0.5056901,,-0.000108173,,,,,,,25.71108,0.01317441
15,254,	03/23/2024 20:27:52.664,2367.8943,83.6264,1,8,0,0,0,-0.07629967,3.80689,-0.290464451,0.000285945,0.1329245,0.001110811,0.5064725,,6.44e-06,,,,,,,25.64994,-0.03873169
16,255,	03/23/2024 20:28:02.665,2377.8952,93.6273,1,8,0,0,0,-0.08040619,3.806632,-0.306076776,0.000285945,0.1331422,0.001110811,0.5073013,,-9.56e-05,,,8.586289406,,,,25.71182761,-0.016888002
17,256,	03/23/2024 20:28:12.666,2387.8965,103.6286,1,8,0,0,0,-0.08457756,3.806171,-0.321916656,0.000285945,0.1333717,0.001110811,0.5081746,,-8.43e-05,,,,,,,25.73885,0.001994371
18,257,	03/23/2024 20:28:22.667,2397.8973,113.6294,1,8,0,0,0,-0.0895071,3.805096,-0.340583108,0.000285945,0.1336137,0.001110811,0.5090955,,4.1e-05,,,,,,,25.72684,-0.005218387
19,258,	03/23/2024 20:28:32.668,2407.8981,123.6302,1,8,0,0,0,-0.09434986,3.804031,-0.358909792,0.000285945,0.1338688,0.001110811,0.5100663,,,,,,,,,25.7452,-0.001231432
20,259,	03/23/2024 20:28:42.669,2417.899,133.6311,1,8,0,0,0,-0.09934902,3.80249,-0.377773655,0.000285945,0.134138,0.001110811,0.51109,,-0.000102066,,0.301152498,,,,,25.76327,0.001475215
21,260,	03/23/2024 20:28:52.670,2427.8999,143.632,1,8,0,0,0,-0.1051531,3.801498,-0.399739299,0.000285945,0.1344223,0.001110811,0.512171,,1.2e-05,,,,,,,25.74021935,-0.012695052
22,261,	03/23/2024 20:29:02.670,2437.9001,153.6322,1,8,0,0,0,-0.1108265,3.801136,-0.421266599,0.000285945,0.1347228,0.001110811,0.5133134,,-9.12e-05,,,,,,,25.77039498,-0.001465791
23,262,	03/23/2024 20:29:12.670,2447.9003,163.6324,1,8,0,0,0,-0.1179171,3.800566,-0.448151721,0.000285945,0.1350406,0.001110811,0.5145213,,-0.000125683,,,,,,,25.76493,-0.02056837
24,263,	03/23/2024 20:29:22.670,2457.9004,173.6325,1,8,0,0,0,-0.124609,3.79919,-0.473413267,0.000285945,0.1353766,0.001110811,0.5157981,,-0.000125038,,,,,,,25.79012,-0.004973412
25,264,	03/23/2024 20:29:32.672,2467.9021,183.6342,1,8,0,0,0,-0.1315088,3.797806,-0.49944491,0.000285945,0.1357325,0.001110811,0.5171497,,-4.14e-05,,0.342825502,,,,,25.81864,0.008675456
26,265,	03/23/2024 20:29:42.673,2477.9029,193.635,1,8,0,0,0,-0.1394215,3.796268,-0.529281379,0.000285945,0.1361091,0.001110811,0.5185798,,0.001080007,,,,,,,25.84152,0.02331138
27,266,	03/23/2024 20:29:52.673,2487.9036,203.6357,1,8,0,0,0,-0.1478539,3.795239,-0.561140888,0.000285945,0.1365076,0.001110811,0.5200925,,-0.000134697,,,,,,,25.86200312,0.011420965
