,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,95,	03/23/2024 00:08:25.755,1093.2609,10.0008,1,7,0,0,0,-0.06135178,3.859129,-0.236764433,2.34254e-07,0.04926119,9.07407e-07,0.1897067,,0.002200598,,,,,,,26.26701928,-0.002688833
1,96,	03/23/2024 00:08:35.756,1103.262,20.0019,1,7,0,0,0,-0.09261608,3.856338,-0.357158909,2.34254e-07,0.04951328,9.07407e-07,0.1906788,,-0.000845347,,0.00489218,,,,,26.25278,0.003222227
2,97,	03/23/2024 00:08:45.756,1113.262,30.0019,1,7,0,0,0,-0.09128857,3.856637,-0.352066877,2.34254e-07,0.04976834,9.07407e-07,0.1916624,,0.008200031,,,,,,,26.2338316,-0.000231231
3,98,	03/23/2024 00:08:55.756,1123.2622,40.0021,1,7,0,0,0,-0.09190464,3.856407,-0.354421697,2.34254e-07,0.05002281,9.07407e-07,0.1926437,,-1.78974e-05,,,,,,,26.2274533,0.003685912
4,99,	03/23/2024 00:09:05.758,1133.2638,50.0037,1,7,0,0,0,-0.09374905,3.854821,-0.361385807,2.34254e-07,0.05028101,9.07407e-07,0.1936394,,-4.86403e-05,,,,,,,26.19916,-0.002698302
5,100,	03/23/2024 00:09:15.758,1143.2639,60.0038,1,7,0,0,0,-0.09652042,3.856139,-0.372196156,2.34254e-07,0.05054558,9.07407e-07,0.1946596,,,,,8.312580109,,,,26.25782,0.007674694
6,101,	03/23/2024 00:09:25.760,1153.2655,70.0054,1,7,0,0,0,-0.1007128,3.854273,-0.388174626,2.34254e-07,0.05081955,9.07407e-07,0.1957159,,-5.81258e-05,,,,,,,26.17554365,0.005270863
7,102,	03/23/2024 00:09:35.760,1163.2656,80.0055,1,7,0,0,0,-0.1051054,3.856018,-0.405288314,2.34254e-07,0.05110537,9.07407e-07,0.1968178,,-5.61422e-05,,,,,,,26.17948,0.003224015
8,103,	03/23/2024 00:09:45.761,1173.2667,90.0066,1,7,0,0,0,-0.1106062,3.853578,-0.426229619,2.34254e-07,0.05140525,9.07407e-07,0.1979737,,-8.27045e-05,,0.398411691,,,,,26.14238,-0.02085447
9,104,	03/23/2024 00:09:55.762,1183.2673,100.0072,1,7,0,0,0,-0.1170959,3.853464,-0.451224835,2.34254e-07,0.05172128,9.07407e-07,0.1991916,,-9.32396e-05,,,,,,,26.12662331,0.002992511
10,105,	03/23/2024 00:10:05.762,1193.2678,110.0077,1,7,0,0,0,-0.1240311,3.852164,-0.477788138,2.34254e-07,0.05205532,9.07407e-07,0.2004787,,-8.85571e-05,,,,,,,26.09345469,-0.022844414
11,106,	03/23/2024 00:10:15.763,1203.2688,120.0087,1,7,0,0,0,-0.1318369,3.851871,-0.507818732,2.34254e-07,0.05241008,9.07407e-07,0.2018454,,,,,,,,,26.08483,-0.000231862
12,107,	03/23/2024 00:10:25.763,1213.2688,130.0087,1,7,0,0,0,-0.1405945,3.850991,-0.541428154,2.34254e-07,0.05278715,9.07407e-07,0.2032976,,3.21605e-05,,,,,,,26.14073316,0.002051569
13,108,	03/23/2024 00:10:35.764,1223.2696,140.0095,1,7,0,0,0,-0.1494608,3.849911,-0.575410778,2.34254e-07,0.05318874,9.07407e-07,0.2048438,,2.68703e-05,,0.357092589,,,,,26.07004999,-0.007437373
14,109,	03/23/2024 00:10:45.765,1233.2712,150.0111,1,7,0,0,0,-0.1593475,3.848058,-0.613178422,2.34254e-07,0.05361664,9.07407e-07,0.2064908,,-3.1094e-05,,,,,,,26.0511,-0.000756979
15,110,	03/23/2024 00:10:55.766,1243.2722,160.0121,1,7,0,0,0,-0.1698303,3.847655,-0.653448403,2.34254e-07,0.05407295,9.07407e-07,0.2082467,,-0.000114996,,,,,,,26.01962,0.007975101
16,111,	03/23/2024 00:11:05.768,1253.2739,170.0138,1,7,0,0,0,-0.1812344,3.846015,-0.697030221,2.34254e-07,0.05455972,9.07407e-07,0.2101191,,-2.85678e-05,,,,,,,26.01494985,-0.002514019
17,112,	03/23/2024 00:11:15.769,1263.2748,180.0147,1,7,0,0,0,-0.193037,3.844434,-0.742118006,2.34254e-07,0.05507858,9.07407e-07,0.2121143,,-0.000148899,,,2.322021961,,,,26.03746392,-0.004452448
18,113,	03/23/2024 00:11:25.770,1273.2756,190.0155,1,7,0,0,0,-0.2060585,3.843079,-0.791899094,2.34254e-07,0.05563226,9.07407e-07,0.2142425,,-0.001909556,,0.377870888,,,,,25.99320456,0.003282946
19,114,	03/23/2024 00:11:35.770,1283.2758,200.0157,1,7,0,0,0,-0.2195816,3.841468,-0.84351569,2.34254e-07,0.05622245,9.07407e-07,0.2165102,,-0.000251915,,,,,,,26.02512,0.01066327
20,115,	03/23/2024 00:11:45.771,1293.2765,210.0164,1,7,0,0,0,-0.2333851,3.839561,-0.896096328,2.34254e-07,0.05685095,9.07407e-07,0.2189239,,-0.000234029,,,,,,,25.96172,-0.009907484
21,116,	03/23/2024 00:11:55.771,1303.2768,220.0167,1,7,0,0,0,-0.2483397,3.838088,-0.953149622,2.34254e-07,0.05751969,9.07407e-07,0.2214911,,-0.000326261,,0.362328887,,,,,25.93737436,-0.006680521
22,117,	03/23/2024 00:12:05.771,1313.2769,230.0168,1,7,0,0,0,-0.2643213,3.835889,-1.013907167,2.34254e-07,0.05823047,9.07407e-07,0.2242183,,-0.000150429,,,,,,,25.92481244,0.002286941
23,118,	03/23/2024 00:12:15.772,1323.278,240.0179,1,7,0,0,0,-0.2801991,3.834054,-1.07429848,2.34254e-07,0.05898582,9.07407e-07,0.227115,,-0.000289293,,,2.698152065,,,,25.92408,-0.01741588
24,119,	03/23/2024 00:12:25.772,1333.278,250.0179,1,7,0,0,0,-0.2975683,3.831899,-1.140251671,2.34254e-07,0.0597877,9.07407e-07,0.2301885,,-0.000215366,,0.43196851,,,,,25.96802095,0.005991821
25,120,	03/23/2024 00:12:35.772,1343.2781,260.018,1,7,0,0,0,-0.3156929,3.829141,-1.208832627,2.34254e-07,0.06063821,9.07407e-07,0.2334466,,-0.000220988,,,,,,,25.94961,-0.00498414
26,121,	03/23/2024 00:12:45.773,1353.2789,270.0188,1,7,0,0,0,-0.3339672,3.828548,-1.278609456,2.34254e-07,0.06153828,9.07407e-07,0.2368925,,-0.00020962,,0.34972769,,,,,25.9631,0.01036644
27,122,	03/23/2024 00:12:55.774,1363.28,280.0199,1,7,0,0,0,-0.3209343,3.826205,-1.227960423,2.34254e-07,0.06246042,9.07407e-07,0.2404217,,0.000682824,,,,,,,25.99032947,0.008208773
28,123,	03/23/2024 00:13:05.775,1373.2808,290.0207,1,7,0,0,0,-0.3331118,3.82593,-1.274462429,2.34254e-07,0.06336749,9.07407e-07,0.2438931,,-3.04224e-06,,,,,,,25.98640064,-0.002226725
29,124,	03/23/2024 00:13:15.776,1383.2816,300.0215,1,7,0,0,0,-0.3146353,3.827538,-1.204278567,2.34254e-07,0.06424728,9.07407e-07,0.2472606,,0.000313166,,,,,,,26.05152256,0.012962666
30,125,	03/23/2024 00:13:25.777,1393.2825,310.0224,1,7,0,0,0,-0.2978573,3.828807,-1.140438115,2.34254e-07,0.06512341,9.07407e-07,0.2506137,,-2.37865e-05,,,,,,,26.02202826,-0.010904431
31,126,	03/23/2024 00:13:35.777,1403.2828,320.0227,1,7,0,0,0,-0.2945938,3.828849,-1.127955177,2.34254e-07,0.06594204,9.07407e-07,0.2537479,,0.000156588,,,,,,,26.04194,0.010975
32,127,	03/23/2024 00:13:45.777,1413.2828,330.0227,1,7,0,0,0,-0.295228,3.828348,-1.130235523,2.34254e-07,0.0667602,9.07407e-07,0.2568802,,-6.18402e-05,,,,,,,26.0444,-0.01734376
33,128,	03/23/2024 00:13:55.777,1423.2831,340.023,1,7,0,0,0,-0.2954655,3.827767,-1.130973091,2.34254e-07,0.06758028,9.07407e-07,0.2600194,,-7.7635e-05,,,,,,,26.08392,0.004451871
34,129,	03/23/2024 00:14:05.777,1433.283,350.0229,1,7,0,0,0,-0.2959194,3.827406,-1.132603687,2.34254e-07,0.06840182,9.07407e-07,0.2631638,,-5.69376e-05,,,,,,,26.08491897,-0.017570633
