,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/22/2024 23:53:30.478,242.7468,0.5098,1,6,0,0,0,-0.03052711,3.843972,-0.117345356,0.0,2.60018e-06,0.0,1.00029e-05,,-5.48487e-05,,6.12888e-05,,,,,25.77936172,-0.007212758
1,11,	03/22/2024 23:53:33.037,245.3061,3.0691,1,6,0,0,0,-0.0540514,3.83373,-0.207218474,0.0,3.39547e-05,0.0,0.000130353,,-0.001492594,,0.001869131,327.2499084,,,,25.83674,0.01793027
2,12,	03/22/2024 23:53:35.289,247.5574,5.3204,1,6,0,0,0,-0.05798244,3.821445,-0.221576705,0.0,6.89933e-05,0.0,0.000264698,,-0.02744307,,0.005482986,,,,,25.82078,-0.004986525
3,13,	03/22/2024 23:53:35.294,247.5631,5.3261,1,6,0,0,0,-0.05780506,3.832733,-0.221551361,0.0,6.91735e-05,0.0,0.000265387,,,,,,,,,25.82074154,-0.004987927
4,14,	03/22/2024 23:53:45.296,257.5646,15.3276,1,6,0,0,0,-0.06587505,3.830453,-0.252331283,0.0,0.000241996,0.0,0.000927584,,-0.000454847,,0.028022811,-7452.76123,,,,25.75325461,-0.007448768
5,15,	03/22/2024 23:53:55.296,267.5648,25.3278,1,6,0,0,0,-0.07066727,3.827974,-0.270512472,0.0,0.000431936,0.0,0.001654874,,-0.000281736,,,,,,,25.75723,-0.01342118
6,16,	03/22/2024 23:54:05.296,277.5648,35.3278,1,6,0,0,0,-0.07499695,3.826289,-0.286960005,0.0,0.00063466,0.0,0.002430715,,-8.50624e-05,,,,,,,25.73977488,0.00591974
7,17,	03/22/2024 23:54:15.296,287.5651,45.3281,1,6,0,0,0,-0.07852077,3.824726,-0.300320431,0.0,0.000847824,0.0,0.003246152,,-0.000149712,,0.100840397,14.87250996,,,,25.71065,0.01123905
8,18,	03/22/2024 23:54:20.526,292.7947,50.5577,1,6,0,0,0,-0.08003902,3.814293,-0.305292274,0.0,0.000963072,0.0,0.003686882,,-0.001312796,,,,,,,25.61200712,-0.003566459
9,19,	03/22/2024 23:54:20.609,292.8779,50.6409,1,6,0,0,0,-0.08034706,3.82579,-0.307390979,0.0,0.000964963,0.0,0.003694113,,,,,,,,,25.61201,-0.003566742
10,20,	03/22/2024 23:54:30.609,302.8781,60.6411,1,6,0,0,0,-0.08415222,3.822521,-0.321673628,0.0,0.001193217,0.0,0.004566725,,-0.000172658,,-0.00026198,,,,,25.60674,-0.007206798
11,21,	03/22/2024 23:54:40.610,312.879,70.642,1,6,0,0,0,-0.08820057,3.820245,-0.336947787,0.0,0.001431662,0.0,0.005477911,,-0.000168798,,,,,,,25.5703,-0.000243187
12,22,	03/22/2024 23:54:50.610,322.8791,80.6421,1,6,0,0,0,-0.09188843,3.818842,-0.350907396,0.0,0.001681303,0.0,0.006431447,,-6.63399e-05,,0.123718001,,,,,25.57761,-0.002993345
13,23,	03/22/2024 23:55:00.612,332.8808,90.6438,1,6,0,0,0,-0.09678745,3.816272,-0.369367235,0.0,0.001943321,0.0,0.007431755,,-0.000211538,,,,,,,25.61587,0.02609253
14,24,	03/22/2024 23:55:05.259,337.528,95.291,1,6,0,0,0,-0.09897041,3.806218,-0.376702956,0.0,0.002069594,0.0,0.007913638,,-8.3799e-05,,,,,,,25.54103249,-0.008203245
15,25,	03/22/2024 23:55:05.326,337.5943,95.3573,1,6,0,0,0,-0.09895992,3.81644,-0.377674597,0.0,0.002071466,0.0,0.007920778,,,,,,,,,25.54103088,-0.008203983
16,26,	03/22/2024 23:55:15.326,347.5945,105.3575,1,6,0,0,0,-0.1044178,3.813437,-0.398190702,0.0,0.002354268,0.0,0.008999537,,-0.000341586,,-0.000293163,-1461.136963,,,,25.54756,0.006210208
17,27,	03/22/2024 23:55:25.327,357.5955,115.3585,1,6,0,0,0,-0.1110744,3.809285,-0.423114046,0.0,0.002652949,0.0,0.01013814,,-0.000278188,,0.080341347,,,,,25.54926,0.00053227
18,28,	03/22/2024 23:55:35.328,367.5964,125.3594,1,6,0,0,0,-0.1170845,3.808262,-0.445888452,0.0,0.002969037,0.0,0.01134226,,-0.000341411,,,,,,,25.5532,-0.004159808
19,29,	03/22/2024 23:55:45.329,377.5981,135.3611,1,6,0,0,0,-0.1238699,3.80531,-0.471363369,0.0,0.003304062,0.0,0.01261756,,-0.000256053,,0.125916004,10.48093033,,,,25.56519,0.006741881
20,30,	03/22/2024 23:55:50.664,382.9325,140.6955,1,6,0,0,0,-0.1284389,3.79353,-0.48723682,0.0,0.003490943,0.0,0.0133285,,-0.006463898,,,,,,,25.53102,-0.01518309
21,31,	03/22/2024 23:55:50.693,382.9614,140.7244,1,6,0,0,0,-0.1281347,3.803537,-0.487365072,0.0,0.003491918,0.0,0.0133322,,,,,,,,,25.53102,-0.01518309
22,32,	03/22/2024 23:55:51.169,383.4374,141.2004,1,6,0,0,0,-0.1285152,3.791082,-0.487211661,0.0,0.003508898,0.0,0.01339678,,-0.03066157,,-0.000361187,-2641.179932,,,,25.53102493,-0.015183091
23,33,	03/22/2024 23:55:51.173,383.4422,141.2052,1,6,0,0,0,-0.1285324,3.802705,-0.4887708,0.0,0.003509144,0.0,0.01339771,,,,,,,,,25.53100519,-0.01517921
24,34,	03/22/2024 23:56:01.174,393.4429,151.2059,1,6,0,0,0,-0.1368494,3.800597,-0.520109419,0.0,0.003877315,0.0,0.01479734,,-0.000189678,,0.063128591,-3534.910889,,,,25.48900265,-0.006921374
