,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/22/2024 23:53:52.510,242.2596,0.0113,1,6,0,0,0,-1.123938,3.722193,-4.183514156,4.92467e-10,2.41446e-07,1.91101e-09,9.33777e-07,,-0.01357072,,,,,,,25.36269951,0.008273125
1,11,	03/22/2024 23:53:53.002,242.7517,0.5034,1,6,0,0,0,-0.7241735,3.777061,-2.735247484,4.92467e-10,0.000154555,1.91101e-09,0.000575106,,-0.005679002,,0.000174937,5716.336914,,,,25.3627,0.008273125
2,12,	03/22/2024 23:53:53.506,243.2556,1.0073,1,6,0,0,0,-0.4484997,3.816217,-1.71157218,4.92467e-10,0.000254341,1.91101e-09,0.000952178,,,,,,,,,25.31258433,0.008273125
3,13,	03/22/2024 23:53:54.004,243.754,1.5057,1,6,0,0,0,-0.2792807,3.840337,-1.072532006,4.92467e-10,0.000316492,1.91101e-09,0.001189362,,0.04840333,,-0.002548419,-392.4002075,,,,25.31257,-0.0156641
4,14,	03/22/2024 23:53:54.502,244.2524,2.0041,1,6,0,0,0,-0.1715288,3.855661,-0.661356905,4.92467e-10,0.000355077,1.91101e-09,0.001337542,,,,,,,,,25.31257439,-0.015664101
5,15,	03/22/2024 23:53:55.012,244.762,2.5137,1,6,0,0,0,-0.1012259,3.865679,-0.391306836,4.92467e-10,0.000378993,1.91101e-09,0.001429762,,0.019661229,,-0.003472137,-397.1629028,,,,25.31257,-0.0156641
6,16,	03/22/2024 23:53:56.014,245.7644,3.5161,1,6,0,0,0,-0.03025818,3.876357,-0.117291508,4.92467e-10,0.00040089,1.91101e-09,0.001514457,,0.004136893,,-0.001739044,-418.8469849,,,,25.30859987,-0.001243599
7,17,	03/22/2024 23:54:06.014,255.7644,13.5161,1,6,0,0,0,-0.01434422,3.878747,-0.0556376,4.95766e-06,0.000415551,1.92415e-05,0.001571317,,0.002768149,,-0.00116925,-487.6730957,,,,25.28797552,0.007221614
8,18,	03/22/2024 23:54:16.015,265.7654,23.5171,1,6,0,0,0,-0.03889751,3.874539,-0.150709919,4.95766e-06,0.000490491,1.92415e-05,0.001861826,,-0.000175554,,0.008383886,,,,,25.25716,-0.007211566
9,19,	03/22/2024 23:54:26.017,275.7665,33.5182,1,6,0,0,0,-0.05479908,3.872734,-0.21222226,4.95766e-06,0.000621417,1.92415e-05,0.002369009,,-0.000333339,,0.03058954,,,,,25.23255,0.01019895
10,20,	03/22/2024 23:54:36.017,285.7665,43.5182,1,6,0,0,0,-0.06568432,3.870758,-0.254248107,4.95766e-06,0.000789465,1.92415e-05,0.003019649,,-0.000151412,,,,,,,25.18336727,-0.00247287
11,21,	03/22/2024 23:54:46.017,295.7674,53.5191,1,6,0,0,0,-0.07371998,3.869668,-0.285271848,4.95766e-06,0.000983956,1.92415e-05,0.003772371,,-0.000165982,,,,,,,25.17956,0.005035996
12,22,	03/22/2024 23:54:56.018,305.7676,63.5193,1,6,0,0,0,-0.08040524,3.868505,-0.311048073,4.95766e-06,0.00119846,1.92415e-05,0.004602285,,-0.000242496,,0.097451448,14.18449974,,,,25.1803131,-0.005514516
13,23,	03/22/2024 23:55:06.018,315.7684,73.5201,1,6,0,0,0,-0.08620548,3.8675,-0.333399694,4.95766e-06,0.0014298,1.92415e-05,0.005497093,,-0.000112052,,,,,,,25.14615,-0.01044154
14,24,	03/22/2024 23:55:16.019,325.7686,83.5203,1,6,0,0,0,-0.09164238,3.866397,-0.354325823,4.95766e-06,0.001676563,1.92415e-05,0.006451305,,0.01109442,,,,,,,25.11926,-0.00821352
15,25,	03/22/2024 23:55:26.019,335.7686,93.5203,1,6,0,0,0,-0.09706402,3.865583,-0.375209026,4.95766e-06,0.001938409,1.92415e-05,0.007463586,,-0.000132977,,,,,,,25.14725085,0.004994737
16,26,	03/22/2024 23:55:36.019,345.7686,103.5203,1,6,0,0,0,-0.1030664,3.86453,-0.398303195,4.95766e-06,0.002215971,1.92415e-05,0.008536345,,,,,,,,,25.08996258,-0.019133446
17,27,	03/22/2024 23:55:46.019,355.7688,113.5205,1,6,0,0,0,-0.1087418,3.862228,-0.419985625,4.95766e-06,0.002510064,1.92415e-05,0.009672681,,1.99552e-05,,,,,,,25.16319,0.01567066
18,28,	03/22/2024 23:55:56.020,365.7698,123.5215,1,6,0,0,0,-0.1157036,3.862332,-0.446885717,4.95766e-06,0.00282178,1.92415e-05,0.01087675,,-0.000113657,,0.271714807,,,,,25.10197,-0.001755357
