,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/14/2024 14:04:28.850,252.2414,10.0002,1,6,0,0,0,-0.06116867,3.880789,-0.237382702,1.04722e-07,1.63438e-05,4.06961e-07,6.34432e-05,,-0.000121816,,,,,,,24.92135,0.01105249
1,11,	03/14/2024 14:04:38.850,262.2415,20.0003,1,6,0,0,0,-0.09272766,3.87731,-0.359533883,1.04722e-07,0.000268479,4.06961e-07,0.001041136,,-0.000134449,,0.003448549,190.8352051,,,,24.87919659,0.001670812
2,12,	03/14/2024 14:04:48.851,272.2425,30.0013,1,6,0,0,0,-0.09133053,3.877146,-0.354101799,1.04722e-07,0.000523578,4.06961e-07,0.002030185,,,,,,,,,24.88421,-0.007038116
3,13,	03/14/2024 14:04:58.851,282.2427,40.0015,1,6,0,0,0,-0.09187984,3.876746,-0.356194802,1.04722e-07,0.00077808,4.06961e-07,0.003016839,,-4.4651e-05,,,,,,,24.88099,-0.01228929
4,14,	03/14/2024 14:05:08.852,292.2434,50.0022,1,6,0,0,0,-0.0936861,3.875661,-0.363095564,1.04722e-07,0.001036109,4.06961e-07,0.004017068,,-1.0154e-05,,,,,,,24.91639,0.01295507
5,15,	03/14/2024 14:05:18.852,302.2435,60.0023,1,6,0,0,0,-0.09677982,3.875988,-0.375117421,1.04722e-07,0.001300878,4.06961e-07,0.005043305,,-7.16751e-05,,0.204039097,,,,,24.89676,-0.007253885
6,16,	03/14/2024 14:05:28.852,312.2435,70.0023,1,6,0,0,0,-0.100297,3.874298,-0.388580467,1.04722e-07,0.00157498,4.06961e-07,0.006105577,,-8.30559e-05,,,,,,,24.91997505,-0.009934279
7,17,	03/14/2024 14:05:38.852,322.2436,80.0024,1,6,0,0,0,-0.1052761,3.874175,-0.407858035,1.04722e-07,0.00186069,4.06961e-07,0.007212658,,-6.57889e-05,,,,,,,24.92071151,-0.017406866
8,18,	03/14/2024 14:05:48.853,332.2451,90.0039,1,6,0,0,0,-0.1103058,3.873867,-0.427309999,1.04722e-07,0.00216063,4.06961e-07,0.008374665,,-0.000111929,,,,,,,24.96,0.01564145
9,19,	03/14/2024 14:05:58.855,342.2462,100.005,1,6,0,0,0,-0.1169519,3.873064,-0.452962194,1.04722e-07,0.002476741,4.06961e-07,0.009599081,,,,,,,,,24.95642,-0.005460382
10,20,	03/14/2024 14:06:08.855,352.2465,110.0053,1,6,0,0,0,-0.123579,3.872088,-0.478508763,1.04722e-07,0.002811152,4.06961e-07,0.0108941,,-0.000226547,,,,,,,25.0196546,0.006818649
11,21,	03/14/2024 14:06:18.856,362.2472,120.006,1,6,0,0,0,-0.1319647,3.87112,-0.510851189,1.04722e-07,0.003165985,4.06961e-07,0.01226786,,0.002747638,,,,,,,24.99321964,-0.005780929
12,22,	03/14/2024 14:06:28.857,372.2482,130.007,1,6,0,0,0,-0.1404696,3.870256,-0.543653312,1.04722e-07,0.003543159,4.06961e-07,0.01372773,,-9.64662e-05,,,,,,,25.05854351,-0.004588377
13,23,	03/14/2024 14:06:38.858,382.2492,140.008,1,6,0,0,0,-0.149251,3.869021,-0.577455253,1.04722e-07,0.003944637,4.06961e-07,0.01528124,,-0.000248146,,0.491977513,0.0,,,,25.08674,0.001006722
14,24,	03/14/2024 14:06:48.858,392.2493,150.0081,1,6,0,0,0,-0.1589403,3.867678,-0.614729902,1.04722e-07,0.004372606,4.06961e-07,0.01693674,,1.85706e-06,,,2.48870492,,,,25.17781167,0.024558666
15,25,	03/14/2024 14:06:58.859,402.251,160.0098,1,6,0,0,0,-0.1699829,3.866362,-0.657215425,1.04722e-07,0.004828972,4.06961e-07,0.01870151,,-0.000160262,,,,,,,25.18917,0.001442432
