,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/15/2024 10:53:55.429,252.2076,10.0018,1,6,0,0,0,-0.06910324,3.879898,-0.268113523,1.11262e-12,0.000164221,4.324e-12,0.000637276,,-0.000165652,,0.002967666,,,,,24.90254699,0.004236985
1,11,	03/15/2024 10:54:05.429,262.2076,20.0018,1,6,0,0,0,-0.0762949,3.878994,-0.295947459,1.11262e-12,0.000367162,4.324e-12,0.001424532,,-0.000102346,,-0.000463811,49.77651978,,,,24.91975767,0.002357979
2,12,	03/15/2024 10:54:15.429,272.2079,30.0021,1,6,0,0,0,-0.0814333,3.878039,-0.315801513,1.11262e-12,0.000586747,4.324e-12,0.002276171,,-0.000384438,,,,,,,24.90866,0.004017353
3,13,	03/15/2024 10:54:25.429,282.2079,40.0021,1,6,0,0,0,-0.08588886,3.87757,-0.333040067,1.11262e-12,0.000819455,4.324e-12,0.003178546,,-8.47877e-05,,,,,,,24.88584732,-0.016858369
4,14,	03/15/2024 10:54:35.429,292.208,50.0022,1,6,0,0,0,-0.08987427,3.877349,-0.348473911,1.11262e-12,0.001063992,4.324e-12,0.004126637,,2.98712e-05,,,,,,,24.91551,0.004246235
5,15,	03/15/2024 10:54:45.430,302.2081,60.0023,1,6,0,0,0,-0.09431076,3.876299,-0.365576705,1.11262e-12,0.001320396,4.324e-12,0.005120581,,-5.74498e-05,,0.185131893,,,,,24.89903,-0.003583431
6,16,	03/15/2024 10:54:55.430,312.2082,70.0024,1,6,0,0,0,-0.09908104,3.875656,-0.384004027,1.11262e-12,0.001589324,4.324e-12,0.0061629,,,,,,,,,24.9086627,0.002449095
7,17,	03/15/2024 10:55:05.431,322.2091,80.0033,1,6,0,0,0,-0.1046267,3.874168,-0.405341413,1.11262e-12,0.001871809,4.324e-12,0.007257574,,-0.000480088,,,,,,,24.89368454,-0.003112499
8,18,	03/15/2024 10:55:15.431,332.2092,90.0034,1,6,0,0,0,-0.1099958,3.873556,-0.426074891,1.11262e-12,0.002169694,4.324e-12,0.008411706,,-9.25455e-05,,,,,,,24.90727,0.008710623
9,19,	03/15/2024 10:55:25.431,342.2094,100.0036,1,6,0,0,0,-0.1164227,3.872469,-0.450843297,1.11262e-12,0.00248452,4.324e-12,0.009631229,,,,,,,,,24.83654,-0.0141722
10,20,	03/15/2024 10:55:35.432,352.2103,110.0045,1,6,0,0,0,-0.1239672,3.872405,-0.480051205,1.11262e-12,0.002818151,4.324e-12,0.0109233,,-0.000160515,,,,,,,24.8572748,0.003685177
