,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/14/2024 14:04:14.151,251.8516,9.6112,1,6,0,0,0,-0.06658077,3.870746,-0.257717249,2.32954e-07,1.19329e-05,9.04092e-07,4.62335e-05,,-0.000123425,,,,,,,24.09531,-0.006486773
1,11,	03/14/2024 14:04:24.151,261.852,19.6116,1,6,0,0,0,-0.09557533,3.866569,-0.369548608,2.32954e-07,0.000269501,9.04092e-07,0.001042259,,-0.000595664,,0.002584291,386.9533997,,,,24.0870572,-6.48645e-08
2,12,	03/14/2024 14:04:34.151,271.852,29.6116,1,6,0,0,0,-0.09452724,3.866163,-0.365457718,2.32954e-07,0.000532928,9.04092e-07,0.002060738,,-4.31861e-05,,0.07429646,,,,,24.12641867,-0.008284963
3,13,	03/14/2024 14:04:44.152,281.8522,39.6118,1,6,0,0,0,-0.09544849,3.866101,-0.369013503,2.32954e-07,0.000796229,9.04092e-07,0.00307863,,-4.0342e-05,,,,,,,24.1056616,0.000551851
4,14,	03/14/2024 14:04:54.153,291.8531,49.6127,1,6,0,0,0,-0.09740448,3.865219,-0.376489647,2.32954e-07,0.001063367,9.04092e-07,0.004111226,,,,,,,,,24.14435,0.004814863
5,15,	03/14/2024 14:05:04.153,301.8538,59.6134,1,6,0,0,0,-0.1007462,3.864391,-0.389322709,2.32954e-07,0.001337444,9.04092e-07,0.005170459,,5.45632e-05,,,,,,,24.1014256,-0.00591625
6,16,	03/14/2024 14:05:14.154,311.8549,69.6145,1,6,0,0,0,-0.1044846,3.86344,-0.403669983,2.32954e-07,0.001621711,9.04092e-07,0.006268839,,-4.92322e-05,,,,,,,24.18693,0.01128972
7,17,	03/14/2024 14:05:24.155,321.8551,79.6147,1,6,0,0,0,-0.1098137,3.862609,-0.424167386,2.32954e-07,0.001918567,9.04092e-07,0.007415585,,-0.000332543,,,,,,,24.18443301,0.000447143
8,18,	03/14/2024 14:05:34.156,331.8567,89.6163,1,6,0,0,0,-0.1152039,3.861427,-0.44485145,2.32954e-07,0.002230413,9.04092e-07,0.0086199,,-0.000150715,,,,,,,24.19338217,-0.006818699
9,19,	03/14/2024 14:05:44.157,341.8576,99.6172,1,6,0,0,0,-0.1219072,3.860242,-0.470591294,2.32954e-07,0.002559512,9.04092e-07,0.009890444,,-9.28699e-05,,0.33227399,4.71689415,,,,24.16187699,-0.024264876
10,20,	03/14/2024 14:05:54.157,351.8577,109.6173,1,6,0,0,0,-0.1291847,3.858673,-0.498481514,2.32954e-07,0.002908185,9.04092e-07,0.01123608,,-0.000144424,,,,,,,24.19800722,-0.014761781
