,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,15,	03/13/2024 21:40:04.002,407.6589,0.0119,1,6,0,0,0,-1.127551,3.752796,-4.231468883,1.90814e-10,0.004594651,7.47358e-10,0.01792815,,-0.01388525,,,,,,,24.76971244,-0.009709597
1,16,	03/13/2024 21:40:04.495,408.152,0.505,1,6,0,0,0,-0.7193346,3.810088,-2.740728127,1.90814e-10,0.004748787,7.47358e-10,0.01850626,,,,,,,,,24.76971,-0.009709597
2,17,	03/13/2024 21:40:04.993,408.6502,1.0032,1,6,0,0,0,-0.5308762,3.839368,-2.038229094,1.90814e-10,0.004848262,7.47358e-10,0.01888525,,,,,,,,,24.76971,-0.009709597
3,18,	03/13/2024 21:40:05.188,408.8454,1.1984,1,6,0,0,0,-0.454772,3.849486,-1.750638447,1.90814e-10,0.004873205,7.47358e-10,0.01898124,,0.1704835,,-0.001550918,-295.3669128,,,,24.76971245,-0.009709597
4,19,	03/13/2024 21:40:05.497,409.1542,1.5072,1,6,0,0,0,-0.2859573,3.872935,-1.107494036,1.90814e-10,0.004912032,7.47358e-10,0.01913066,,,,,,,,,24.76971,-0.009709597
5,20,	03/13/2024 21:40:05.995,409.6526,2.0056,1,6,0,0,0,-0.1778755,3.88868,-0.691700899,1.90814e-10,0.004951549,7.47358e-10,0.01928371,,,,,,,,,24.76971245,-0.009709597
6,21,	03/13/2024 21:40:06.499,410.1558,2.5088,1,6,0,0,0,-0.1092129,3.898915,-0.425811814,1.90814e-10,0.004976356,7.47358e-10,0.01938018,,0.020337351,,-0.002520795,-399.9341125,,,,24.77366941,-0.009709597
7,22,	03/13/2024 21:40:07.496,411.1534,3.5064,1,6,0,0,0,-0.04162312,3.909142,-0.162710687,1.90814e-10,0.005000542,7.47358e-10,0.01947455,,0.004142985,,-0.002211719,-418.5378113,,,,24.7736702,0.001235699
8,23,	03/13/2024 21:40:17.497,421.1543,13.5073,1,6,0,0,0,-0.02449608,3.912097,-0.095831041,1.90814e-10,0.005036749,7.47358e-10,0.01961621,,0.002675888,,0.004261347,-421.5985107,,,,24.84001284,0.00712508
9,24,	03/13/2024 21:40:27.498,431.1554,23.5084,1,6,0,0,0,-0.05011559,3.908474,-0.195875481,1.90814e-10,0.005141513,7.47358e-10,0.02002584,,-0.00037498,,,,,,,24.91072393,0.010480251
10,25,	03/13/2024 21:40:37.499,441.1565,33.5095,1,6,0,0,0,-0.06725407,3.905872,-0.262685789,1.90814e-10,0.005304602,7.47358e-10,0.02066303,,-0.000292957,,0.03016548,,,,,24.90504,0.01819313
11,26,	03/13/2024 21:40:47.500,451.1572,43.5102,1,6,0,0,0,-0.07899284,3.903816,-0.308373513,1.90814e-10,0.00550744,7.47358e-10,0.02145505,,-0.000215635,,,,,,,24.92397,-0.005793571
12,27,	03/13/2024 21:40:57.500,461.1573,53.5103,1,6,0,0,0,-0.08803272,3.902401,-0.343538975,1.90814e-10,0.005739074,7.47358e-10,0.0223591,,-0.000195172,,0.09295661,,,,,25.01070317,0.016949545
13,28,	03/13/2024 21:41:07.500,471.1573,63.5103,1,6,0,0,0,-0.09515476,3.900783,-0.37117807,1.90814e-10,0.005993333,7.47358e-10,0.02335109,,-0.000119324,,,12.62250996,,,,25.05922841,0.011473949
14,29,	03/13/2024 21:41:17.501,481.1584,73.5114,1,6,0,0,0,-0.1026373,3.899512,-0.400235383,1.90814e-10,0.00626778,7.47358e-10,0.02442148,,-0.000119975,,,,,,,25.13207554,0.016388248
15,30,	03/13/2024 21:41:27.502,491.1593,83.5123,1,6,0,0,0,-0.1091986,3.898249,-0.425683333,1.90814e-10,0.006561181,7.47358e-10,0.02556542,,-2.85668e-05,,,,,,,25.14388263,-0.001553118
16,31,	03/13/2024 21:41:37.503,501.16,93.513,1,6,0,0,0,-0.1162758,3.896928,-0.453118421,1.90814e-10,0.006874012,7.47358e-10,0.02678471,,-0.00018133,,0.200164005,,,,,25.17243547,0.000557878
