,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,105,	03/24/2024 12:29:24.373,1153.2575,10.0,1,7,0,0,0,-0.04022694,3.852222,-0.154963103,2.10106e-07,0.06534738,8.13672e-07,0.2511616,,0.00024008,,,,,,,25.89826126,-0.011135894
1,106,	03/24/2024 12:29:34.374,1163.2588,20.0013,1,7,0,0,0,-0.08258915,3.849638,-0.31793833,2.10106e-07,0.06557015,8.13672e-07,0.2520192,,0.000493882,,0.005573784,,,,,25.90518,-0.01144171
2,107,	03/24/2024 12:29:44.374,1173.2588,30.0013,1,7,0,0,0,-0.0815506,3.848415,-0.313840552,2.10106e-07,0.06579781,8.13672e-07,0.2528956,,,,,,,,,25.88755,-0.01448393
3,108,	03/24/2024 12:29:54.375,1183.2599,40.0024,1,7,0,0,0,-0.08139133,3.850068,-0.313362155,2.10106e-07,0.0660235,8.13672e-07,0.2537644,,-4.78098e-05,,,,,,,25.93295,-0.004222393
4,109,	03/24/2024 12:30:04.376,1193.2605,50.003,1,7,0,0,0,-0.08263969,3.848652,-0.318051408,2.10106e-07,0.06625116,8.13672e-07,0.2546409,,0.000290658,,,,,,,25.94474,-0.007678866
5,110,	03/24/2024 12:30:14.377,1203.2618,60.0043,1,7,0,0,0,-0.08475876,3.849237,-0.326256555,2.10106e-07,0.06648348,8.13672e-07,0.2555353,,-2.00314e-05,,,,,,,26.00516,-0.00398159
6,111,	03/24/2024 12:30:24.378,1213.2622,70.0047,1,7,0,0,0,-0.08758736,3.849576,-0.337174199,2.10106e-07,0.06672275,8.13672e-07,0.2564564,,,,,,,,,25.98771,-0.007504225
7,112,	03/24/2024 12:30:34.379,1223.2632,80.0057,1,7,0,0,0,-0.09085369,3.849454,-0.3497371,2.10106e-07,0.06697096,8.13672e-07,0.2574119,,-4.33478e-05,,,,,,,25.96390939,-0.014886186
8,113,	03/24/2024 12:30:44.379,1233.2634,90.0059,1,7,0,0,0,-0.09535408,3.848547,-0.366974659,2.10106e-07,0.06722981,8.13672e-07,0.2584081,,-5.70114e-05,,,,,,,26.01323,0.004510283
9,114,	03/24/2024 12:30:54.380,1243.2643,100.0068,1,7,0,0,0,-0.1003351,3.848169,-0.386106421,2.10106e-07,0.06750138,8.13672e-07,0.2594533,,-5.29468e-05,,,,,,,26.02579676,0.01090401
10,115,	03/24/2024 12:31:04.381,1253.2651,110.0076,1,7,0,0,0,-0.1057682,3.847823,-0.406977313,2.10106e-07,0.0677872,8.13672e-07,0.2605531,,-5.51232e-05,,,,,,,25.95604394,-0.017870973
11,116,	03/24/2024 12:31:14.381,1263.266,120.0085,1,7,0,0,0,-0.1118479,3.846996,-0.430278424,2.10106e-07,0.06808893,8.13672e-07,0.2617139,,-2.22441e-05,,,4.033883095,,,,26.04344853,0.012437398
12,117,	03/24/2024 12:31:24.382,1273.2662,130.0087,1,7,0,0,0,-0.118288,3.84627,-0.454967586,2.10106e-07,0.06840824,8.13672e-07,0.2629421,,,,0.590568304,,,,,26.01547651,0.014656164
13,118,	03/24/2024 12:31:34.382,1283.2666,140.0091,1,7,0,0,0,-0.1257677,3.845128,-0.483592905,2.10106e-07,0.0687465,8.13672e-07,0.264243,,1.28019e-05,,,,,,,26.02091,0.01196623
14,119,	03/24/2024 12:31:44.383,1293.2677,150.0102,1,7,0,0,0,-0.1335335,3.844493,-0.513368606,2.10106e-07,0.06910526,8.13672e-07,0.2656224,,-2.21662e-05,,,,,,,26.03176106,-0.014893144
15,120,	03/24/2024 12:31:54.383,1303.268,160.0105,1,7,0,0,0,-0.1415453,3.843374,-0.544011526,2.10106e-07,0.06948633,8.13672e-07,0.2670872,,-0.000119156,,,,,,,26.09216248,-0.006612026
16,121,	03/24/2024 12:32:04.384,1313.2682,170.0107,1,7,0,0,0,-0.1503868,3.842399,-0.57784609,2.10106e-07,0.06989114,8.13672e-07,0.2686428,,-0.00011392,,,,,,,26.05857,-0.003982186
17,122,	03/24/2024 12:32:14.384,1323.2684,180.0109,1,7,0,0,0,-0.1599236,3.840576,-0.61419874,2.10106e-07,0.07032134,8.13672e-07,0.2702956,,-1.57257e-05,,0.362136811,,,,,26.00305231,-0.005451426
