,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/24/2024 12:13:59.843,242.2526,0.0114,1,6,0,0,0,-1.126531,3.729531,-4.201432287,1.33514e-11,2.33854e-07,5.18386e-11,9.05132e-07,,-0.013033,,,,,,,25.5457,-0.0124377
1,11,	03/24/2024 12:14:00.336,242.7462,0.505,1,6,0,0,0,-0.7176647,3.783537,-2.715310946,1.33514e-11,0.000154507,5.18386e-11,0.000576117,,0.109411702,,0.000181596,5506.717773,,,,25.5457,-0.0124377
2,12,	03/24/2024 12:14:00.835,243.2447,1.0035,1,6,0,0,0,-0.4546185,3.818515,-1.735967562,1.33514e-11,0.000253826,5.18386e-11,0.0009519,,,,,,,,,25.5457,-0.0124377
3,13,	03/24/2024 12:14:01.339,243.7486,1.5074,1,6,0,0,0,-0.2838001,3.842198,-1.090416177,1.33514e-11,0.000317245,5.18386e-11,0.001194119,,0.04700049,,-0.002827242,-353.7015991,,,,25.58307,0.01167595
4,14,	03/24/2024 12:14:01.837,244.2463,2.0051,1,6,0,0,0,-0.1765604,3.856767,-0.680952324,1.33514e-11,0.000356565,5.18386e-11,0.001345199,,,,,,,,,25.58307,0.01167595
5,15,	03/24/2024 12:14:02.476,244.8861,2.6449,1,6,0,0,0,-0.1072388,3.867484,-0.414744343,1.33514e-11,0.000385084,5.18386e-11,0.001455232,,0.004506439,,-0.002629335,-375.3197937,,,,25.58307,0.01167595
6,16,	03/24/2024 12:14:03.836,246.2455,4.0043,1,6,0,0,0,-0.02517033,3.877615,-0.097600849,1.33514e-11,0.000409787,5.18386e-11,0.001550845,,0.003962266,,-0.002453408,-373.2705994,,,,25.55356624,0.011675954
7,17,	03/24/2024 12:14:13.837,256.2468,14.0056,1,6,0,0,0,-0.02243233,3.878462,-0.087002939,1.33514e-11,0.000437409,5.18386e-11,0.001658,,-0.000200028,,-0.002534146,-413.3494873,,,,25.55846782,0.010915406
8,18,	03/24/2024 12:14:23.838,266.2473,24.0061,1,6,0,0,0,-0.0474596,3.874866,-0.18389959,1.33514e-11,0.000538311,5.18386e-11,0.002049138,,-0.000392411,,,,,,,25.59562,0.02005875
9,19,	03/24/2024 12:14:33.838,276.2481,34.0069,1,6,0,0,0,-0.06478977,3.872586,-0.250903956,1.33514e-11,0.000695698,5.18386e-11,0.002658793,,-0.00033788,,0.034176361,,,,,25.51595958,-0.011217877
10,20,	03/24/2024 12:14:43.839,286.2491,44.0079,1,6,0,0,0,-0.07675076,3.87122,-0.297119077,1.33514e-11,0.000891486,5.18386e-11,0.003416797,,-0.000251089,,,,,,,25.57228,-0.001293421
