,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/23/2024 12:00:03.122,252.239,10.0004,1,6,0,0,0,-0.06624699,3.881408,-0.257131597,1.09e-07,1.94e-05,4.23e-07,7.51e-05,,-0.00011815,,,,,,,26.11089115,0.00867306
1,11,	03/23/2024 12:00:13.123,262.2404,20.0018,1,6,0,0,0,-0.09562778,3.878887,-0.370929353,1.09e-07,0.000279977,4.23e-07,0.001085951,,0.002399164,,0.003706437,142.870697,,,,26.16094539,0.007915504
2,12,	03/23/2024 12:00:23.124,272.2414,30.0028,1,6,0,0,0,-0.09413433,3.877913,-0.365044742,1.09e-07,0.000543453,4.23e-07,0.002107698,,-4.17e-05,,,,,,,26.13861,-0.008257627
3,13,	03/23/2024 12:00:33.124,282.2416,40.003,1,6,0,0,0,-0.0955267,3.877654,-0.37041949,1.09e-07,0.000806737,4.23e-07,0.003128625,,-3.2e-05,,,,,,,26.17349,0.002991557
4,14,	03/23/2024 12:00:43.125,292.2418,50.0032,1,6,0,0,0,-0.09708881,3.876267,-0.37634215,1.09e-07,0.001074195,4.23e-07,0.004165639,,-0.000200812,,-0.01033132,,,,,26.19882,0.009667873
5,15,	03/23/2024 12:00:53.126,302.2436,60.005,1,6,0,0,0,-0.1002703,3.876535,-0.388701327,1.09e-07,0.001348791,4.23e-07,0.005230213,,,,,,,,,26.17014,0.001703501
6,16,	03/23/2024 12:01:03.126,312.2436,70.005,1,6,0,0,0,-0.1044111,3.875219,-0.404615879,1.09e-07,0.001633526,4.23e-07,0.006333936,,-5.89e-05,,,,,,,26.17166,0.003234148
7,17,	03/23/2024 12:01:13.128,322.2453,80.0067,1,6,0,0,0,-0.1094465,3.875325,-0.424140758,1.09e-07,0.001930873,4.23e-07,0.007486379,,-9.13e-05,,0.112865701,,,,,26.16525,0.002168417
8,18,	03/23/2024 12:01:23.128,332.2455,90.0069,1,6,0,0,0,-0.1159992,3.873197,-0.449287753,1.09e-07,0.002243356,4.23e-07,0.008697262,,-7.18e-05,,,,,,,26.18438129,-0.008430375
9,19,	03/23/2024 12:01:33.129,342.2464,100.0078,1,6,0,0,0,-0.1221972,3.873906,-0.473380466,1.09e-07,0.002573201,4.23e-07,0.009975158,,-5.3e-05,,,,,,,26.18887,-0.0112468
10,20,	03/23/2024 12:01:43.130,352.247,110.0084,1,6,0,0,0,-0.1299162,3.873063,-0.503173627,1.09e-07,0.002922605,4.23e-07,0.01132853,,-4.66e-06,,,,,,,26.2509,0.01909316
