,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/23/2024 11:59:27.068,242.7509,0.5066,1,6,0,0,0,-0.03416157,3.847233,-0.131427519,6.62274e-10,2.96325e-06,2.5561e-09,1.14105e-05,,-1.41464e-05,,5.99971e-05,,,,,25.79516411,-0.015356678
1,11,	03/23/2024 11:59:29.068,244.7509,2.5066,1,6,0,0,0,-0.05999851,3.837112,-0.230221003,6.62274e-10,2.96607e-05,2.5561e-09,0.000113974,,-0.004223322,,0.001851038,4300.429199,,,,25.84506,0.01559317
2,12,	03/23/2024 11:59:34.607,250.2895,8.0452,1,6,0,0,0,-0.07044125,3.821858,-0.269216455,6.62274e-10,0.000131622,2.5561e-09,0.000505031,,-0.004098129,,-0.000365801,378.3460083,,,,25.8521918,0.002228263
3,13,	03/23/2024 11:59:34.613,250.2952,8.0509,1,6,0,0,0,-0.07024002,3.83361,-0.269272843,6.62274e-10,0.000131841,2.5561e-09,0.000505869,,,,,,,,,25.85222203,0.002235775
4,14,	03/23/2024 11:59:44.613,260.2959,18.0516,1,6,0,0,0,-0.07816792,3.830701,-0.299437929,6.62274e-10,0.000337926,2.5561e-09,0.001295628,,-0.000263281,,0.0290806,-6557.766113,,,,25.90621131,0.015650853
5,15,	03/23/2024 11:59:54.614,270.2962,28.0519,1,6,0,0,0,-0.08372021,3.828314,-0.320507252,6.62274e-10,0.000562451,2.5561e-09,0.002155451,,-0.000121585,,,,,,,25.88373,0.008909106
6,16,	03/23/2024 12:00:04.614,280.2962,38.0519,1,6,0,0,0,-0.08864212,3.826605,-0.33919838,6.62274e-10,0.000801289,2.5561e-09,0.003069566,,-0.000201364,,,15.94017982,,,,25.86702936,0.004221844
7,17,	03/23/2024 12:00:14.614,290.2962,48.0519,1,6,0,0,0,-0.09305191,3.824538,-0.355880566,6.62274e-10,0.00105232,2.5561e-09,0.004029874,,0.007033828,,0.101254903,,,,,25.84245134,-0.012194946
8,18,	03/23/2024 12:00:19.844,295.526,53.2817,1,6,0,0,0,-0.09499168,3.810481,-0.361963992,6.62274e-10,0.001188784,2.5561e-09,0.00455171,,-0.0029473,,-0.000414655,,,,,25.92911,0.02707958
9,19,	03/23/2024 12:00:19.850,295.5323,53.288,1,6,0,0,0,-0.09520817,3.822745,-0.363956556,6.62274e-10,0.001188913,2.5561e-09,0.004552202,,,,,,,,,25.92909534,0.027063116
10,20,	03/23/2024 12:00:29.850,305.5325,63.2882,1,6,0,0,0,-0.09992504,3.822281,-0.381941582,6.62274e-10,0.001459439,2.5561e-09,0.005586302,,-0.00027036,,-0.000193509,-5167.719238,,,,25.90583062,0.000929498
11,21,	03/23/2024 12:00:39.851,315.5335,73.2892,1,6,0,0,0,-0.1050844,3.819464,-0.401366083,6.62274e-10,0.00174377,2.5561e-09,0.006672582,,-0.00024306,,0.089094922,,,,,25.89476787,0.004454816
12,22,	03/23/2024 12:00:49.852,325.5346,83.2903,1,6,0,0,0,-0.1104488,3.817428,-0.421630342,6.62274e-10,0.002043362,2.5561e-09,0.0078165,,-0.000113491,,,,,,,25.89947124,0.008442958
13,23,	03/23/2024 12:00:59.854,335.5361,93.2918,1,6,0,0,0,-0.1172028,3.814353,-0.447052852,6.62274e-10,0.002359823,2.5561e-09,0.009024034,,-0.000257523,,0.119654097,9.553513527,,,,25.88578,-0.01612246
14,24,	03/23/2024 12:01:09.854,345.5369,103.2926,1,6,0,0,0,-0.1245041,3.811631,-0.474563687,6.62274e-10,0.002695064,2.5561e-09,0.01030231,,-9.29503e-05,,,,,,,25.9501,0.01488268
15,25,	03/23/2024 12:01:19.855,355.537,113.2927,1,6,0,0,0,-0.1320477,3.808594,-0.502916078,6.62274e-10,0.003050814,2.5561e-09,0.01165773,,-0.000213468,,0.126057997,,,,,25.91766581,0.014642479
16,26,	03/23/2024 12:01:29.855,365.5379,123.2936,1,6,0,0,0,-0.1406088,3.805114,-0.535032513,6.62274e-10,0.003429497,2.5561e-09,0.01309926,,-0.000404681,,,,,,,25.92404741,-0.001694397
17,27,	03/23/2024 12:01:39.856,375.5382,133.2939,1,6,0,0,0,-0.1499596,3.80141,-0.570057923,6.62274e-10,0.0038329,2.5561e-09,0.01463346,,-0.000301644,,0.09421625,9.197785378,,,,25.90322,0.00520885
18,28,	03/23/2024 12:01:49.857,385.5398,143.2955,1,6,0,0,0,-0.1600485,3.797416,-0.607770735,6.62274e-10,0.00426338,2.5561e-09,0.01626895,,0.045048811,,0.02020172,,,,,25.94750169,0.00639199
19,29,	03/23/2024 12:01:59.858,395.5407,153.2964,1,6,0,0,0,-0.171093,3.793001,-0.64895592,6.62274e-10,0.004722939,2.5561e-09,0.01801298,,-0.000233094,,0.111695997,8.704181671,,,,25.93963,-0.001994371
20,30,	03/23/2024 12:02:09.859,405.5417,163.2974,1,6,0,0,0,-0.1823053,3.788282,-0.690623886,6.62274e-10,0.005213685,2.5561e-09,0.01987319,,-0.000527669,,,,,,,25.99586,-0.001288652
21,31,	03/23/2024 12:02:17.731,413.4136,171.1693,1,6,0,0,0,-0.1920147,3.774784,-0.724814017,6.62274e-10,0.005622969,2.5561e-09,0.02142284,,-0.000300093,,0.109597899,,,,,25.97114404,-0.009245771
22,32,	03/23/2024 12:02:17.742,413.4249,171.1806,1,6,0,0,0,-0.1923504,3.785127,-0.728070693,6.62274e-10,0.005623572,2.5561e-09,0.02142512,,,,,,,,,25.97110859,-0.00926126
23,33,	03/23/2024 12:02:27.743,423.4257,181.1814,1,6,0,0,0,-0.2051134,3.779246,-0.775173996,6.62274e-10,0.006175262,2.5561e-09,0.02351145,,-0.000741065,,0.077292457,-950.3029785,,,,25.93944772,-0.023091893
24,34,	03/23/2024 12:02:37.744,433.4267,191.1824,1,6,0,0,0,-0.2188396,3.773187,-0.825722734,6.62274e-10,0.006764081,2.5561e-09,0.02573504,,-0.000807967,,0.095533237,14.81641006,,,,25.9553736,-0.001703715
25,35,	03/23/2024 12:02:47.745,443.4277,201.1834,1,6,0,0,0,-0.2333612,3.767881,-0.879277232,6.62274e-10,0.007392187,2.5561e-09,0.02810341,,0.005290139,,0.118360199,,,,,25.97749116,0.010891431
26,36,	03/23/2024 12:02:57.746,453.4286,211.1843,1,6,0,0,0,-0.2488871,3.76131,-0.936141538,6.62274e-10,0.008061579,2.5561e-09,0.03062347,,-0.001068476,,0.108187899,8.317374229,,,,25.97340397,-0.00720304
27,37,	03/23/2024 12:03:07.747,463.4295,221.1852,1,6,0,0,0,-0.2649708,3.755195,-0.995017023,6.62274e-10,0.008774595,2.5561e-09,0.03330326,,-0.000567432,,0.108613901,8.782123566,,,,25.93851697,-0.011426168
28,38,	03/23/2024 12:03:10.193,465.875,223.6307,1,6,0,0,0,-0.2688694,3.741396,-1.005946898,6.62274e-10,0.00895546,2.5561e-09,0.03398228,,-0.006594666,,0.095679849,,,,,25.93851662,0.005739821
29,39,	03/23/2024 12:03:10.197,465.8798,223.6355,1,6,0,0,0,-0.2688475,3.753164,-1.009028758,6.62274e-10,0.008955878,2.5561e-09,0.03398385,,,,,,,,,25.93850976,0.005731982
30,40,	03/23/2024 12:03:20.198,475.8808,233.6365,1,6,0,0,0,-0.2858429,3.746586,-1.070935007,6.62274e-10,0.009725869,2.5561e-09,0.03687135,,-0.00080045,,0.056336079,-1645.175049,,,,25.92393317,-0.010949206
31,41,	03/23/2024 12:03:30.199,485.8818,243.6375,1,6,0,0,0,-0.303894,3.739763,-1.136491537,6.62274e-10,0.01054438,2.5561e-09,0.03993504,,-0.000406822,,0.117212698,10.82357979,,,,25.84234,-0.01587987
32,42,	03/23/2024 12:03:40.199,495.8819,253.6376,1,6,0,0,0,-0.3224049,3.732216,-1.203284726,6.62274e-10,0.01141317,2.5561e-09,0.0431805,,-0.000786664,,0.112771697,9.93024826,,,,25.8654,0.006916523
33,43,	03/23/2024 12:03:50.201,505.8835,263.6392,1,6,0,0,0,-0.3415823,3.724078,-1.272079129,6.62274e-10,0.01233447,2.5561e-09,0.04661507,,-0.001753181,,0.115711302,7.586480141,,,,25.80032,-0.003225803
34,44,	03/23/2024 12:03:55.597,511.2796,269.0353,1,6,0,0,0,-0.3524427,3.713261,-1.308711733,6.62274e-10,0.01285384,2.5561e-09,0.04854807,,-0.000997293,,0.107066497,,,,,25.79656,0.00702858
35,45,	03/23/2024 12:04:05.598,521.2806,279.0363,1,6,0,0,0,-0.3727264,3.711234,-1.383274888,6.62274e-10,0.01386022,2.5561e-09,0.05228721,,-0.001319983,,0.104830503,19.48541069,,,,25.71721,-0.01341462
36,46,	03/23/2024 12:04:15.120,530.8021,288.5578,1,6,0,0,0,-0.3928852,3.700816,-1.453995834,6.62274e-10,0.01487183,2.5561e-09,0.05603739,,-0.000823804,,0.133411795,,,,,25.67762798,-0.019576485
37,47,	03/23/2024 12:04:25.121,540.803,298.5587,1,6,0,0,0,-0.383709,3.705399,-1.421794945,6.62274e-10,0.01596269,2.5561e-09,0.0600764,,0.001664491,,-0.04201515,5.297698021,,,,25.68717375,-0.007970449
38,48,	03/23/2024 12:04:35.122,550.804,308.5597,1,6,0,0,0,-0.3946972,3.700495,-1.460575015,6.62274e-10,0.01704247,2.5561e-09,0.06407508,,-0.000565413,,,,,,,25.71643991,0.011663837
39,49,	03/23/2024 12:04:45.122,560.8042,318.5599,1,6,0,0,0,-0.3891544,3.702068,-1.440676051,6.62274e-10,0.01813121,2.5561e-09,0.06810483,,0.001691342,,-0.001234023,,,,,25.63558469,-0.021574165
40,50,	03/23/2024 12:04:55.123,570.8052,328.5609,1,6,0,0,0,-0.3625994,3.711046,-1.345623053,6.62274e-10,0.01918906,2.5561e-09,0.07202365,,0.001563821,,-0.203150004,-2.372792006,,,,25.68476,0.01096487
41,51,	03/23/2024 12:05:05.124,580.8068,338.5625,1,6,0,0,0,-0.3575888,3.712302,-1.327477617,6.62274e-10,0.02018639,2.5561e-09,0.07572573,,0.000424499,,-0.125976205,,,,,25.68884083,-0.005640818
42,52,	03/23/2024 12:05:15.124,590.8069,348.5626,1,6,0,0,0,-0.3570566,3.711874,-1.32534911,6.62274e-10,0.02117883,2.5561e-09,0.07940963,,0.007431685,,,,,,,25.66879,-0.01342475
43,53,	03/23/2024 12:05:25.125,600.8071,358.5628,1,6,0,0,0,-0.3573685,3.710826,-1.326132321,6.62274e-10,0.02217166,2.5561e-09,0.0830944,,-5.99365e-05,,0.481780887,,,,,25.71401932,0.013844098
44,54,	03/23/2024 12:05:35.126,610.808,368.5637,1,6,0,0,0,-0.3570509,3.710799,-1.324944123,6.62274e-10,0.0231646,2.5561e-09,0.08677892,,6.44081e-06,,,,,,,25.6881,0.00603199
45,55,	03/23/2024 12:05:45.126,620.8088,378.5645,1,6,0,0,0,-0.3573847,3.709164,-1.325598463,6.62274e-10,0.02415738,2.5561e-09,0.09046225,,-5.63411e-05,,,,,,,25.6585,-0.00027895
46,56,	03/23/2024 12:05:55.127,630.809,388.5647,1,6,0,0,0,-0.3574591,3.709378,-1.325950921,6.62274e-10,0.02515012,2.5561e-09,0.09414481,,,,,,,,,25.63406397,0.003505311
47,57,	03/23/2024 12:06:05.127,640.8099,398.5656,1,6,0,0,0,-0.3573847,3.708505,-1.325362947,6.62274e-10,0.02614247,2.5561e-09,0.09782529,,-0.000512328,,,,,,,25.61025262,0.00222863
48,58,	03/23/2024 12:06:13.997,649.6794,407.4351,1,6,0,0,0,-0.3575497,3.695992,-1.321500831,6.62274e-10,0.02702318,2.5561e-09,0.1010912,,-0.01387429,,,,,,,25.59539621,0.0007564
49,59,	03/23/2024 12:06:14.003,649.685,407.4407,1,6,0,0,0,-0.3576975,3.707472,-1.326153466,6.62274e-10,0.02702368,2.5561e-09,0.101093,,,,0.398847789,1.870586038,,,,25.59541023,0.000748055
50,60,	03/23/2024 12:06:24.004,659.686,417.4417,1,6,0,0,0,-0.3570623,3.707392,-1.323769915,6.62274e-10,0.02801675,2.5561e-09,0.104775,,0.120028503,,-0.000827389,-1208.620972,,,,25.6209123,-0.01442596
