,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,314,	03/23/2024 12:43:42.563,2885.2875,0.0098,1,9,0,0,0,-1.127419,3.634917,-4.098074489,1.20948e-06,0.197681,4.64956e-06,0.7490094,,-0.168124899,,,,,,,24.6705,-0.005996823
1,315,	03/23/2024 12:43:43.056,2885.7802,0.5025,1,9,0,0,0,-0.7220573,3.688048,-2.662981981,1.20948e-06,0.1978353,4.64956e-06,0.74957,,0.338117212,,0.000190739,5242.776855,,,,24.6704998,-0.005996823
2,316,	03/23/2024 12:43:43.561,2886.2852,1.0075,1,9,0,0,0,-0.4529409,3.725574,-1.687464841,1.20948e-06,0.1979356,4.64956e-06,0.7499399,,,,,,,,,24.6704998,-0.005996823
3,317,	03/23/2024 12:43:44.060,2886.7846,1.5069,1,9,0,0,0,-0.2832785,3.748877,-1.061976253,1.20948e-06,0.1979987,4.64956e-06,0.7501752,,0.046753772,,-0.002676215,-373.6621094,,,,24.65864,-0.003705025
4,318,	03/23/2024 12:43:44.558,2887.283,2.0053,1,9,0,0,0,-0.1789112,3.764406,-0.673494395,1.20948e-06,0.1980378,4.64956e-06,0.7503217,,,,,,,,,24.65864372,-0.003705025
5,319,	03/23/2024 12:43:45.106,2887.8304,2.5527,1,9,0,0,0,-0.106472,3.774549,-0.401883781,1.20948e-06,0.1980633,4.64956e-06,0.7504179,,0.018511269,,-0.002668239,-397.6253052,,,,24.65864372,-0.003705025
6,320,	03/23/2024 12:43:46.063,2888.7876,3.5099,1,9,0,0,0,-0.03581047,3.784852,-0.135537329,1.20948e-06,0.1980855,4.64956e-06,0.7505018,,0.01266646,,-0.002463923,-396.8746033,,,,24.65864372,-0.003705025
7,321,	03/23/2024 12:43:56.063,2898.7877,13.51,1,9,0,0,0,-0.02080536,3.787619,-0.078802777,1.25786e-06,0.198113,4.83291e-06,0.7506059,,-0.000656,,-0.001703938,-464.0643921,,,,24.64115,-0.0186348
8,322,	03/23/2024 12:44:06.064,2908.7886,23.5109,1,9,0,0,0,-0.04628181,3.784678,-0.175161748,1.25786e-06,0.198208,4.83291e-06,0.7509653,,-0.000352464,,0.005969269,,,,,24.65887,0.00823319
9,323,	03/23/2024 12:44:16.064,2918.7887,33.511,1,9,0,0,0,-0.06337261,3.78253,-0.239708799,1.25786e-06,0.1983605,4.83291e-06,0.7515424,,-0.000280647,,,,,,,24.65416,0.01022696
10,324,	03/23/2024 12:44:26.064,2928.7887,43.511,1,9,0,0,0,-0.0747242,3.780916,-0.282525923,1.25786e-06,0.1985517,4.83291e-06,0.7522655,,0.002929011,,0.049981289,,,,,24.62954927,-0.008461885
11,325,	03/23/2024 12:44:36.065,2938.7895,53.5118,1,9,0,0,0,-0.08314896,3.779631,-0.314272387,1.25786e-06,0.1987708,4.83291e-06,0.7530938,,-0.000164346,,,,,,,24.651922,-8.46139e-08
