Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,	06/12/2024 23:35:52.987,60.0007,60.0007,1,1,0,0,0,0,0,0,0,0,0,3.852307,0,0,0,0,0,,0.00000821853700472275,,,,0,0,0,24.79647,0.01015306
2,	06/12/2024 23:36:52.988,120.0012,120.0012,1,1,0,0,0,0,0,0,0,0,0,3.852331,0,0,0,0,0,,-0.00000738927110432996,,,,,,,24.75238,-0.0006580353
3,	06/12/2024 23:36:52.989,120.0026,120.0026,1,1,0,0,0,0,0,0,0,0,0,3.852331,0,0,0,0,0,,-0.00000738927110432996,0,0,0,,,,24.75238,-0.0006580353
4,	06/12/2024 23:36:55.061,122.0748,2.0338,1,2,0,0,0,0,0,0,0,0,0.0001707077,3.639297,0.0006212560204869,0,0,0,0,,4.15008687973022,0.423513799905777,0,0,,,,24.7523765565625,-0.000658035278321358
5,	06/12/2024 23:37:55.101,182.1139,60.0008,1,3,0,0,0,0,0,0,0,0,0,3.852403,0,0,0,0,0,,-0.0000180582701432286,,,,,,,24.7477436142897,0.0011354654957449
6,	06/12/2024 23:38:55.100,242.1138,120.0007,1,3,0,0,0,0,0,0,0,0,0,3.852284,0,0,0,0,0,,0.00000600545581619372,,,,,,,24.60555,-0.004025698
7,	06/12/2024 23:39:55.100,302.1137,180.0006,1,3,0,0,0,0,0,0,0,0,0,3.852401,0,0,0,0,0,,-0.0000158445200213464,,0,0,,,,24.71149,-0.01160443
8,	06/12/2024 23:40:55.100,362.1136,240.0005,1,3,0,0,0,0,0,0,0,0,0,3.852332,0,0,0,0,0,,0.0000179768594534835,,,,,,,24.64186,0.004820228
9,	06/12/2024 23:40:55.102,362.115,240.0019,1,3,0,0,0,0,0,0,0,0,0,3.852365,0,0,0,0,0,,0.0000179768594534835,0.423513799905777,0,0,,,,24.6418614337549,0.00482005861086792
10,	06/12/2024 23:40:55.142,362.1558,0.0046,1,4,0,0,0,0,0,0,0,0,-0.09980637,3.810276,-0.38028981625812,0,0.0000001081235,0,0.0000004119805,,-0.00391162885352969,0.423513799905777,0,0,,,,24.6419032174683,0.00481512212759024
