Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,	06/12/2024 23:35:17.548,60,60,1,1,0,0,0,0,0,0,0,0,0,3.885715,0,0,0,0,0,,0.00000825852839625441,,,,0,0,0,25.03086,0.007475615
2,	06/12/2024 23:36:17.548,120.0002,120.0002,1,1,0,0,0,0,0,0,0,0,0,3.885473,0,0,0,0,0,,-0.0000156073201651452,,,,,,,25.03086,0.007475615
3,	06/12/2024 23:36:17.548,120.0005,120.0005,1,1,0,0,0,0,0,0,0,0,0,3.885473,0,0,0,0,0,,-0.0000156073201651452,0,0,0,,,,25.0285,0.02914548
4,	06/12/2024 23:36:19.613,122.0654,2.0314,1,2,0,0,0,0,0,0,0,0,0.00006771088,3.84539,0.0002603747408432,0,0,0,0,,0.803877413272858,0.0804208293557167,0,0,,,,24.98494,-0.0136131
5,	06/12/2024 23:37:19.653,182.1054,60.0008,1,3,0,0,0,0,0,0,0,0,0,3.885645,0,0,0,0,0,,-0.00000794155675976072,,,,,,,24.8936559290163,0.0161909560664539
6,	06/12/2024 23:38:19.653,242.1052,120.0006,1,3,0,0,0,0,0,0,0,0,0,3.885571,0,0,0,0,0,,0.00000691463401381043,,,,,,,24.93764,-0.02424598
7,	06/12/2024 23:39:19.653,302.1052,180.0006,1,3,0,0,0,0,0,0,0,0,0,3.885521,0,0,0,0,0,,0.000000316118587306846,,0,0,,,,24.87281,0.01408994
8,	06/12/2024 23:40:19.654,362.1063,240.0017,1,3,0,0,0,0,0,0,0,0,0,3.885572,0,0,0,0,0,,0.00000683555299474392,,,,,,,24.81343,-0.01706362
9,	06/12/2024 23:40:19.655,362.1072,240.0026,1,3,0,0,0,0,0,0,0,0,0,3.885572,0,0,0,0,0,,0.00000683555299474392,0.0804208293557167,0,0,,,,24.8134309651069,-0.0170634097213178
10,	06/12/2024 23:40:19.698,362.1504,0.0048,1,4,0,0,0,0,0,0,0,0,-0.09988761,3.877665,-0.38733068923065,0,0.0000001082115,0,0.0000004196081,,0.00000683555299474392,0.0804208293557167,0,0,,,,24.8134772902378,-0.0170533163445738
11,	06/12/2024 23:41:19.737,422.1897,60.0002,1,5,0,0,0,0,0,0,0,0,0,3.885489,0,0,0.0000001442821,0,0.0000005594774,,-0.00000450409197583213,,,,,,,24.877855193677,-0.0030255551330972
12,	06/12/2024 23:42:19.738,482.1903,120.0008,1,5,0,0,0,0,0,0,0,0,0,3.885409,0,0,0.0000001442821,0,0.0000005594774,,-0.0000202699302462861,,,,,,,24.94958,-0.006264448
13,	06/12/2024 23:43:19.738,542.1901,180.0006,1,5,0,0,0,0,0,0,0,0,0,3.885578,0,0,0.0000001442821,0,0.0000005594774,,0.0000148565895869979,,0,0,,,,24.9532222687098,0.00123380364972285
14,	06/12/2024 23:44:19.738,602.1901,240.0006,1,5,0,0,0,0,0,0,0,0,0,3.885735,0,0,0.0000001442821,0,0.0000005594774,,0.000012643899935938,,,,,,,25.22363,0.02712011
15,	06/12/2024 23:44:19.739,602.1915,240.002,1,5,0,0,0,0,0,0,0,0,0,3.885735,0,0,0.0000001442821,0,0.0000005594774,,0.000012643899935938,0.0804208293557167,0,0,,,,25.22363,0.02712011
16,	06/12/2024 23:44:19.782,602.2342,0.0067,1,6,0,0,0,0,0,0,0,0,-1.097208,3.797858,-4.167040180464,0.0000000002867645,0.0000001442821,0.000000001114256,0.0000005594774,,-0.00935270637273788,,,,,,,25.22363,0.02712011
17,	06/12/2024 23:44:20.280,602.7325,0.505,1,6,0,0,0,0,0,0,0,0,-0.7301111,3.825164,-2.7927946957204,0.0000000002867645,0.0001572068,0.000000001114256,0.0005963587,,0.0785792097449303,,0.000330536509864032,3025.38500976563,,,,25.2236270909904,0.027120113372181
18,	06/12/2024 23:44:20.779,603.2317,1.0042,1,6,0,0,0,0,0,0,0,0,-0.4709845,3.845693,-1.8112617947585,0.0000000002867645,0.0002583309,0.000000001114256,0.0009831861,,,,,,,,,25.22363,0.02712011
19,	06/12/2024 23:44:21.278,603.7301,1.5026,1,6,0,0,0,0,0,0,0,0,-0.3395319,3.856915,-1.3095456780885,0.0000000002867645,0.0003231939,0.000000001114256,0.001232656,,0.0225158203393221,,-0.00491091795265675,-203.627899169922,,,,25.22363,0.02712011
