Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,	06/12/2024 23:35:34.613,60.0007,60.0007,1,1,0,0,0,0,0,0,0,0,0,3.885147,0,0,0,0,0,,0.0000267497598542832,,,,0,0,0,23.87496,-0.01499593
2,	06/12/2024 23:36:34.613,120.0005,120.0005,1,1,0,0,0,0,0,0,0,0,0,3.885201,0,0,0,0,0,,0.0000301858199236449,,,,,,,23.87496,-0.01499593
3,	06/12/2024 23:36:34.615,120.002,120.002,1,1,0,0,0,0,0,0,0,0,0,3.885201,0,0,0,0,0,,0.0000301858199236449,0,0,0,,,,23.88266,0.007848144
4,	06/12/2024 23:36:36.678,122.0652,2.0272,1,2,0,0,0,0,0,0,0,0,0.0001063347,3.842422,0.0004085827906434,0,0,0,0,,0.835928201675415,0.0856937170028687,0,0,,,,23.8965676247166,0.00434594428148134
5,	06/12/2024 23:37:36.717,182.1045,60.0007,1,3,0,0,0,0,0,0,0,0,0,3.885318,0,0,0,0,0,,-0.00000798146356828511,,,,,,,23.8809967300401,0.00338494937712492
6,	06/12/2024 23:38:36.717,242.1044,120.0006,1,3,0,0,0,0,0,0,0,0,0,3.8852,0,0,0,0,0,,0.0000207449393201387,,,,,,,23.84015,-0.0007861853
7,	06/12/2024 23:39:36.717,302.1041,180.0003,1,3,0,0,0,0,0,0,0,0,0,3.885326,0,0,0,0,0,,0.0000217724791582441,,0,0,,,,23.75369,-0.0008827448
8,	06/12/2024 23:40:36.717,362.1039,240.0001,1,3,0,0,0,0,0,0,0,0,0,3.884968,0,0,0,0,0,,-0.0000162396499945316,,,,,,,23.8285139744141,-0.000570416971048605
9,	06/12/2024 23:40:36.718,362.1056,240.0018,1,3,0,0,0,0,0,0,0,0,0,3.884968,0,0,0,0,0,,-0.0000162396499945316,0.0856937170028687,0,0,,,,23.8285144838275,-0.000570560756751478
10,	06/12/2024 23:40:36.761,362.1486,0.007,1,4,0,0,0,0,0,0,0,0,-0.09987098,3.876773,-0.38717711874754,0,0.0000001774863,0,0.0000006882609,,-0.0000162396499945316,0.0856937170028687,0,0,,,,23.8285281743116,-0.000574424997516197
11,	06/12/2024 23:41:36.801,422.1887,60.0016,1,5,0,0,0,0,0,0,0,0,0,3.885291,0,0,0.0000002080024,0,0.000000806565,,0.000017107789972215,,,,,,,23.8476447740619,-0.00596999223409633
12,	06/12/2024 23:42:36.801,482.1878,120.0007,1,5,0,0,0,0,0,0,0,0,0,3.884911,0,0,0.0000002080024,0,0.000000806565,,0.00000881180403666804,,,,,,,23.85271,-0.003248453
13,	06/12/2024 23:43:36.800,542.1877,180.0006,1,5,0,0,0,0,0,0,0,0,0,3.885177,0,0,0.0000002080024,0,0.000000806565,,-0.00000043463418819556,,0,0,,,,23.8823,0.009602308
14,	06/12/2024 23:44:36.800,602.1875,240.0004,1,5,0,0,0,0,0,0,0,0,0,3.885055,0,0,0.0000002080024,0,0.000000806565,,0.0000248515207204036,,,,,,,23.905702551938,0.0208383611331067
15,	06/12/2024 23:44:36.802,602.1891,240.002,1,5,0,0,0,0,0,0,0,0,0,3.88503,0,0,0.0000002080024,0,0.000000806565,,0.0000248515207204036,0.0856937170028687,0,0,,,,23.905702551938,0.0208383611331067
16,	06/12/2024 23:44:36.847,602.234,0.0058,1,6,0,0,0,0,0,0,0,0,-0.1214104,3.868619,-0.4696905802376,0.0000000001046657,0.0000002080024,0.0000000004066819,0.000000806565,,-0.0017368090339005,,,,,,,23.905702551938,0.0208383611331067
17,	06/12/2024 23:44:36.852,602.2389,0.0107,1,6,0,0,0,0,0,0,0,0,-1.127349,3.789638,-4.272244609662,0.0000000001046657,0.0000004069804,0.0000000004066819,0.000001576335,,,,,,,,,23.9057,0.02083838
18,	06/12/2024 23:44:37.345,602.7324,0.5042,1,6,0,0,0,0,0,0,0,0,-0.7186985,3.821389,-2.7464265422165,0.0000000001046657,0.0001546417,0.0000000004066819,0.0005857185,,0.0859552025794983,,0.000286147987935692,3494.69506835938,,,,23.9057,0.02083838
19,	06/12/2024 23:44:37.843,603.2307,1.0025,1,6,0,0,0,0,0,0,0,0,-0.5275764,3.83909,-2.025413281476,0.0000000001046657,0.0002540876,0.0000000004066819,0.0009657834,,,,,,,,,23.9057,0.02083838
20,	06/12/2024 23:44:38.347,603.734,1.5058,1,6,0,0,0,0,0,0,0,0,-0.2855129,3.858643,-1.1016923529947,0.0000000001046657,0.0003178577,0.0000000004066819,0.001210929,,0.0349791012704372,,-0.00232275202870369,-178.526596069336,,,,23.8863354057527,-0.0060481056837138
21,	06/12/2024 23:44:38.857,604.2442,2.016,1,6,0,0,0,0,0,0,0,0,-0.1776762,3.868721,-0.6873796461402,0.0000000001046657,0.0003579707,0.0000000004066819,0.001365727,,,,,,,,,23.88633,-0.006053448
22,	06/12/2024 23:44:40.044,605.4308,3.2026,1,6,0,0,0,0,0,0,0,0,-0.06565189,3.879704,-0.25470990024056,0.0000000001046657,0.000400832,0.0000000004066819,0.001531654,,0.00530020985752344,,-0.00314375897869468,-251.251403808594,,,,23.8863315580962,-0.00605344772341198
23,	06/12/2024 23:44:50.044,615.4309,13.2027,1,6,0,0,0,0,0,0,0,0,-0.02328491,3.882574,-0.09040538615834,0.0000000001046657,0.0004400977,0.0000000004066819,0.001684083,,0.00110531505197287,,-0.00432200822979212,-256.234008789063,,,,23.84295,-0.01066387
24,	06/12/2024 23:45:00.044,625.431,23.2028,1,6,0,0,0,0,0,0,0,0,-0.04916859,3.879829,-0.19076572137111,0.0000000001046657,0.0005421946,0.0000000004066819,0.002080326,,-0.00011110970081063,,,,,,,23.8561361901609,-0.0171565360261374
25,	06/12/2024 23:45:10.044,635.4311,33.2029,1,6,0,0,0,0,0,0,0,0,-0.06611633,3.878522,-0.25643364046426,0.0000000001046657,0.0007032293,0.0000000004066819,0.002705001,,-0.000196653694729321,,,,,,,23.8572635538279,0.0057009556972091
