Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/29/2024 20:54:38.420",60.0015,60.0015,1,1,0,0,0,0,3.886508,0,0,0,0,0,,1.28407E-05,,,,0,0,0,24.88437,0.003660321
2,"	03/29/2024 20:55:38.420",120.0015,120.0015,1,1,0,0,0,0,3.886786,0,0,0,0,0,,1.62394E-05,,,,,,,24.89504,0.01259863
3,"	03/29/2024 20:55:38.421",120.0029,120.0029,1,1,0,0,0,0,3.886786,0,0,0,0,0,,1.62394E-05,0,0,0,,,,24.89499483,0.01259863
4,"	03/29/2024 20:55:40.509",122.0902,2.0464,1,2,0,0,0,-6.67572E-05,3.84398,-0.000256613,0,0,0,0,,0.848210871,0.085392833,0,0,,,,24.82765139,0.012598634
5,"	03/29/2024 20:56:40.552",182.1335,60.0008,1,3,0,0,0,0,3.886521,0,0,0,0,0,,2.64729E-05,,,,,,,24.9458578,-0.005842417
6,"	03/29/2024 20:56:40.553",182.1348,60.0021,1,3,0,0,0,0,3.886531,0,0,0,0,0,,2.64729E-05,0.085392833,0,0,,,,24.94585836,-0.005842248
7,"	03/29/2024 20:56:40.600",182.182,0.0063,1,4,0,0,0,-0.09986633,3.878169,-0.387298505,0,1.10963E-07,0,4.30332E-07,,2.64729E-05,0.085392833,0,0,,,,24.94588024,-0.00583561
8,"	03/29/2024 20:57:40.646",242.2271,60.0025,1,5,0,0,0,0,3.886894,0,0,1.9141E-07,0,7.42322E-07,,3.79311E-06,,,,,,,24.97372,0.002608299
9,"	03/29/2024 20:57:40.648",242.2291,60.0045,1,5,0,0,0,0,3.886893,0,0,1.9141E-07,0,7.42322E-07,,3.79311E-06,0.085392833,0,0,,,,24.97371926,0.002607621
10,"	03/29/2024 20:57:50.689",252.2702,10.0003,1,6,0,0,0,-0.02988052,3.884143,-0.116060213,1.38013E-07,4.55545E-06,5.36406E-07,1.76933E-05,,-3.00269E-05,,,,,,,24.96997837,-0.0007939
11,"	03/29/2024 20:58:00.691",262.2728,20.0029,1,6,0,0,0,-0.07882118,3.879377,-0.305777073,1.38013E-07,0.000215073,5.36406E-07,0.000834446,,-0.001009186,,0.005083654,,,,,24.9924543,-0.000841617
12,"	03/29/2024 20:58:10.693",272.2747,30.0048,1,6,0,0,0,-0.07730865,3.879153,-0.299892082,1.38013E-07,0.000431688,5.36406E-07,0.001674749,,-1.00355E-05,,,,,,,24.93599,0.001171231
13,"	03/29/2024 20:58:20.694",282.276,40.0061,1,6,0,0,0,-0.07701492,3.879014,-0.298741953,1.38013E-07,0.00064598,5.36406E-07,0.002506003,,-0.00179751,,,22.91653061,,,,24.93954273,-0.01068163
14,"	03/29/2024 20:58:30.697",292.2786,50.0087,1,6,0,0,0,-0.07798004,3.878764,-0.302466172,1.38013E-07,0.000861634,5.36406E-07,0.003342482,,-4.78888E-05,,,,,,,24.94395252,0.012328395
15,"	03/29/2024 20:58:40.697",302.2788,60.0089,1,6,0,0,0,-0.08021069,3.878642,-0.311108551,1.38013E-07,0.001080962,5.36406E-07,0.004193151,,-6.524E-05,,,,,,,25.03595832,0.0139731
16,"	03/29/2024 20:58:50.698",312.2795,70.0096,1,6,0,0,0,-0.08286095,3.87812,-0.321344707,1.38013E-07,0.001306465,5.36406E-07,0.005067691,,,,,,,,,25.08273459,0.034442339
17,"	03/29/2024 20:59:00.699",322.2803,80.0104,1,6,0,0,0,-0.08569527,3.877728,-0.332302948,1.38013E-07,0.001539955,5.36406E-07,0.005973102,,5.1718E-05,,,,,,,25.03221,-0.005633235
18,"	03/29/2024 20:59:10.701",332.2821,90.0122,1,6,0,0,0,-0.08962154,3.877175,-0.347478394,1.38013E-07,0.001783023,5.36406E-07,0.006915543,,-0.000940991,,0.295024008,,,,,25.06846,0.0335902
19,"	03/29/2024 20:59:20.703",342.2841,100.0142,1,6,0,0,0,-0.09393883,3.876596,-0.364162893,1.38013E-07,0.002037418,5.36406E-07,0.007901767,,8.77156E-06,,,,,,,25.02117,-0.003243089
20,"	03/29/2024 20:59:30.704",352.2858,110.0159,1,6,0,0,0,-0.09864902,3.876031,-0.38236666,1.38013E-07,0.002304602,5.36406E-07,0.008937413,,-5.70133E-05,,,,,,,25.03717,-0.017851
21,"	03/29/2024 20:59:40.706",362.2874,120.0175,1,6,0,0,0,-0.1039581,3.875405,-0.402879741,1.38013E-07,0.002585959,5.36406E-07,0.01002782,,,,,,,,,24.99717943,0.013974587
22,"	03/29/2024 20:59:50.706",372.2875,130.0176,1,6,0,0,0,-0.1100626,3.874605,-0.4264491,1.38013E-07,0.002882913,5.36406E-07,0.01117846,,-8.61315E-05,,,,,,,24.96471437,-0.023068415
23,"	03/29/2024 21:00:00.707",382.2884,140.0185,1,6,0,0,0,-0.116642,3.873383,-0.45179914,1.38013E-07,0.003197007,5.36406E-07,0.01239529,,-6.21522E-05,,,,,,,25.02168,0.002815723
24,"	03/29/2024 21:00:10.707",392.2888,150.0189,1,6,0,0,0,-0.1236019,3.872796,-0.478684944,1.38013E-07,0.003529491,5.36406E-07,0.01368308,,-9.37027E-05,,,,,,,24.94005,-0.003412962
25,"	03/29/2024 21:00:20.709",402.2903,160.0204,1,6,0,0,0,-0.130867,3.87199,-0.506715715,1.38013E-07,0.003882069,5.36406E-07,0.0150484,,4.36972E-05,,0.400580704,0,,,,24.98531296,0.023656813
26,"	03/29/2024 21:00:30.710",412.2919,170.022,1,6,0,0,0,-0.138854,3.870906,-0.537490782,1.38013E-07,0.004256045,5.36406E-07,0.01649624,,-8.36766E-05,,,,,,,24.98004537,0.008074201
27,"	03/29/2024 21:00:40.711",422.2921,180.0222,1,6,0,0,0,-0.1471539,3.870245,-0.569521646,1.38013E-07,0.004652644,5.36406E-07,0.01803127,,,,,,,,,24.96968125,-0.001011454
28,"	03/29/2024 21:00:50.712",432.2938,190.0239,1,6,0,0,0,-0.1563892,3.868407,-0.604977076,1.38013E-07,0.005073482,5.36406E-07,0.01965969,,0.002324671,,,,,,,24.95932017,-0.010098724
29,"	03/29/2024 21:01:00.712",442.294,200.0241,1,6,0,0,0,-0.1655846,3.867846,-0.640455733,1.38013E-07,0.005519759,5.36406E-07,0.02138605,,-0.000157419,,,,,,,24.97872,-0.007876754
30,"	03/29/2024 21:01:10.714",452.2957,210.0258,1,6,0,0,0,-0.1759624,3.865675,-0.680213451,1.38013E-07,0.005992939,5.36406E-07,0.02321592,,-0.000117307,,0.395381808,2.028414011,,,,24.98963917,-0.004661115
31,"	03/29/2024 21:01:20.716",462.2974,220.0275,1,6,0,0,0,-0.1864634,3.865506,-0.720775391,1.38013E-07,0.006494466,5.36406E-07,0.0251548,,-0.000143381,,,,,,,24.95593,-0.007073879
32,"	03/29/2024 21:01:30.718",472.2993,230.0294,1,6,0,0,0,-0.1971035,3.864497,-0.761705884,1.38013E-07,0.007025832,5.36406E-07,0.02720836,,-0.000163501,,,,,,,24.97411,0.002864003
33,"	03/29/2024 21:01:40.718",482.3,240.0301,1,6,0,0,0,-0.208497,3.86293,-0.805409316,1.38013E-07,0.007588275,5.36406E-07,0.02938127,,-0.000177975,,,,,,,24.95862023,-0.002828183
34,"	03/29/2024 21:01:50.718",492.3,250.0301,1,6,0,0,0,-0.2203846,3.861158,-0.850939761,1.38013E-07,0.008182835,5.36406E-07,0.0316774,,6.75659E-06,,0.342906088,,,,,24.95862007,-0.004256353
35,"	03/29/2024 21:02:00.718",502.3,260.0301,1,6,0,0,0,-0.2329865,3.859907,-0.899306222,1.38013E-07,0.008811792,5.36406E-07,0.03410546,,-0.000292598,,,,,,,24.96549599,-0.003497608
36,"	03/29/2024 21:02:10.719",512.3005,270.0306,1,6,0,0,0,-0.2459049,3.858216,-0.94875422,1.38013E-07,0.009475968,5.36406E-07,0.03666845,,-5.36616E-05,,,,,,,24.90137,0.005694032
37,"	03/29/2024 21:02:20.721",522.3028,280.0329,1,6,0,0,0,-0.2556744,3.855958,-0.985869748,1.38013E-07,0.01017637,5.36406E-07,0.03937013,,-0.000174788,,,2.348948956,,,,24.91307819,-0.018774622
38,"	03/29/2024 21:02:30.722",532.3038,290.0339,1,6,0,0,0,-0.2660322,3.855629,-1.025721465,1.38013E-07,0.01089858,5.36406E-07,0.04215507,,-6.27849E-05,,,,,,,24.90715033,0.007915826
39,"	03/29/2024 21:02:40.724",542.3057,300.0358,1,6,0,0,0,-0.2785511,3.853929,-1.073516162,1.38013E-07,0.01165411,5.36406E-07,0.04506738,,-0.000134554,,0.477928191,,,,,24.90972,0.002657175
40,"	03/29/2024 21:02:50.726",552.3079,310.038,1,6,0,0,0,-0.2342129,3.85757,-0.903492657,1.38013E-07,0.01235061,5.36406E-07,0.04775306,,0.000171313,,-0.1150667,,,,,24.8702263,4.59217E-05
41,"	03/29/2024 21:03:00.727",562.3082,320.0383,1,6,0,0,0,-0.2308922,3.857561,-0.890680746,1.38013E-07,0.01299731,5.36406E-07,0.05024766,,0.000116575,,,,,,,24.85513,0.003877282
42,"	03/29/2024 21:03:10.727",572.309,330.0391,1,6,0,0,0,-0.2288275,3.857512,-0.882704827,1.38013E-07,0.01363632,5.36406E-07,0.05271262,,-4.47285E-05,,,,,,,24.84139075,0.000597271
43,"	03/29/2024 21:03:20.728",582.3098,340.0399,1,6,0,0,0,-0.2274113,3.857337,-0.877202022,1.38013E-07,0.01426989,5.36406E-07,0.05515648,,8.60485E-05,,,,,,,24.76874043,-0.014787162
44,"	03/29/2024 21:03:30.729",592.3101,350.0402,1,6,0,0,0,-0.2265673,3.857201,-0.873915616,1.38013E-07,0.01490043,5.36406E-07,0.05758861,,-2.18899E-05,,,,,,,24.80634,0.005270243
45,"	03/29/2024 21:03:40.730",602.3116,360.0417,1,6,0,0,0,-0.2258863,3.85611,-0.87104242,1.38013E-07,0.01552853,5.36406E-07,0.0600112,,,,,,,,,24.82508068,0.013981374
46,"	03/29/2024 21:03:50.731",612.3128,370.0429,1,6,0,0,0,-0.2253332,3.857011,-0.869112631,1.38013E-07,0.016155,5.36406E-07,0.06242735,,-2.979E-05,,,,,,,24.8412493,0.004845353
47,"	03/29/2024 21:04:00.732",622.3135,380.0436,1,6,0,0,0,-0.2247734,3.856494,-0.866837268,1.38013E-07,0.01677995,5.36406E-07,0.06483749,,-3.14538E-05,,,,,,,24.82887662,-0.010354963
48,"	03/29/2024 21:04:10.734",632.3155,390.0456,1,6,0,0,0,-0.2243557,3.856253,-0.865172341,1.38013E-07,0.01740388,5.36406E-07,0.06724361,,-1.70285E-05,,,,,,,24.8159181,0.001393439
49,"	03/29/2024 21:04:20.735",642.3161,400.0462,1,6,0,0,0,-0.2239885,3.856066,-0.863714439,1.38013E-07,0.01802693,5.36406E-07,0.06964611,,-5.00653E-05,,,0,,,,24.80933,0.001012683
50,"	03/29/2024 21:04:30.736",652.3179,410.048,1,6,0,0,0,-0.224103,3.855807,-0.864097916,1.38013E-07,0.01864902,5.36406E-07,0.07204483,,-7.07274E-06,,,,,,,24.81068801,-0.009299414
51,"	03/29/2024 21:04:40.739",662.3203,420.0504,1,6,0,0,0,-0.2234297,3.855636,-0.861463595,1.38013E-07,0.01927038,5.36406E-07,0.07444052,,,,-0.001873355,,,,,24.81121253,0.002025253
52,"	03/29/2024 21:04:50.740",672.322,430.0521,1,6,0,0,0,-0.2230043,3.855416,-0.859774346,1.38013E-07,0.01989111,5.36406E-07,0.07683366,,-4.43693E-05,,,,,,,24.78061707,0.00282108
53,"	03/29/2024 21:05:00.742",682.3237,440.0538,1,6,0,0,0,-0.223527,3.855129,-0.86172542,1.38013E-07,0.02051119,5.36406E-07,0.07922415,,-3.53236E-05,,,,,,,24.76501,-0.01073837
54,"	03/29/2024 21:05:10.742",692.3238,450.0539,1,6,0,0,0,-0.2227821,3.854828,-0.858786677,1.38013E-07,0.02113045,5.36406E-07,0.08161133,,-3.57187E-05,,,,,,,24.78965,0.008084178
55,"	03/29/2024 21:05:20.742",702.324,460.0541,1,6,0,0,0,-0.2226648,3.854547,-0.858271937,1.38013E-07,0.02174883,5.36406E-07,0.08399495,,-1.16957E-05,,,,,,,24.79166,-0.009911656
56,"	03/29/2024 21:05:30.744",712.3251,470.0552,1,6,0,0,0,-0.2221489,3.854365,-0.856242945,1.38013E-07,0.02236691,5.36406E-07,0.08637726,,4.97088E-05,,,,,,,24.84993,0.02245784
