Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/29/2024 20:54:13.642",60.0008,60.0008,1,1,0,0,0,0,3.863412,0,0,0,0,0,,-1.68725E-05,,,,0,0,0,25.07355,-0.003035665
2,"	03/29/2024 20:55:13.643",120.0015,120.0015,1,1,0,0,0,0,3.863425,0,0,0,0,0,,7.30927E-06,,,,,,,25.07355,-0.003035665
3,"	03/29/2024 20:55:13.646",120.0045,120.0045,1,1,0,0,0,0,3.863415,0,0,0,0,0,,7.30927E-06,0,0,0,,,,25.17957,0.000208616
4,"	03/29/2024 20:55:15.735",122.0934,2.0489,1,2,0,0,0,4.19617E-05,3.629066,0.000152282,0,0,0,0,,4.653977871,0.472972989,0,0,,,,25.15304,-0.00829041
5,"	03/29/2024 20:56:15.777",182.1356,60.0006,1,3,0,0,0,0,3.863259,0,0,0,0,0,,9.64154E-06,,,,,,,25.16100691,-0.010737177
6,"	03/29/2024 20:56:15.779",182.1381,60.0031,1,3,0,0,0,0,3.863259,0,0,0,0,0,,9.64154E-06,0.472972989,0,0,,,,25.16100691,-0.010737177
7,"	03/29/2024 20:56:15.828",182.1868,0.0079,1,4,0,0,0,-0.09989357,3.817307,-0.381324424,0,2.08112E-07,0,7.94426E-07,,-0.003946168,0.472972989,0,0,,,,25.16100693,-0.010737181
8,"	03/29/2024 20:57:15.871",242.2292,60.0015,1,5,0,0,0,0,3.86348,0,0,2.33085E-07,0,8.89757E-07,,1.07079E-05,,,,,,,25.26724416,0.024445594
9,"	03/29/2024 20:57:15.872",242.2307,60.003,1,5,0,0,0,0,3.86348,0,0,2.33085E-07,0,8.89757E-07,,1.07079E-05,0.472972989,0,0,,,,25.26724416,0.024445594
10,"	03/29/2024 20:57:16.422",242.7806,0.5089,1,6,0,0,0,-0.02683926,3.851245,-0.103364566,4.1114E-10,2.56067E-06,1.58853E-09,9.86371E-06,,-2.76603E-05,,4.73307E-05,5360.175781,,,,25.26724,0.02444565
