Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/29/2024 20:54:25.365",60.001,60.0009,1,1,0,0,0,0,3.881932,0,0,0,0,0,,-1.44623E-05,,,,0,0,0,24.06083,-0.01075387
2,"	03/29/2024 20:55:25.366",120.0024,120.0023,1,1,0,0,0,0,3.881865,0,0,0,0,0,,-2.55646E-05,,,,,,,24.06083,-0.01075387
3,"	03/29/2024 20:55:25.367",120.0029,120.0028,1,1,0,0,0,0,3.881865,0,0,0,0,0,,-2.55646E-05,0,0,0,,,,24.08393,-0.01395226
4,"	03/29/2024 20:55:27.452",122.088,2.0442,1,2,0,0,0,-0.000135899,3.811501,-0.000517978,0,0,0,0,,1.384837985,0.138184905,0,0,,,,24.06962273,-0.004472591
5,"	03/29/2024 20:56:27.494",182.1303,60.0001,1,3,0,0,0,0,3.881967,0,0,0,0,0,,-5.25547E-06,,,,,,,24.12377,0.008146763
6,"	03/29/2024 20:56:27.496",182.1318,60.0016,1,3,0,0,0,0,3.881967,0,0,0,0,0,,-5.25547E-06,0.138184905,0,0,,,,24.12377,0.008146763
7,"	03/29/2024 20:56:27.547",182.1829,0.0103,1,4,0,0,0,-0.09989607,3.868524,-0.386450344,0,2.21991E-07,0,8.58778E-07,,-0.001129974,0.138184905,0,0,,,,24.12377,0.008146763
8,"	03/29/2024 20:57:27.589",242.2254,60.0001,1,5,0,0,0,0,3.881765,0,0,2.99688E-07,0,1.15935E-06,,-2.35098E-05,,,,,,,24.16654,0.005645752
9,"	03/29/2024 20:57:27.591",242.2267,60.0014,1,5,0,0,0,0,3.881765,0,0,2.99688E-07,0,1.15935E-06,,-2.35098E-05,0.138184905,0,0,,,,24.16654,0.005645752
10,"	03/29/2024 20:57:27.644",242.2806,0.0129,1,6,0,0,0,-2.507782,3.534084,-8.862712242,2.25438E-11,3.92411E-06,8.75179E-11,1.39691E-05,,-0.029675201,,,,,,,24.16654,0.005645752
11,"	03/29/2024 20:57:28.138",242.7741,0.5064,1,6,0,0,0,-1.566053,3.660312,-5.732242589,2.25438E-11,0.00034608,8.75179E-11,0.001222166,,0.329820514,,-0.00218243,-458.2048035,,,,24.09906,-0.02108693
12,"	03/29/2024 20:57:28.636",243.2719,1.0042,1,6,0,0,0,-1.360538,3.706058,-5.042232739,2.25438E-11,0.000562464,8.75179E-11,0.002014589,,,,,,,,,24.09905815,-0.021086931
13,"	03/29/2024 20:57:28.641",243.2773,1.0096,1,6,0,0,0,-0.9584751,3.745323,-3.589798837,2.25438E-11,0.000563795,8.75179E-11,0.002019575,,,,,,,,,24.09905815,-0.021086931
14,"	03/29/2024 20:57:29.139",243.7751,1.5074,1,6,0,0,0,-0.5695915,3.799432,-2.164124172,2.25438E-11,0.000695076,8.75179E-11,0.002511334,,0.128957093,,-0.001896838,-527.1931763,,,,24.09906,-0.02108693
15,"	03/29/2024 20:57:29.637",244.2727,2.005,1,6,0,0,0,-0.3220463,3.835066,-1.235068816,2.25438E-11,0.000773899,8.75179E-11,0.002810849,,,,,,,,,24.09906,-0.02108693
16,"	03/29/2024 20:57:30.136",244.7725,2.5048,1,6,0,0,0,-0.1891937,3.853214,-0.729003814,2.25438E-11,0.000818622,8.75179E-11,0.00298234,,0.036420681,,-0.002450098,-408.1469116,,,,24.09905815,-0.021086931
