Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/21/2024 14:04:30.463",60.0014,60.0014,1,1,0,0,0,0,3.870425,0,0,0,0,0,,-3.12128E-06,,,,0,0,0,25.585,0.009439588
2,"	03/21/2024 14:05:30.462",120.0006,120.0006,1,1,0,0,0,0,3.870245,0,0,0,0,0,,9.16675E-06,,,,,,,25.65821,-0.007734299
3,"	03/21/2024 14:05:30.463",120.002,120.002,1,1,0,0,0,0,3.870245,0,0,0,0,0,,9.16675E-06,0,0,0,,,,25.65820415,-0.00773089
4,"	03/21/2024 14:05:32.529",122.0677,2.0289,1,2,0,0,0,-7.58171E-05,3.643004,-0.000276202,0,0,0,0,,4.489188194,0.456780791,0,0,,,,25.64957088,-0.00270093
5,"	03/21/2024 14:06:32.569",182.1074,60.0013,1,3,0,0,0,0,3.870267,0,0,0,0,0,,2.01906E-05,,,,,,,25.81262,0.002470613
6,"	03/21/2024 14:06:32.569",182.1076,60.0015,1,3,0,0,0,0,3.870255,0,0,0,0,0,,2.01906E-05,0.456780791,0,0,,,,25.81261938,0.002470616
7,"	03/21/2024 14:06:32.610",182.1483,0.0047,1,4,0,0,0,-0.09986168,3.827093,-0.382179936,0,0,0,0,,-0.003707177,0.456780791,0,0,,,,25.81249226,0.002471326
8,"	03/21/2024 14:07:32.648",242.1867,60.0006,1,5,0,0,0,0,3.870421,0,0,1.41471E-07,0,5.41422E-07,,-9.04829E-06,,,,,,,25.62498,0.003518462
9,"	03/21/2024 14:07:32.650",242.1883,60.0022,1,5,0,0,0,0,3.870421,0,0,1.41471E-07,0,5.41422E-07,,-9.04829E-06,0.456780791,0,0,,,,25.62495008,0.003518462
10,"	03/21/2024 14:07:33.190",242.7284,0.5049,1,6,0,0,0,-0.02499771,3.859091,-0.096468438,0,2.57011E-06,0,9.92153E-06,,-2.6478E-05,,4.71707E-05,,,,,25.61485096,0.003518462
11,"	03/21/2024 14:07:34.209",243.7476,1.5241,1,6,0,0,0,-0.04588223,3.848721,-0.176587902,0,1.27042E-05,0,4.89777E-05,,-0.003951979,,0.000895451,4605.330078,,,,25.61485,-0.003166795
12,"	03/21/2024 14:07:36.057",245.5957,3.3722,1,6,0,0,0,-0.05417633,3.834382,-0.207732745,0,3.84058E-05,0,0.000147868,,-0.01421371,,0.003577411,1019.815002,,,,25.61072,-0.001290441
13,"	03/21/2024 14:07:36.062",245.6012,3.3777,1,6,0,0,0,-0.0541935,3.844982,-0.208373032,0,3.84825E-05,0,0.000148162,,,,,,,,,25.61072,-0.001290441
14,"	03/21/2024 14:07:36.562",246.1004,3.8769,1,6,0,0,0,-0.05522251,3.833851,-0.211714875,0,4.60979E-05,0,0.000177447,,,,,,,,,25.61071968,-0.001290441
15,"	03/21/2024 14:07:36.567",246.1053,3.8818,1,6,0,0,0,-0.05522156,3.844286,-0.21228747,0,4.62022E-05,0,0.000177846,,,,,,,,,25.61072806,-0.00129328
16,"	03/21/2024 14:07:46.567",256.1061,13.8826,1,6,0,0,0,-0.06488609,3.841044,-0.249230327,0,0.000215807,0,0.000829544,,-0.000380348,,0.016029639,-7480.189941,,,,25.62817556,-0.007209719
17,"	03/21/2024 14:07:56.568",266.107,23.8835,1,6,0,0,0,-0.06992722,3.838023,-0.268382279,0,0.000403829,0,0.001551387,,-0.000187524,,,,,,,25.61465277,-0.008975846
18,"	03/21/2024 14:08:06.569",276.1079,33.8844,1,6,0,0,0,-0.07441139,3.835528,-0.28540697,0,0.000604862,0,0.002322694,,-0.000130522,,0.062937059,25.60149002,,,,25.65050471,-0.003278908
19,"	03/21/2024 14:08:16.570",286.1089,43.8854,1,6,0,0,0,-0.07800007,3.833803,-0.299036902,0,0.000816625,0,0.003134743,,-9.29553E-05,,,,,,,25.65706056,0.014652431
20,"	03/21/2024 14:08:26.570",296.1091,53.8856,1,6,0,0,0,-0.08155823,3.832107,-0.312539864,0,0.001038017,0,0.003983299,,-0.000195428,,-0.000405995,,,,,25.65783,0.01888871
21,"	03/21/2024 14:08:36.570",306.1092,63.8857,1,6,0,0,0,-0.08519554,3.829812,-0.326282901,0,0.001269569,0,0.00487037,,-0.000200028,,,,,,,25.66738501,-0.013368999
22,"	03/21/2024 14:08:46.571",316.1098,73.8863,1,6,0,0,0,-0.08895779,3.828265,-0.340553994,0,0.001511625,0,0.005797203,,-0.000159355,,0.068793513,,,,,25.66812705,0.014955118
23,"	03/21/2024 14:08:56.571",326.1101,83.8866,1,6,0,0,0,-0.09343624,3.825784,-0.357466872,0,0.001765032,0,0.006766965,,-9.08689E-05,,,8.247345924,,,,25.69422696,0.007683707
24,"	03/21/2024 14:09:06.572",336.1103,93.8868,1,6,0,0,0,-0.09835339,3.823364,-0.376040811,0,0.002031327,0,0.007785412,,-0.000218575,,0.125426799,,,,,25.69645,0.01383424
25,"	03/21/2024 14:09:16.572",346.1104,103.8869,1,6,0,0,0,-0.1037273,3.820364,-0.396276043,0,0.002311952,0,0.008857931,,-0.000289183,,-0.00043388,,,,,25.64357,-0.006444454
26,"	03/21/2024 14:09:26.572",356.111,113.8875,1,6,0,0,0,-0.1097555,3.816172,-0.418845866,0,0.002608197,0,0.00998931,,-0.000353356,,0.05577467,,,,,25.6433754,-0.005506883
27,"	03/21/2024 14:09:36.573",366.1113,123.8878,1,6,0,0,0,-0.1159401,3.81459,-0.442263946,0,0.002921576,0,0.01118515,,-0.000362257,,,9.76817131,,,,25.66628,0.000241399
28,"	03/21/2024 14:09:46.573",376.1115,133.888,1,6,0,0,0,-0.1228924,3.810848,-0.468324257,0,0.003253503,0,0.01245064,,-0.00044393,,0.088064238,,,,,25.64654,0.006443858
29,"	03/21/2024 14:09:56.305",385.8438,143.6203,1,6,0,0,0,-0.1301756,3.800646,-0.494751373,0,0.003596141,0,0.01375574,,-0.000775318,,0.110403597,,,,,25.64244,-0.00252068
30,"	03/21/2024 14:10:06.306",395.8446,153.6211,1,6,0,0,0,-0.1388483,3.80303,-0.52804425,0,0.003969812,0,0.01517758,,-0.000148486,,0.063863367,16.23192978,,,,25.6567,-0.003982186
31,"	03/21/2024 14:10:16.307",405.8454,163.6219,1,6,0,0,0,-0.1474972,3.798415,-0.560255577,0,0.004366773,0,0.01668637,,-0.000506757,,,,,,,25.68219,-0.000705123
32,"	03/21/2024 14:10:26.308",415.8469,173.6234,1,6,0,0,0,-0.1568403,3.79395,-0.595044256,0,0.004788782,0,0.01828845,,-0.000656757,,0.087779567,,,,,25.67583,-0.000231266
33,"	03/21/2024 14:10:36.308",425.8472,183.6237,1,6,0,0,0,-0.1667938,3.789137,-0.632004559,0,0.005237372,0,0.0199893,,-0.000501262,,0.081428021,7.477939129,,,,25.66079918,-0.011141191
34,"	03/21/2024 14:10:45.070",434.6089,192.3854,1,6,0,0,0,-0.1756544,3.771466,-0.662474597,0,0.005653307,0,0.02156436,,-0.008680716,,0.090619169,,,,,25.65931322,0.005212836
35,"	03/21/2024 14:10:45.076",434.6145,192.391,1,6,0,0,0,-0.17558,3.783813,-0.664361887,0,0.005653556,0,0.02156529,,,,,,,,,25.65929353,0.005210358
36,"	03/21/2024 14:10:55.076",444.6147,202.3912,1,6,0,0,0,-0.1865072,3.779179,-0.704844094,0,0.006156361,0,0.02346677,,-0.000629204,,0.063824847,-2792.930908,,,,25.62349737,0.000705764
37,"	03/21/2024 14:11:05.077",454.6155,212.392,1,6,0,0,0,-0.1983557,3.773777,-0.748550178,0,0.006690252,0,0.02548277,,-0.000440245,,0.09198913,13.69151974,,,,25.63698564,0.000231867
38,"	03/21/2024 14:11:15.078",464.6165,222.393,1,6,0,0,0,-0.2102995,3.767243,-0.792249319,0,0.007257052,0,0.02761966,,-0.000820006,,0.080252513,,,,,25.67657,-0.01413465
39,"	03/21/2024 14:11:25.079",474.6174,232.3939,1,6,0,0,0,-0.2223501,3.761253,-0.836314981,0,0.007858302,0,0.02988266,,-0.001120066,,0.1090312,10.67446995,,,,25.62740375,0.004215057
40,"	03/21/2024 14:11:30.476",480.0144,237.7909,1,6,0,0,0,-0.2299061,3.744666,-0.860921556,0,0.008197278,0,0.03115681,,-0.000884188,,0.080700397,,,,,25.61542724,-0.022396548
41,"	03/21/2024 14:11:30.481",480.0198,237.7963,1,6,0,0,0,-0.2298594,3.756308,-0.863422703,0,0.00819761,0,0.03115805,,,,,,,,,25.61544462,-0.022380871
42,"	03/21/2024 14:11:40.482",490.0207,247.7972,1,6,0,0,0,-0.2435074,3.750296,-0.913224828,0,0.008854801,0,0.03362488,,-0.000810166,,0.071205027,-1855.014038,,,,25.64824834,0.007200541
43,"	03/21/2024 14:11:50.483",500.0215,257.798,1,6,0,0,0,-0.2575703,3.743155,-0.964125556,0,0.009550457,0,0.03623117,,-0.000672673,,0.107358597,11.21811008,,,,25.61933356,-0.000827232
44,"	03/21/2024 14:12:00.483",510.0217,267.7982,1,6,0,0,0,-0.2721519,3.734953,-1.016474555,0,0.01028612,0,0.0389819,,-0.000862096,,0.077518843,11.71704006,,,,25.67751,0.01788855
45,"	03/21/2024 14:12:10.483",520.0219,277.7984,1,6,0,0,0,-0.2876377,3.727847,-1.072269337,0,0.01106295,0,0.04188064,,-0.001108437,,0.124458,,,,,25.6488,-0.001007915
46,"	03/21/2024 14:12:15.041",524.5796,282.3561,1,6,0,0,0,-0.2945004,3.712079,-1.09320875,0,0.0114314,0,0.04325337,,-0.020412941,,0.078777611,9.940225601,,,,25.66157,-0.002459884
47,"	03/21/2024 14:12:15.046",524.5851,282.3616,1,6,0,0,0,-0.2945795,3.723393,-1.096835248,0,0.01143184,0,0.04325504,,,,,,,,,25.66157259,-0.002455529
48,"	03/21/2024 14:12:25.048",534.5866,292.3631,1,6,0,0,0,-0.3060198,3.718019,-1.137787431,0,0.01227171,0,0.04637922,,-0.000742956,,0.058351509,-1437.442993,,,,25.66628261,0.005464475
49,"	03/21/2024 14:12:35.048",544.5867,302.3632,1,6,0,0,0,-0.3167477,3.712062,-1.175787101,0,0.01313359,0,0.0495814,,-0.000716033,,0.195176601,7.747662067,,,,25.63289,-0.008963943
50,"	03/21/2024 14:12:43.797",553.3359,311.1124,1,6,0,0,0,-0.3218203,3.699789,-1.190667206,0,0.01391465,0,0.05247854,,-0.000469222,,0.108593903,,,,,25.69029,0.01665771
51,"	03/21/2024 14:12:43.864",553.4031,311.1796,1,6,0,0,0,-0.3221722,3.710035,-1.195270138,0,0.0139207,0,0.05250097,,,,,,,,,25.69029,0.01665771
52,"	03/21/2024 14:12:53.865",563.404,321.1805,1,6,0,0,0,-0.3328781,3.702876,-1.232606327,0,0.01482954,0,0.05586892,,-0.000764564,,0.130357504,-178.8435974,,,,25.66402462,-0.001050057
53,"	03/21/2024 14:13:03.866",573.4045,331.181,1,6,0,0,0,-0.3457241,3.696341,-1.277914166,0,0.01577166,0,0.05935409,,-0.000665122,,0.1219787,9.620799065,,,,25.7173,0.004507303
54,"	03/21/2024 14:13:13.868",583.4064,341.1829,1,6,0,0,0,-0.3582325,3.688964,-1.321506796,0,0.01674877,0,0.06296206,,-0.000812689,,0.1382332,7.722373009,,,,25.73061548,0.000997817
55,"	03/21/2024 14:13:23.868",593.4067,351.1832,1,6,0,0,0,-0.371151,3.682446,-1.366743515,0,0.01776229,0,0.06669733,,-0.000516083,,0.135898605,,,,,25.73852,0.003932118
56,"	03/21/2024 14:13:28.531",598.0693,355.8458,1,6,0,0,0,-0.377574,3.666842,-1.384504201,0,0.01824709,0,0.06848143,,-0.007243961,,0.138238698,6.409328938,,,,25.69722455,-0.00967831
57,"	03/21/2024 14:13:28.536",598.0747,355.8512,1,6,0,0,0,-0.3777905,3.677961,-1.389498725,0,0.01824764,0,0.06848347,,,,,,,,,25.69721975,-0.009669866
58,"	03/21/2024 14:13:33.688",603.2268,361.0033,1,6,0,0,0,-0.3526945,3.689486,-1.30126142,0,0.01878786,0,0.07047053,,0.003662692,,-0.053103391,-1164.199951,,,,25.69254694,-0.001461665
59,"	03/21/2024 14:13:43.688",613.227,371.0035,1,6,0,0,0,-0.3370476,3.695454,-1.245543902,0,0.01973461,0,0.07396825,,0.00023074,,-0.093348108,-20.71699905,,,,25.69722,-0.000293255
60,"	03/21/2024 14:13:53.688",623.227,381.0035,1,6,0,0,0,-0.3329525,3.69731,-1.231028608,0,0.02066472,0,0.0774064,,,,,,,,,25.70116039,-0.006745989
61,"	03/21/2024 14:14:03.688",633.2271,391.0036,1,6,0,0,0,-0.3299532,3.696656,-1.219723476,0,0.02158448,0,0.08080709,,8.53906E-05,,,,,,,25.75672,-0.000755787
