Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/14/2024 14:01:02.300",60.0001,60.0001,1,1,0,0,0,0,3.880961,0,0,0,0,0,,-1.93598E-06,,,,0,0,0,24.22643,-0.03431439
2,"	03/14/2024 14:02:02.300",120.0007,120.0007,1,1,0,0,0,0,3.881102,0,0,0,0,0,,-1.10641E-06,,,,,,,24.12346,0.000669956
3,"	03/14/2024 14:02:02.302",120.0022,120.0022,1,1,0,0,0,0,3.881107,0,0,0,0,0,,-1.10641E-06,0,0,0,,,,24.12346285,0.000670359
4,"	03/14/2024 14:02:04.372",122.0725,2.0304,1,2,0,0,0,-0.000142098,3.809089,-0.000541262,0,0,0,0,,1.442376018,0.143819496,0,0,,,,24.12738781,0.001226637
5,"	03/14/2024 14:03:04.410",182.1109,60,1,3,0,0,0,0,3.880876,0,0,0,0,0,,9.79959E-06,,,,,,,24.06054,-0.002006292
6,"	03/14/2024 14:03:04.413",182.1139,60.003,1,3,0,0,0,0,3.880874,0,0,0,0,0,,9.79959E-06,0.143819496,0,0,,,,24.06054079,-0.002006376
7,"	03/14/2024 14:03:04.458",182.1587,0.0056,1,4,0,0,0,-0.09990335,3.866852,-0.386311469,0,0,0,0,,-0.001208129,0.143819496,0,0,,,,24.06055257,-0.002007632
8,"	03/14/2024 14:04:04.498",242.1988,60.0008,1,5,0,0,0,0,3.880851,0,0,1.69281E-07,0,6.54583E-07,,2.3312E-06,,,,,,,24.07634,-0.00369072
9,"	03/14/2024 14:04:04.500",242.2004,60.0024,1,5,0,0,0,0,3.880851,0,0,1.69281E-07,0,6.54583E-07,,2.3312E-06,0.143819496,0,0,,,,24.07634314,-0.003691183
10,"	03/14/2024 14:04:14.151",251.8516,9.6112,1,6,0,0,0,-0.06658077,3.870746,-0.257717249,2.32954E-07,1.19329E-05,9.04092E-07,4.62335E-05,,-0.000123425,,,,,,,24.09531,-0.006486773
11,"	03/14/2024 14:04:24.151",261.852,19.6116,1,6,0,0,0,-0.09557533,3.866569,-0.369548608,2.32954E-07,0.000269501,9.04092E-07,0.001042259,,-0.000595664,,0.002584291,386.9533997,,,,24.0870572,-6.48645E-08
12,"	03/14/2024 14:04:34.151",271.852,29.6116,1,6,0,0,0,-0.09452724,3.866163,-0.365457718,2.32954E-07,0.000532928,9.04092E-07,0.002060738,,-4.31861E-05,,0.07429646,,,,,24.12641867,-0.008284963
13,"	03/14/2024 14:04:44.152",281.8522,39.6118,1,6,0,0,0,-0.09544849,3.866101,-0.369013503,2.32954E-07,0.000796229,9.04092E-07,0.00307863,,-4.0342E-05,,,,,,,24.1056616,0.000551851
14,"	03/14/2024 14:04:54.153",291.8531,49.6127,1,6,0,0,0,-0.09740448,3.865219,-0.376489647,2.32954E-07,0.001063367,9.04092E-07,0.004111226,,,,,,,,,24.14435,0.004814863
15,"	03/14/2024 14:05:04.153",301.8538,59.6134,1,6,0,0,0,-0.1007462,3.864391,-0.389322709,2.32954E-07,0.001337444,9.04092E-07,0.005170459,,5.45632E-05,,,,,,,24.1014256,-0.00591625
