Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/23/2024 19:49:36.469",60.0009,60.0009,1,1,0,0,0,0,3.887195,0,0,0,0,0,,-1.82941E-05,,,,0,0,0,26.18176,-0.01166046
2,"	03/23/2024 19:50:36.470",120.0014,120.0014,1,1,0,0,0,0,3.887164,0,0,0,0,0,,-3.39407E-05,,,,,,,26.15369,0.005909801
3,"	03/23/2024 19:50:36.471",120.0028,120.0028,1,1,0,0,0,0,3.887169,0,0,0,0,0,,-3.39407E-05,0,0,0,,,,26.15369,0.005909801
4,"	03/23/2024 19:50:38.543",122.0749,2.0328,1,2,0,0,0,-9.01222E-05,3.843734,-0.000346406,0,0,0,0,,0.865766585,0.087241992,0,0,,,,26.15369,0.005909801
5,"	03/23/2024 19:51:38.588",182.1196,60.0014,1,3,0,0,0,0,3.887438,0,0,0,0,0,,-2.49322E-05,,,,,,,26.21459951,0.012423981
6,"	03/23/2024 19:51:38.590",182.1211,60.0029,1,3,0,0,0,0,3.887438,0,0,0,0,0,,-2.49322E-05,0.087241992,0,0,,,,26.2145998,0.012423536
7,"	03/23/2024 19:51:38.634",182.1652,0.0066,1,4,0,0,0,-0.09988004,3.877942,-0.387329002,0,1.55369E-07,0,6.02512E-07,,-2.49322E-05,0.087241992,0,0,,,,26.21460912,0.012409517
8,"	03/23/2024 19:52:38.674",242.2051,60.0007,1,5,0,0,0,0,3.887434,0,0,1.91437E-07,0,7.4238E-07,,-6.44038E-06,,,,,,,26.22729,-0.006676316
9,"	03/23/2024 19:52:38.674",242.2058,60.0014,1,5,0,0,0,0,3.887434,0,0,1.91437E-07,0,7.4238E-07,,-6.44038E-06,0.087241992,0,0,,,,26.22729425,-0.00667554
10,"	03/23/2024 19:52:48.714",252.246,10.0001,1,6,0,0,0,-0.03006172,3.884799,-0.11678374,1.07092E-07,4.69842E-06,4.16295E-07,1.82514E-05,,-2.02829E-05,,,,,,,26.28819596,0.004449972
11,"	03/23/2024 19:52:58.715",262.247,20.0011,1,6,0,0,0,-0.07868481,3.879855,-0.305285654,1.07092E-07,0.000215205,4.16295E-07,0.000835067,,0.001668771,,0.004970587,,,,,26.25294911,-0.006499181
12,"	03/23/2024 19:53:08.716",272.2471,30.0012,1,6,0,0,0,-0.07742405,3.879871,-0.300395326,1.07092E-07,0.000431821,4.16295E-07,0.001675484,,-3.69041E-05,,,,,,,26.27599502,-0.010959461
13,"	03/23/2024 19:53:18.716",282.2472,40.0013,1,6,0,0,0,-0.07724094,3.87833,-0.299565855,1.07092E-07,0.000646394,4.16295E-07,0.002507937,,-2.06649E-05,,,22.69728088,,,,26.34328,0.004745722
14,"	03/23/2024 19:53:28.716",292.2473,50.0014,1,6,0,0,0,-0.07814026,3.879393,-0.303136778,1.07092E-07,0.00086204,4.16295E-07,0.003344508,,,,,,,,,26.32866111,0.004921554
15,"	03/23/2024 19:53:38.716",302.2473,60.0014,1,6,0,0,0,-0.08013916,3.87871,-0.310836561,1.07092E-07,0.00108149,4.16295E-07,0.004195772,,-0.00026631,,,,,,,26.28725093,-0.019847503
16,"	03/23/2024 19:53:48.717",312.2485,70.0026,1,6,0,0,0,-0.08234215,3.878657,-0.319376956,1.07092E-07,0.001307152,4.16295E-07,0.005071048,,6.20732E-05,,,,,,,26.34176,0.000985861
17,"	03/23/2024 19:53:58.718",322.2499,80.004,1,6,0,0,0,-0.08551025,3.877229,-0.331542821,1.07092E-07,0.001540742,4.16295E-07,0.005976982,,,,,,,,,26.36199549,9.85713E-09
