Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/24/2024 12:10:30.917",60.0001,60.0001,1,1,0,0,0,0,3.863248,0,0,0,0,0,,1.37494E-05,,,,0,0,0,25.7205,0.005771518
2,"	03/24/2024 12:11:30.918",120.0013,120.0013,1,1,0,0,0,0,3.86332,0,0,0,0,0,,-9.52165E-06,,,,,,,25.7205,0.005771518
3,"	03/24/2024 12:11:30.919",120.0022,120.0022,1,1,0,0,0,0,3.86332,0,0,0,0,0,,-9.52165E-06,0,0,0,,,,25.77972,-0.003772378
4,"	03/24/2024 12:11:32.994",122.0774,2.0376,1,2,0,0,0,0.000156403,3.700909,0.000578832,0,0,0,0,,3.183985949,0.323468387,0,0,,,,25.80037399,0.00645469
5,"	03/24/2024 12:12:33.035",182.1181,60.0015,1,3,0,0,0,0,3.863694,0,0,0,0,0,,-2.44961E-05,,,,,,,25.84929649,-0.000761735
6,"	03/24/2024 12:12:33.036",182.1196,60.003,1,3,0,0,0,0,3.86371,0,0,0,0,0,,-2.44961E-05,0.323468387,0,0,,,,25.84929758,-0.000761891
7,"	03/24/2024 12:12:33.082",182.166,0.0087,1,4,0,0,0,-0.09990597,3.831367,-0.382776437,0,2.13688E-07,0,8.18716E-07,,-0.002736157,0.323468387,0,0,,,,25.84933363,-0.000767058
8,"	03/24/2024 12:13:33.123",242.2069,60.0008,1,5,0,0,0,0,3.863325,0,0,2.5254E-07,0,9.67574E-07,,8.7322E-06,,,,,,,25.89599,-0.007452369
9,"	03/24/2024 12:13:33.125",242.2082,60.0021,1,5,0,0,0,0,3.863308,0,0,2.5254E-07,0,9.67574E-07,,8.7322E-06,0.323468387,0,0,,,,25.89599,-0.007432376
10,"	03/24/2024 12:13:33.673",242.7564,0.5089,1,6,0,0,0,-0.03460026,3.852625,-0.133301827,6.45743E-10,3.01072E-06,2.49489E-09,1.16055E-05,,-4.98245E-05,,6.92713E-05,,,,,25.89599,0.000998378
11,"	03/24/2024 12:13:36.283",245.3668,3.1193,1,6,0,0,0,-0.06017494,3.842151,-0.231201206,6.45743E-10,3.87442E-05,2.49489E-09,0.000149071,,-0.001678505,,0.002014825,3892.730957,,,,25.8856701,-0.003225642
12,"	03/24/2024 12:13:46.284",255.3671,13.1196,1,6,0,0,0,-0.07202816,3.840035,-0.276590655,6.45743E-10,0.000225681,2.49489E-09,0.000867143,,-0.000359524,,0.00988814,292.6982117,,,,25.89036174,0.009214158
13,"	03/24/2024 12:13:51.572",260.6559,18.4084,1,6,0,0,0,-0.0754137,3.826109,-0.288541036,6.45743E-10,0.000334017,2.49489E-09,0.001283039,,-0.004511673,,0.017830631,54.34671021,,,,25.93409646,0.004997929
14,"	03/24/2024 12:13:51.576",260.6598,18.4123,1,6,0,0,0,-0.07538509,3.837656,-0.289302043,6.45743E-10,0.000334017,2.49489E-09,0.001283039,,,,,,,,,25.93409132,0.004997924
15,"	03/24/2024 12:14:01.577",270.6608,28.4133,1,6,0,0,0,-0.08057022,3.835985,-0.309066155,6.45743E-10,0.000551324,2.49489E-09,0.002116897,,-0.000243668,,-0.000166785,-5995.757813,,,,25.92057,0.004985332
16,"	03/24/2024 12:14:11.577",280.6609,38.4134,1,6,0,0,0,-0.08521557,3.834687,-0.326775038,6.45743E-10,0.000782237,2.49489E-09,0.00300254,,-0.000217249,,0.063415848,,,,,25.9181,0.0112021
17,"	03/24/2024 12:14:21.578",290.6618,48.4143,1,6,0,0,0,-0.08943844,3.832702,-0.342790888,6.45743E-10,0.001025187,2.49489E-09,0.003933943,,-0.000197657,,,,,,,25.91174323,0.005757863
18,"	03/24/2024 12:14:31.579",300.6627,58.4152,1,6,0,0,0,-0.09375954,3.831387,-0.359229083,6.45743E-10,0.001279785,2.49489E-09,0.004909595,,-0.000154685,,,,,,,25.96065091,0.002465281
19,"	03/24/2024 12:14:41.580",310.6637,68.4162,1,6,0,0,0,-0.09820652,3.829668,-0.376098367,6.45743E-10,0.001546642,2.49489E-09,0.005931772,,-6.642E-05,,0.151240394,9.317581177,,,,26.00657417,0.025170218
20,"	03/24/2024 12:14:47.560",316.6437,74.3962,1,6,0,0,0,-0.1014204,3.815009,-0.386919739,6.45743E-10,0.001712711,2.49489E-09,0.006567644,,-0.026819279,,-0.000382416,,,,,25.9466887,-0.004060376
21,"	03/24/2024 12:14:47.567",316.6501,74.4026,1,6,0,0,0,-0.1018219,3.827663,-0.389739919,6.45743E-10,0.001712854,2.49489E-09,0.006568192,,,,,,,,,25.94667509,-0.004060519
22,"	03/24/2024 12:14:57.567",326.651,84.4035,1,6,0,0,0,-0.1069155,3.826664,-0.409129695,6.45743E-10,0.002002172,2.49489E-09,0.007675539,,-0.000289036,,-0.000201258,-4778.416016,,,,25.92507384,-0.004289148
23,"	03/24/2024 12:15:07.568",336.6519,94.4044,1,6,0,0,0,-0.112978,3.824242,-0.432055213,6.45743E-10,0.002307467,2.49489E-09,0.008843391,,-8.81292E-05,,0.094598852,,,,,25.9791,0.005673766
24,"	03/24/2024 12:15:17.569",346.6521,104.4046,1,6,0,0,0,-0.1192112,3.821701,-0.455589562,6.45743E-10,0.00263048,2.49489E-09,0.01007826,,-0.006199538,,,,,,,25.95432,-0.007283688
25,"	03/24/2024 12:15:27.569",356.653,114.4055,1,6,0,0,0,-0.1269083,3.819451,-0.484720033,6.45743E-10,0.002973152,2.49489E-09,0.0113874,,-0.000576559,,0.123737402,9.661650658,,,,25.93593,-0.01289368
26,"	03/24/2024 12:15:32.126",361.2091,118.9616,1,6,0,0,0,-0.1306,3.805237,-0.496963952,6.45743E-10,0.003136122,2.49489E-09,0.01200968,,-0.03279119,,,,,,,25.89294,-0.01343429
27,"	03/24/2024 12:15:32.132",361.2154,118.9679,1,6,0,0,0,-0.1306601,3.817164,-0.49875103,6.45743E-10,0.0031363,2.49489E-09,0.01201036,,,,,,,,,25.89292465,-0.013434541
28,"	03/24/2024 12:15:42.133",371.2163,128.9688,1,6,0,0,0,-0.1390448,3.814847,-0.530434638,6.45743E-10,0.003510852,2.49489E-09,0.01343973,,-0.000406633,,-0.000623334,-3503.430908,,,,25.86856,-0.01383305
29,"	03/24/2024 12:15:52.134",381.2172,138.9697,1,6,0,0,0,-0.1481085,3.811707,-0.564546206,6.45743E-10,0.003909675,2.49489E-09,0.01496045,,0.01101582,,0.103342302,,,,,25.87868,0.01167715
30,"	03/24/2024 12:16:02.134",391.2175,148.97,1,6,0,0,0,-0.1579447,3.808313,-0.601502854,6.45743E-10,0.004334814,2.49489E-09,0.01658006,,-0.0003374,,0.1132254,9.282105446,,,,25.83908311,0.004975267
31,"	03/24/2024 12:16:12.135",401.2183,158.9708,1,6,0,0,0,-0.1683741,3.804083,-0.640509051,6.45743E-10,0.004788182,2.49489E-09,0.01830553,,-0.000371199,,,,,,,25.83569,0.001926422
32,"	03/24/2024 12:16:16.860",405.9431,163.6956,1,6,0,0,0,-0.1739445,3.789648,-0.659188427,6.45743E-10,0.005012624,2.49489E-09,0.0191591,,-0.03318397,,0.121730402,,,,,25.82856,-0.002227426
33,"	03/24/2024 12:16:16.864",405.9478,163.7003,1,6,0,0,0,-0.1737547,3.801242,-0.660483663,6.45743E-10,0.005012895,2.49489E-09,0.01916012,,,,,,,,,25.82854661,-0.002220181
34,"	03/24/2024 12:16:26.865",415.9488,173.7013,1,6,0,0,0,-0.1855831,3.797279,-0.704710808,6.45743E-10,0.005511485,2.49489E-09,0.02105477,,-0.000191928,,0.080406271,-2550.935059,,,,25.80005,0.01319647
35,"	03/24/2024 12:16:36.866",425.9497,183.7022,1,6,0,0,0,-0.1977863,3.793606,-0.750323294,6.45743E-10,0.006043243,2.49489E-09,0.02307316,,-0.000513467,,0.105523497,10.56107044,,,,25.72066196,-0.006215974
36,"	03/24/2024 12:16:45.279",434.3625,192.115,1,6,0,0,0,-0.2090082,3.77977,-0.790002924,6.45743E-10,0.006517584,2.49489E-09,0.02487162,,-0.000665923,,,,,,,25.75900223,0.005985949
37,"	03/24/2024 12:16:45.308",434.3914,192.1439,1,6,0,0,0,-0.2087049,3.789909,-0.790972579,6.45743E-10,0.006519157,2.49489E-09,0.02487757,,,,,,,,,25.75893863,0.005985258
38,"	03/24/2024 12:16:55.309",444.3922,202.1447,1,6,0,0,0,-0.2224207,3.784805,-0.841818977,6.45743E-10,0.007117345,2.49489E-09,0.02714291,,-0.000367122,,0.077658571,-1626.807007,,,,25.73684524,0.005745294
39,"	03/24/2024 12:17:05.309",454.3925,212.145,1,6,0,0,0,-0.2366333,3.778828,-0.89419654,6.45743E-10,0.007754285,2.49489E-09,0.02955178,,-0.000490312,,0.092146002,10.96006966,,,,25.69630282,-0.003456381
40,"	03/24/2024 12:17:15.309",464.3927,222.1452,1,6,0,0,0,-0.2517357,3.774017,-0.950054811,6.45743E-10,0.008432059,2.49489E-09,0.03211144,,-0.000781831,,0.149625003,,,,,25.67418,-0.01435935
41,"	03/24/2024 12:17:25.310",474.3936,232.1461,1,6,0,0,0,-0.2678089,3.767512,-1.008973244,6.45743E-10,0.009152608,2.49489E-09,0.0348286,,-0.000751961,,0.135050997,7.923593044,,,,25.67149,-0.01144111
42,"	03/24/2024 12:17:30.349",479.4327,237.1852,1,6,0,0,0,-0.2757645,3.75404,-1.035230964,6.45743E-10,0.009532158,2.49489E-09,0.03625821,,-0.004484791,,,,,,,25.65745,-0.007924438
43,"	03/24/2024 12:17:30.354",479.4375,237.19,1,6,0,0,0,-0.2755814,3.764398,-1.037398071,6.45743E-10,0.009532663,2.49489E-09,0.03626011,,,,,,,,,25.65747855,-0.007915626
44,"	03/24/2024 12:17:40.354",489.4377,247.1902,1,6,0,0,0,-0.2924061,3.758936,-1.099135816,6.45743E-10,0.01032126,2.49489E-09,0.03922679,,-0.000664188,,0.088371217,-1446.776978,,,,25.71696,0.01044214
45,"	03/24/2024 12:17:50.355",499.4386,257.1911,1,6,0,0,0,-0.3099909,3.752975,-1.163388098,6.45743E-10,0.01115776,2.49489E-09,0.04236842,,-0.000798793,,0.118517898,9.67540741,,,,25.61444385,-0.011382481
46,"	03/24/2024 12:18:00.355",509.4387,267.1912,1,6,0,0,0,-0.3288612,3.745752,-1.231832498,6.45743E-10,0.01204413,2.49489E-09,0.04569146,,-0.000686819,,0.149462,7.685342789,,,,25.6319,-0.007754564
47,"	03/24/2024 12:18:10.356",519.4396,277.1921,1,6,0,0,0,-0.3471107,3.738876,-1.297803866,6.45743E-10,0.01298165,2.49489E-09,0.04919986,,-0.000433155,,0.116648801,,,,,25.58272,-0.003468394
48,"	03/24/2024 12:18:20.357",529.4404,287.1929,1,6,0,0,0,-0.366806,3.731572,-1.368762999,6.45743E-10,0.01397364,2.49489E-09,0.05290503,,-0.001473158,,0.155566201,7.323324203,,,,25.6131665,0.008675931
49,"	03/24/2024 12:18:29.570",538.6534,296.4059,1,6,0,0,0,-0.3391132,3.741727,-1.268869016,6.45743E-10,0.01491242,2.49489E-09,0.05640751,,0.002061619,,-0.017969569,,,,,25.59103799,-0.000998869
50,"	03/24/2024 12:18:39.571",548.6543,306.4068,1,6,0,0,0,-0.3347139,3.740973,-1.252155663,6.45743E-10,0.01584297,2.49489E-09,0.05988868,,0.000540414,,-0.073173128,,,,,25.57677283,0.000760538
51,"	03/24/2024 12:18:49.571",558.6545,316.407,1,6,0,0,0,-0.3472071,3.736018,-1.297171975,6.45743E-10,0.01678485,2.49489E-09,0.06341035,,-0.001479615,,0.238565594,,,,,25.62449,0.008225441
52,"	03/24/2024 12:18:59.571",568.6545,326.407,1,6,0,0,0,-0.3544607,3.733221,-1.323280129,6.45743E-10,0.01775936,2.49489E-09,0.06704973,,-0.000200024,,0.166125804,,,,,25.56571,-0.02013028
