Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/24/2024 12:10:57.590",60.0002,60.0001,1,1,0,0,0,0,3.882144,0,0,0,0,0,,1.23665E-05,,,,0,0,0,25.35086,-0.01160562
2,"	03/24/2024 12:11:57.591",120.0008,120.0007,1,1,0,0,0,0,3.882199,0,0,0,0,0,,1.75831E-05,,,,,,,25.35626,-0.0129199
3,"	03/24/2024 12:11:57.592",120.0021,120.002,1,1,0,0,0,0,3.882199,0,0,0,0,0,,1.75831E-05,0,0,0,,,,25.35631098,-0.012895857
4,"	03/24/2024 12:11:59.662",122.0713,2.0298,1,2,0,0,0,-0.00017786,3.814705,-0.000678485,0,0,0,0,,1.302242994,0.134969503,0,0,,,,25.43745,0.02537251
5,"	03/24/2024 12:12:59.703",182.1126,60.0006,1,3,0,0,0,0,3.882297,0,0,0,0,0,,2.98732E-05,,,,,,,25.50534,0.008841157
6,"	03/24/2024 12:12:59.704",182.114,60.002,1,3,0,0,0,0,3.882282,0,0,0,0,0,,2.98732E-05,0.134969503,0,0,,,,25.50534094,0.008840661
7,"	03/24/2024 12:12:59.751",182.1605,0.0079,1,4,0,0,0,-0.09988827,3.868872,-0.386454931,0,1.94193E-07,0,7.51647E-07,,-0.001127614,0.134969503,0,0,,,,25.50537217,0.008824194
8,"	03/24/2024 12:13:59.791",242.2006,60.0009,1,5,0,0,0,0,3.882257,0,0,2.30264E-07,0,8.912E-07,,-6.00541E-06,,,,,,,25.54570191,-0.012437666
9,"	03/24/2024 12:13:59.792",242.202,60.0023,1,5,0,0,0,0,3.882346,0,0,2.30264E-07,0,8.912E-07,,-6.00541E-06,0.134969503,0,0,,,,25.54570191,-0.012437666
10,"	03/24/2024 12:13:59.843",242.2526,0.0114,1,6,0,0,0,-1.126531,3.729531,-4.201432287,1.33514E-11,2.33854E-07,5.18386E-11,9.05132E-07,,-0.013033,,,,,,,25.5457,-0.0124377
11,"	03/24/2024 12:14:00.336",242.7462,0.505,1,6,0,0,0,-0.7176647,3.783537,-2.715310946,1.33514E-11,0.000154507,5.18386E-11,0.000576117,,0.109411702,,0.000181596,5506.717773,,,,25.5457,-0.0124377
12,"	03/24/2024 12:14:00.835",243.2447,1.0035,1,6,0,0,0,-0.4546185,3.818515,-1.735967562,1.33514E-11,0.000253826,5.18386E-11,0.0009519,,,,,,,,,25.5457,-0.0124377
13,"	03/24/2024 12:14:01.339",243.7486,1.5074,1,6,0,0,0,-0.2838001,3.842198,-1.090416177,1.33514E-11,0.000317245,5.18386E-11,0.001194119,,0.04700049,,-0.002827242,-353.7015991,,,,25.58307,0.01167595
14,"	03/24/2024 12:14:01.837",244.2463,2.0051,1,6,0,0,0,-0.1765604,3.856767,-0.680952324,1.33514E-11,0.000356565,5.18386E-11,0.001345199,,,,,,,,,25.58307,0.01167595
15,"	03/24/2024 12:14:02.476",244.8861,2.6449,1,6,0,0,0,-0.1072388,3.867484,-0.414744343,1.33514E-11,0.000385084,5.18386E-11,0.001455232,,0.004506439,,-0.002629335,-375.3197937,,,,25.58307,0.01167595
16,"	03/24/2024 12:14:03.836",246.2455,4.0043,1,6,0,0,0,-0.02517033,3.877615,-0.097600849,1.33514E-11,0.000409787,5.18386E-11,0.001550845,,0.003962266,,-0.002453408,-373.2705994,,,,25.55356624,0.011675954
17,"	03/24/2024 12:14:13.837",256.2468,14.0056,1,6,0,0,0,-0.02243233,3.878462,-0.087002939,1.33514E-11,0.000437409,5.18386E-11,0.001658,,-0.000200028,,-0.002534146,-413.3494873,,,,25.55846782,0.010915406
18,"	03/24/2024 12:14:23.838",266.2473,24.0061,1,6,0,0,0,-0.0474596,3.874866,-0.18389959,1.33514E-11,0.000538311,5.18386E-11,0.002049138,,-0.000392411,,,,,,,25.59562,0.02005875
19,"	03/24/2024 12:14:33.838",276.2481,34.0069,1,6,0,0,0,-0.06478977,3.872586,-0.250903956,1.33514E-11,0.000695698,5.18386E-11,0.002658793,,-0.00033788,,0.034176361,,,,,25.51595958,-0.011217877
20,"	03/24/2024 12:14:43.839",286.2491,44.0079,1,6,0,0,0,-0.07675076,3.87122,-0.297119077,1.33514E-11,0.000891486,5.18386E-11,0.003416797,,-0.000251089,,,,,,,25.57228,-0.001293421
21,"	03/24/2024 12:14:53.840",296.2501,54.0089,1,6,0,0,0,-0.08528137,3.868762,-0.329933324,1.33514E-11,0.001114981,5.18386E-11,0.00428172,,0.003136509,,0.103019103,15.65474987,,,,25.48718728,-0.01291621
22,"	03/24/2024 12:15:03.842",306.2514,64.0102,1,6,0,0,0,-0.09245014,3.868293,-0.357624229,1.33514E-11,0.001360314,5.18386E-11,0.005230836,,-0.000229575,,,,,,,25.52361452,0.019665631
23,"	03/24/2024 12:15:13.842",316.2519,74.0107,1,6,0,0,0,-0.09857941,3.867123,-0.381218704,1.33514E-11,0.001624807,5.18386E-11,0.006253773,,-0.000129717,,,,,,,25.51891522,0.005760332
24,"	03/24/2024 12:15:23.843",326.2526,84.0114,1,6,0,0,0,-0.1053162,3.865799,-0.407131261,1.33514E-11,0.001907394,5.18386E-11,0.007346366,,2.24429E-05,,,,,,,25.48281706,-0.008686636
25,"	03/24/2024 12:15:33.844",336.2537,94.0125,1,6,0,0,0,-0.1117229,3.863955,-0.431692258,1.33514E-11,0.002208305,5.18386E-11,0.008509465,,-0.000147153,,,,,,,25.49068252,0.019895149
