Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/22/2024 23:50:50.252",60.0016,60.0016,1,1,0,0,0,0,3.88107,0,0,0,0,0,,1.10641E-06,,,,0,0,0,25.6646,0.004276037
2,"	03/22/2024 23:51:50.251",120.0005,120.0005,1,1,0,0,0,0,3.881262,0,0,0,0,0,,-1.4816E-05,,,,,,,25.62747,-0.004272461
3,"	03/22/2024 23:51:50.252",120.002,120.002,1,1,0,0,0,0,3.881262,0,0,0,0,0,,-1.4816E-05,0,0,0,,,,25.6274723,-0.00426866
4,"	03/22/2024 23:51:52.330",122.0804,2.0399,1,2,0,0,0,-0.000412464,3.810688,-0.001571772,0,0,0,0,,1.327463031,0.140878901,0,0,,,,25.63066,0.000997782
5,"	03/22/2024 23:52:52.371",182.1205,60.0008,1,3,0,0,0,0,3.881446,0,0,0,0,0,,2.05065E-05,,,,,,,25.49764655,-0.000755784
6,"	03/22/2024 23:52:52.372",182.122,60.0023,1,3,0,0,0,0,3.881446,0,0,0,0,0,,2.05065E-05,0.140878901,0,0,,,,25.49764341,-0.000755574
7,"	03/22/2024 23:52:52.416",182.1661,0.0083,1,4,0,0,0,-0.09990871,3.867435,-0.386390442,0,2.02593E-07,0,7.83514E-07,,-0.001181169,0.140878901,0,0,,,,25.49754437,-0.000748947
8,"	03/22/2024 23:53:52.459",242.2092,60.0016,1,5,0,0,0,0,3.881259,0,0,2.41446E-07,0,9.33777E-07,,-5.01834E-06,,,,,,,25.3627,0.008273125
9,"	03/22/2024 23:53:52.461",242.2108,60.0032,1,5,0,0,0,0,3.881259,0,0,2.41446E-07,0,9.33777E-07,,-5.01834E-06,0.140878901,0,0,,,,25.3627,0.008273125
10,"	03/22/2024 23:53:52.510",242.2596,0.0113,1,6,0,0,0,-1.123938,3.722193,-4.183514156,4.92467E-10,2.41446E-07,1.91101E-09,9.33777E-07,,-0.01357072,,,,,,,25.36269951,0.008273125
11,"	03/22/2024 23:53:53.002",242.7517,0.5034,1,6,0,0,0,-0.7241735,3.777061,-2.735247484,4.92467E-10,0.000154555,1.91101E-09,0.000575106,,-0.005679002,,0.000174937,5716.336914,,,,25.3627,0.008273125
12,"	03/22/2024 23:53:53.506",243.2556,1.0073,1,6,0,0,0,-0.4484997,3.816217,-1.71157218,4.92467E-10,0.000254341,1.91101E-09,0.000952178,,,,,,,,,25.31258433,0.008273125
13,"	03/22/2024 23:53:54.004",243.754,1.5057,1,6,0,0,0,-0.2792807,3.840337,-1.072532006,4.92467E-10,0.000316492,1.91101E-09,0.001189362,,0.04840333,,-0.002548419,-392.4002075,,,,25.31257,-0.0156641
14,"	03/22/2024 23:53:54.502",244.2524,2.0041,1,6,0,0,0,-0.1715288,3.855661,-0.661356905,4.92467E-10,0.000355077,1.91101E-09,0.001337542,,,,,,,,,25.31257439,-0.015664101
15,"	03/22/2024 23:53:55.012",244.762,2.5137,1,6,0,0,0,-0.1012259,3.865679,-0.391306836,4.92467E-10,0.000378993,1.91101E-09,0.001429762,,0.019661229,,-0.003472137,-397.1629028,,,,25.31257,-0.0156641
16,"	03/22/2024 23:53:56.014",245.7644,3.5161,1,6,0,0,0,-0.03025818,3.876357,-0.117291508,4.92467E-10,0.00040089,1.91101E-09,0.001514457,,0.004136893,,-0.001739044,-418.8469849,,,,25.30859987,-0.001243599
17,"	03/22/2024 23:54:06.014",255.7644,13.5161,1,6,0,0,0,-0.01434422,3.878747,-0.0556376,4.95766E-06,0.000415551,1.92415E-05,0.001571317,,0.002768149,,-0.00116925,-487.6730957,,,,25.28797552,0.007221614
18,"	03/22/2024 23:54:16.015",265.7654,23.5171,1,6,0,0,0,-0.03889751,3.874539,-0.150709919,4.95766E-06,0.000490491,1.92415E-05,0.001861826,,-0.000175554,,0.008383886,,,,,25.25716,-0.007211566
19,"	03/22/2024 23:54:26.017",275.7665,33.5182,1,6,0,0,0,-0.05479908,3.872734,-0.21222226,4.95766E-06,0.000621417,1.92415E-05,0.002369009,,-0.000333339,,0.03058954,,,,,25.23255,0.01019895
20,"	03/22/2024 23:54:36.017",285.7665,43.5182,1,6,0,0,0,-0.06568432,3.870758,-0.254248107,4.95766E-06,0.000789465,1.92415E-05,0.003019649,,-0.000151412,,,,,,,25.18336727,-0.00247287
21,"	03/22/2024 23:54:46.017",295.7674,53.5191,1,6,0,0,0,-0.07371998,3.869668,-0.285271848,4.95766E-06,0.000983956,1.92415E-05,0.003772371,,-0.000165982,,,,,,,25.17956,0.005035996
