Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,"	03/23/2024 11:56:24.318",60.0001,60.0001,1,1,0,0,0,0,3.859437,0,0,0,0,0,,-2.30751E-05,,,,0,0,0,25.4916,0.01043797
2,"	03/23/2024 11:57:24.318",120.0007,120.0007,1,1,0,0,0,0,3.85951,0,0,0,0,0,,-8.69326E-07,,,,,,,25.4916,0.01043797
3,"	03/23/2024 11:57:24.320",120.0023,120.0023,1,1,0,0,0,0,3.85951,0,0,0,0,0,,-8.69326E-07,0,0,0,,,,25.50694,-0.01965404
4,"	03/23/2024 11:57:26.396",122.0784,2.0377,1,2,0,0,0,-0.000102043,3.678479,-0.000375364,0,0,0,0,,3.380861044,0.360132188,0,0,,,,25.50694,-0.01965404
5,"	03/23/2024 11:58:26.438",182.1205,60.0006,1,3,0,0,0,0,3.85956,0,0,0,0,0,,-1.28415E-05,,,,,,,25.72629129,0.018166241
6,"	03/23/2024 11:58:26.440",182.1222,60.0023,1,3,0,0,0,0,3.85956,0,0,0,0,0,,-1.28415E-05,0.360132188,0,0,,,,25.72629313,0.018166021
7,"	03/23/2024 11:58:26.483",182.1652,0.0048,1,4,0,0,0,-0.09986264,3.824088,-0.381883523,0,1.05411E-07,0,4.03099E-07,,-0.003023698,0.360132188,0,0,,,,25.72634241,0.01816011
8,"	03/23/2024 11:59:26.523",242.2053,60.0001,1,5,0,0,0,0,3.859569,0,0,1.44246E-07,0,5.51609E-07,,-2.54849E-05,,,,,,,25.79516399,0.009907498
9,"	03/23/2024 11:59:26.524",242.2069,60.0017,1,5,0,0,0,0,3.859569,0,0,1.44246E-07,0,5.51609E-07,,-2.54849E-05,0.360132188,0,0,,,,25.79516399,0.009838027
10,"	03/23/2024 11:59:27.068",242.7509,0.5066,1,6,0,0,0,-0.03416157,3.847233,-0.131427519,6.62274E-10,2.96325E-06,2.5561E-09,1.14105E-05,,-1.41464E-05,,5.99971E-05,,,,,25.79516411,-0.015356678
11,"	03/23/2024 11:59:29.068",244.7509,2.5066,1,6,0,0,0,-0.05999851,3.837112,-0.230221003,6.62274E-10,2.96607E-05,2.5561E-09,0.000113974,,-0.004223322,,0.001851038,4300.429199,,,,25.84506,0.01559317
12,"	03/23/2024 11:59:34.607",250.2895,8.0452,1,6,0,0,0,-0.07044125,3.821858,-0.269216455,6.62274E-10,0.000131622,2.5561E-09,0.000505031,,-0.004098129,,-0.000365801,378.3460083,,,,25.8521918,0.002228263
