Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
1,	06/23/2024 17:34:41.103,60.0007,60.0007,1,1,0,0,0,0,0,0,0,0,0,3.885954,0,0,0,0,0,,0.0000350473201251589,,,,0,0,0,23.67091,-0.01521826
2,	06/23/2024 17:35:41.102,120.0005,120.0005,1,1,0,0,0,0,0,0,0,0,0,3.885897,0,0,0,0,0,,-0.0000346894084941596,,,,,,,23.71314,0.002106428
3,	06/23/2024 17:35:41.103,120.0013,120.0013,1,1,0,0,0,0,0,0,0,0,0,3.885897,0,0,0,0,0,,-0.0000346894084941596,0,0,0,,,,23.7131445954221,0.00210704487359673
4,	06/23/2024 17:35:43.160,122.0582,2.0233,1,2,0,0,0,0,0,0,0,0,0.0002274513,3.842578,0.0008739993614514,0,0,0,0,,0.840662002563477,0.0854661166667938,0,0,,,,23.72496,0.003693104
5,	06/23/2024 17:36:43.198,182.0956,60,1,3,0,0,0,0,0,0,0,0,0,3.886065,0,0,0,0,0,,0.00000592677997701685,,,,,,,23.588897931707,0.00088930597013452
6,	06/23/2024 17:37:43.198,242.0964,120.0008,1,3,0,0,0,0,0,0,0,0,0,3.885821,0,0,0,0,0,,-0.00000762534909881651,,,,,,,23.56881,-0.01465678
7,	06/23/2024 17:38:43.198,302.0962,180.0006,1,3,0,0,0,0,0,0,0,0,0,3.885839,0,0,0,0,0,,-0.0000185696608241415,,0,0,,,,23.5408840644877,-0.0115394644240589
8,	06/23/2024 17:39:43.198,362.096,240.0004,1,3,0,0,0,0,0,0,0,0,0,3.885722,0,0,0,0,0,,-0.0000273817295237677,,,,,,,23.58706,-0.006278157
9,	06/23/2024 17:39:43.199,362.0975,240.0019,1,3,0,0,0,0,0,0,0,0,0,3.885722,0,0,0,0,0,,-0.0000273817295237677,0.0854661166667938,0,0,,,,23.587062627282,-0.00627769000301103
10,	06/23/2024 17:39:43.238,362.1359,0.0038,1,4,0,0,0,0,0,0,0,0,-0.09985423,3.877515,-0.38718627463845,0,0,0,0,,-0.0000273817295237677,0.0854661166667938,0,0,,,,23.5871298857009,-0.00626573488009328
11,	06/23/2024 17:40:43.277,422.1751,60.0015,1,5,0,0,0,0,0,0,0,0,0,3.885769,0,0,0.0000001164966,0,0.0000004517171,,-0.0000256417206401238,,,,,,,23.6922910846114,0.0124263452096469
12,	06/23/2024 17:41:43.276,482.1741,120.0005,1,5,0,0,0,0,0,0,0,0,0,3.885966,0,0,0.0000001164966,0,0.0000004517171,,0.0000169913691934198,,,,,,,23.77125,-0.003809333
13,	06/23/2024 17:42:43.276,542.174,180.0004,1,5,0,0,0,0,0,0,0,0,0,3.886004,0,0,0.0000001164966,0,0.0000004517171,,0.0000030422370400629,,0,0,,,,23.8671396564678,0.0067096773306526
14,	06/23/2024 17:43:43.276,602.174,240.0004,1,5,0,0,0,0,0,0,0,0,0,3.885955,0,0,0.0000001164966,0,0.0000004517171,,0.0000197177305381047,,,,,,,23.8628082347587,-0.0045794060428935
15,	06/23/2024 17:43:43.278,602.1756,240.002,1,5,0,0,0,0,0,0,0,0,0,3.885955,0,0,0.0000001164966,0,0.0000004517171,,0.0000197177305381047,0.0854661166667938,0,0,,,,23.8628082347587,-0.0045794060428935
16,	06/23/2024 17:43:43.323,602.2212,0.0097,1,6,0,0,0,0,0,0,0,0,-1.323993,3.77295,-4.99535938935,0,0.0000001698445,0,0.0000006587089,,-0.0119803296402097,,,,,,,23.8628082347587,-0.0045794060428935
17,	06/23/2024 17:43:43.816,602.7141,0.5026,1,6,0,0,0,0,0,0,0,0,-0.6853275,3.824503,-2.6210370797325,0,0.0001816452,0,0.0006851162,,,,,,,,,23.86281,-0.004579425
18,	06/23/2024 17:43:44.315,603.2133,1.0018,1,6,0,0,0,0,0,0,0,0,-0.4753246,3.844455,-1.827364035093,0,0.0002759504,0,0.001045909,,0.0460256710648537,,-0.00281918793916702,-354.712097167969,,,,23.8628082278941,-0.00457942485812168
19,	06/23/2024 17:43:44.360,603.2581,1.0466,1,6,0,0,0,0,0,0,0,0,-0.3456564,3.854567,-1.3323557527788,0,0.0002804654,0,0.001063301,,,,,,,,,23.8628082278941,-0.00457942485812168
20,	06/23/2024 17:43:44.818,603.7164,1.5049,1,6,0,0,0,0,0,0,0,0,-0.1708775,3.869471,-0.6612055308025,0,0.0003246172,0,0.001233489,,,,,,,,,23.8628082278914,-0.00457942485812147
21,	06/23/2024 17:43:45.821,604.7189,2.5074,1,6,0,0,0,0,0,0,0,0,-0.03473568,3.881785,-0.1348364415888,0,0.0003592884,0,0.001367745,,0.00439400598406792,,-0.00321604195050895,-373.082305908203,,,,23.8939673812237,0.0097367786706987
22,	06/23/2024 17:43:55.821,614.7189,12.5074,1,6,0,0,0,0,0,0,0,0,-0.01738262,3.883791,-0.06751046311242,0.000005043834,0.0003775004,0.00001959761,0.001438472,,-0.000331268907757476,,-0.00221652002073824,-355.187286376953,,,,23.9067858368062,0.00100859788656371
23,	06/23/2024 17:44:05.821,624.719,22.5075,1,6,0,0,0,0,0,0,0,0,-0.0429945,3.881822,-0.166896995979,0.000005043834,0.0004629563,0.00001959761,0.001770245,,-0.0000924475825740956,,,,,,,23.8878461824802,-0.00223692986401177
24,	06/23/2024 17:44:15.822,634.72,32.5085,1,6,0,0,0,0,0,0,0,0,-0.0592041,3.879992,-0.2297114343672,0.000005043834,0.0006060377,0.00001959761,0.002325483,,-0.000204833995667286,,,,,,,23.91325,-0.006926656
25,	06/23/2024 17:44:25.823,644.7209,42.5094,1,6,0,0,0,0,0,0,0,0,-0.07178497,3.878615,-0.27842626141655,0.000005043834,0.0007879926,0.00001959761,0.003031316,,-0.000154675100930035,,,,,,,23.9576163624066,0.00156990138545615
26,	06/23/2024 17:44:35.823,654.721,52.5095,1,6,0,0,0,0,0,0,0,0,-0.07987213,3.877993,-0.30974356103509,0.000005043834,0.000997983,0.00001959761,0.003845666,,-0.0000193990399566246,,0.0852531790733337,,,,,23.9722383944655,-0.00223513612785587
