time(s),current(A)
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0
5.5,0
6,0
6.5,0
7,0
7.5,0
8,0
8.5,0
9,0
9.5,0
10,0
10.5,0
11,0
11.5,0
12,0
12.5,0
13,0
13.5,0
14,0
14.5,0
15,0
15.5,0
16,0
16.5,0
17,0
17.5,0
18,0
18.5,0
19,0
19.5,0
20,0
20,1.02E-13
20,2.63E-13
20,1.76E-07
20,1.76E-07
20,1.77E-07
20,1.78E-07
20,1.83E-07
20,1.99E-07
20,2.55E-07
20,4.67E-07
20,1.25E-06
20,4.00E-06
20,1.31E-05
20,4.19E-05
20,0.00013487
20.001,0.00045539
20.001,0.0016277
20.002,0.0060516
20.003,0.01572
20.005,0.029695
20.006,0.047792
20.007,0.069831
20.009,0.095641
20.01,0.12506
20.011,0.15793
20.013,0.19409
20.014,0.23341
20.015,0.27575
20.016,0.32098
20.018,0.36896
20.019,0.43492
20.021,0.50505
20.023,0.59746
20.025,0.6955
20.028,0.82334
20.031,0.95843
20.034,1.1365
20.037,1.3239
20.041,1.5741
20.046,1.8905
20.051,2.2208
20.057,2.657
20.065,3.2178
20.073,3.7954
20.083,4.5306
20.093,5.2778
20.102,6.0319
20.112,6.7892
20.122,7.547
20.132,8.3035
20.141,9.0572
20.154,10.013
20.166,10.961
20.181,12.095
20.196,13.215
20.211,14.323
20.231,15.718
20.25,17.09
20.273,18.732
20.296,20.341
20.325,22.24
20.353,24.095
20.387,26.293
20.421,28.429
20.463,30.973
20.5,33.102
20.55,35.909
20.612,39.219
20.673,42.361
20.748,45.976
20.824,49.369
20.922,53.482
21,56.538
21.122,60.704
21.245,64.363
21.367,67.665
21.5,70.895
21.707,75.314
21.965,79.897
22,80.436
22.112,81.678
22.224,82.625
22.336,83.485
22.448,84.299
22.5,84.664
22.769,86.348
23,87.582
23.127,88.678
23.255,89.897
23.382,91.02
23.5,91.956
23.791,93.986
24,95.227
24.281,96.085
24.5,96.566
24.719,97.055
25,97.67
25.137,97.427
25.274,97.015
25.411,96.672
25.5,96.5
25.749,96.137
26,95.927
26.022,95.486
26.045,94.615
26.079,92.87
26.113,90.914
26.147,88.947
26.181,87.033
26.238,83.96
26.391,76.417
26.5,71.609
26.67,65.001
26.874,58.228
27,54.649
27.048,53.639
27.097,52.873
27.162,51.984
27.228,51.164
27.293,50.382
27.408,49.103
27.5,48.176
27.849,45.242
28,44.257
28.019,44.407
28.038,44.842
28.069,45.884
28.1,47.128
28.131,48.414
28.162,49.683
28.205,51.425
28.29,54.636
28.5,61.676
28.766,69.028
29,74.294
29.027,74.412
29.054,74.12
29.089,73.422
29.125,72.593
29.161,71.758
29.205,70.75
29.282,69.12
29.5,65.02
29.777,60.849
30,58.188
30.06,57.299
30.12,56.27
30.196,54.974
30.272,53.761
30.368,52.366
30.5,50.619
30.72,48.127
31,45.581
31.036,45.055
31.072,44.327
31.117,43.306
31.162,42.281
31.207,41.295
31.274,39.918
31.5,35.789
31.726,32.394
31.952,29.603
32,29.079
32.027,28.66
32.054,28.122
32.096,27.188
32.139,26.227
32.181,25.292
32.223,24.393
32.307,22.697
32.463,19.847
32.5,19.23
32.599,17.654
32.824,14.529
33,12.457
33.029,12.092
33.057,11.681
33.099,11.05
33.141,10.42
33.182,9.8075
33.233,9.0917
33.331,7.7898
33.477,6.0375
33.5,5.7854
33.566,5.0724
33.724,3.5154
33.835,2.5255
33.947,1.6193
34,1.2165
34.07,0.70597
34.126,0.32374
34.164,0.06859
34.175,2.95E-12
34.175,-1.13E-14
34.178,-0.021092
34.181,-0.042132
34.186,-0.074613
34.191,-0.10701
34.199,-0.1554
34.217,-0.27165
34.252,-0.4879
34.329,-0.94856
34.46,-1.6719
34.5,-1.8777
34.588,-2.3108
34.74,-3.0034
