,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,TC_Counter5,TC_Counter6,TC_Counter7,TC_Counter8,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,137,	06/23/2024 18:00:41.181,1633.3734,10.0011,1,10,0,0,0,0,0,0,0,0,-0.06705856,3.853059,-0.25838058813504,5.554086e-06,0.0635433,2.156717e-05,0.2442463,,-0.00044075230835,,,,,,,24.8514440841209,0.0111608341165642
1,138,	06/23/2024 18:00:51.182,1643.3741,20.0018,1,10,0,0,0,0,0,0,0,0,-0.08883381,3.850566,-0.34206044843646,5.554086e-06,0.06378833,2.156717e-05,0.2451899,,-0.0005412899772636,,0.0041257720440626,,,,,24.9000220209228,0.0199895214381052
2,139,	06/23/2024 18:01:01.182,1653.3745,30.0022,1,10,0,0,0,0,0,0,0,0,-0.08788109,3.85036,-0.3383738336924,5.554086e-06,0.06403275,2.156717e-05,0.246131,,-4.23965902882e-05,,,,,,,24.9228685001595,-0.0007806131505569
3,140,	06/23/2024 18:01:11.183,1663.3754,40.0031,1,10,0,0,0,0,0,0,0,0,-0.08801174,3.849884,-0.33883498963816,5.554086e-06,0.06427708,2.156717e-05,0.2470717,,-6.6257562139e-05,,,,,,,24.84753,-0.01151562
4,141,	06/23/2024 18:01:21.184,1673.3763,50.004,1,10,0,0,0,0,0,0,0,0,-0.08988094,3.849658,-0.34601087971852,5.554086e-06,0.06452493,2.156717e-05,0.2480258,,6.97785435477e-05,,,13.1646604537964,,,,24.8507499372859,0.005125833051129
5,142,	06/23/2024 18:01:31.184,1683.3764,60.0041,1,10,0,0,0,0,0,0,0,0,-0.09304619,3.849204,-0.35815376673276,5.554086e-06,0.06477904,2.156717e-05,0.249004,,,,,,,,,24.8647192511766,-0.0087998904957437
6,143,	06/23/2024 18:01:41.184,1693.3766,70.0043,1,10,0,0,0,0,0,0,0,0,-0.09636593,3.848662,-0.37087989288566,5.554086e-06,0.06504175,2.156717e-05,0.2500151,,-5.3301511798e-05,,,,,,,24.80789,-0.01058877
7,144,	06/23/2024 18:01:51.184,1703.3767,80.0044,1,10,0,0,0,0,0,0,0,0,-0.1009836,3.84761,-0.388545509196,5.554086e-06,0.06531556,2.156717e-05,0.2510688,,-8.0609563156e-05,,,,,,,24.90407,0.02367437
8,145,	06/23/2024 18:02:01.185,1713.3776,90.0053,1,10,0,0,0,0,0,0,0,0,-0.1059694,3.847347,-0.4077010531818,5.554086e-06,0.06560267,2.156717e-05,0.2521736,,-7.29000021237e-05,,0.342370092868805,,,,,24.90116,-0.0007808208
9,146,	06/23/2024 18:02:01.903,1714.096,90.7237,1,10,0,0,0,0,0,0,0,0,-0.1062927,3.834725,-0.4076032740075,5.554086e-06,0.06562381,2.156717e-05,0.2522549,,,,,,,,,24.93011,-0.0007808208
10,147,	06/23/2024 18:02:01.910,1714.1024,90.7301,1,10,0,0,0,0,0,0,0,0,-0.1061449,3.84675,-0.408312894075,5.554086e-06,0.06562396,2.156717e-05,0.2522555,,,,,,,,,24.9300960517822,-0.0007826085881626
11,148,	06/23/2024 18:02:11.911,1724.1033,100.731,1,10,0,0,0,0,0,0,0,0,-0.1123428,3.846681,-0.4321469142468,5.554086e-06,0.0659273,2.156717e-05,0.2534224,,0.118340201675892,,-0.0002487346064299,-4020.34912109375,,,,24.9083,-0.003576279
