,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/14/2024 14:04:00.878,251.747,9.5139,1,6,0,0,0,-0.0422411,3.878416,-0.163828558,1.39856e-07,2.97999e-06,5.43913e-07,1.1573e-05,,-0.001186866,,,,,,,24.16617,-0.003910661
1,11,	03/14/2024 14:04:02.870,253.7391,11.506,1,6,0,0,0,-0.078825,3.868266,-0.304916067,1.39856e-07,3.66977e-05,5.43913e-07,0.000142159,,-0.00449811,,0.00172885,578.4193115,,,,24.18297,0.005250573
2,12,	03/14/2024 14:04:05.558,256.4272,14.1941,1,6,0,0,0,-0.08508587,3.856805,-0.328159609,1.39856e-07,9.82684e-05,5.43913e-07,0.000380309,,-0.004496362,,0.007665681,,,,,24.21340066,0.009510359
3,13,	03/14/2024 14:04:05.582,256.4512,14.2181,1,6,0,0,0,-0.08480549,3.867273,-0.327965982,1.39856e-07,9.89283e-05,5.43913e-07,0.00038286,,,,,,,,,24.21335627,0.009509525
4,14,	03/14/2024 14:04:15.583,266.4522,24.2191,1,6,0,0,0,-0.08296108,3.86739,-0.320842851,1.39856e-07,0.000332364,5.43913e-07,0.001285596,,0.001669965,,-0.000207736,-4813.795898,,,,24.19478,0.009160638
5,15,	03/14/2024 14:04:25.584,276.453,34.2199,1,6,0,0,0,-0.08250046,3.866588,-0.318995289,1.39856e-07,0.000561646,5.43913e-07,0.002172265,,-3.29927e-05,,,,,,,24.13074176,-0.006706556
6,16,	03/14/2024 14:04:35.585,286.4538,44.2207,1,6,0,0,0,-0.08294678,3.866759,-0.320735208,1.39856e-07,0.000790994,5.43913e-07,0.00305912,,-0.000112613,,,,,,,24.17581704,0.015772356
7,17,	03/14/2024 14:04:45.586,296.4547,54.2216,1,6,0,0,0,-0.08492088,3.865974,-0.328301914,1.39856e-07,0.001023597,5.43913e-07,0.003958426,,-6.01806e-05,,,,,,,24.22305251,0.007836302
8,18,	03/14/2024 14:04:55.587,306.4559,64.2228,1,6,0,0,0,-0.08735847,3.865086,-0.337647999,1.39856e-07,0.00126206,5.43913e-07,0.004880209,,-6.40066e-05,,,,,,,24.20804802,0.00257855
9,19,	03/14/2024 14:05:05.589,316.4574,74.2243,1,6,0,0,0,-0.09026146,3.863779,-0.348750334,1.39856e-07,0.001508614,5.43913e-07,0.005833025,,-0.000150475,,0.258406699,,,,,24.19121,0.003679991
10,20,	03/14/2024 14:05:15.590,326.4584,84.2253,1,6,0,0,0,-0.09455013,3.862756,-0.365224082,1.39856e-07,0.001765218,5.43913e-07,0.006824379,,-2.98735e-05,,,,,,,24.25777,0.01575887
11,21,	03/14/2024 14:05:25.590,336.4585,94.2254,1,6,0,0,0,-0.0988512,3.861091,-0.381673479,1.39856e-07,0.002033659,5.43913e-07,0.007861095,,-0.000162456,,-0.000482559,6.302855015,,,,24.33966,0.01966417
12,22,	03/14/2024 14:05:35.590,346.4585,104.2254,1,6,0,0,0,-0.104085,3.859759,-0.401743016,1.39856e-07,0.002315774,5.43913e-07,0.008950205,,-0.000154067,,,,,,,24.33574,0.004365444
13,23,	03/14/2024 14:05:45.590,356.4587,114.2256,1,6,0,0,0,-0.1101589,3.858396,-0.425036659,1.39856e-07,0.002613217,5.43913e-07,0.01009799,,-0.000245704,,0.1287487,,,,,24.28349,-0.004250407
14,24,	03/14/2024 14:05:55.591,366.4596,124.2265,1,6,0,0,0,-0.1163578,3.855968,-0.448671953,1.39856e-07,0.002927777,5.43913e-07,0.01131124,,,,,,,,,24.36897,-0.003584027
15,25,	03/14/2024 14:06:05.592,376.4605,134.2274,1,6,0,0,0,-0.1234941,3.85477,-0.476041352,1.39856e-07,0.003260842,5.43913e-07,0.01259518,,-0.00032868,,,,,,,24.4429867,-0.00044647
16,26,	03/14/2024 14:06:06.470,377.3388,135.1057,1,6,0,0,0,-0.1243153,3.844344,-0.477910778,1.39856e-07,0.003290889,5.43913e-07,0.01271098,,-0.001780485,,,,,,,24.44299,-0.000446439
17,27,	03/14/2024 14:06:06.705,377.5733,135.3402,1,6,0,0,0,-0.1240578,3.855085,-0.478253364,1.39856e-07,0.003299021,5.43913e-07,0.01274231,,,,,,,,,24.44298744,-0.000446439
18,28,	03/14/2024 14:06:16.705,387.5734,145.3403,1,6,0,0,0,-0.1321535,3.851533,-0.508993566,1.39856e-07,0.003654779,5.43913e-07,0.01411288,,-0.000308253,,-0.000706701,-1328.224976,,,,24.54559,0.01878381
19,29,	03/14/2024 14:06:26.706,397.5744,155.3413,1,6,0,0,0,-0.1398745,3.84898,-0.538374153,1.39856e-07,0.004032528,5.43913e-07,0.01556725,,-0.000209163,,0.106252097,,,,,24.63282,0.02379954
20,30,	03/14/2024 14:06:36.707,407.5753,165.3422,1,6,0,0,0,-0.148941,3.846416,-0.572889045,1.39856e-07,0.004433782,5.43913e-07,0.01711112,,-0.000300691,,,9.206433296,,,,24.68207,0.005473495
21,31,	03/14/2024 14:06:46.707,417.5754,175.3423,1,6,0,0,0,-0.1585407,3.843678,-0.609379401,1.39856e-07,0.004860104,5.43913e-07,0.01875026,,-0.00028543,,0.157135397,,,,,24.70170955,-0.004578728
22,32,	03/14/2024 14:06:51.203,422.0713,179.8382,1,6,0,0,0,-0.1623459,3.830252,-0.621825708,1.39856e-07,0.005060615,5.43913e-07,0.01952079,,-0.002023018,,,,,,,24.80461655,-0.003582857
