,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,291,	03/13/2024 22:24:40.237,3097.3979,0.0113,1,14,0,0,0,-1.129457,3.61871,-4.08717734,5.23021e-06,0.1404289,2.06344e-05,0.5409963,,-0.02549783,,,,,,,24.82117671,-0.011936407
1,292,	03/13/2024 22:24:40.730,3097.8907,0.5041,1,14,0,0,0,-0.7235889,3.724754,-2.69519065,5.23021e-06,0.1405832,2.06344e-05,0.5415547,,,,,,,,,24.82117653,-0.011936426
2,293,	03/13/2024 22:24:41.229,3098.3893,1.0027,1,14,0,0,0,-0.493824,3.78509,-1.869168284,5.23021e-06,0.1406833,2.06344e-05,0.5419276,,0.1210353,,-0.001201093,-832.5750732,,,,24.81651,-0.01193643
3,294,	03/13/2024 22:24:41.536,3098.6972,1.3106,1,14,0,0,0,-0.4523668,3.795144,-1.716797147,5.23021e-06,0.1407221,2.06344e-05,0.5420747,,,,,,,,,24.81651306,-0.011936426
4,295,	03/13/2024 22:24:41.732,3098.8932,1.5066,1,14,0,0,0,-0.2838564,3.836051,-1.088887627,5.23021e-06,0.1407469,2.06344e-05,0.5421688,,,,,,,,,24.81651,-0.01193643
5,296,	03/13/2024 22:24:42.230,3099.3909,2.0043,1,14,0,0,0,-0.1762648,3.863517,-0.681002051,5.23021e-06,0.1407861,2.06344e-05,0.5423192,,0.055185489,,-0.001203218,-1678.005005,,,,24.81651,-0.001457334
6,297,	03/13/2024 22:24:42.729,3099.8893,2.5027,1,14,0,0,0,-0.1159735,3.878732,-0.449830126,5.23021e-06,0.1408104,2.06344e-05,0.5424133,,,,,,,,,24.81651306,-0.001457334
7,298,	03/13/2024 22:24:43.233,3100.3941,3.0075,1,14,0,0,0,-0.06477261,3.891626,-0.252070773,5.23021e-06,0.1408255,2.06344e-05,0.5424718,,0.03103004,,-0.001595407,-626.7993164,,,,24.81651306,-0.001457334
8,299,	03/13/2024 22:24:44.236,3101.3965,4.0099,1,14,0,0,0,-0.02218151,3.902337,-0.086559727,5.23021e-06,0.1408396,2.06344e-05,0.5425266,,0.00408008,,-0.001353832,-859.3286743,,,,24.73154,-0.02655327
9,300,	03/13/2024 22:24:54.237,3111.3973,14.0107,1,14,0,0,0,-0.02408504,3.902698,-0.093996637,5.23021e-06,0.1408696,2.06344e-05,0.5426439,,-0.00071481,,-0.001127978,-764.6638184,,,,24.70509365,-0.008259003
