,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/23/2024 19:52:48.714,252.246,10.0001,1,6,0,0,0,-0.03006172,3.884799,-0.11678374,1.07092e-07,4.69842e-06,4.16295e-07,1.82514e-05,,-2.02829e-05,,,,,,,26.28819596,0.004449972
1,11,	03/23/2024 19:52:58.715,262.247,20.0011,1,6,0,0,0,-0.07868481,3.879855,-0.305285654,1.07092e-07,0.000215205,4.16295e-07,0.000835067,,0.001668771,,0.004970587,,,,,26.25294911,-0.006499181
2,12,	03/23/2024 19:53:08.716,272.2471,30.0012,1,6,0,0,0,-0.07742405,3.879871,-0.300395326,1.07092e-07,0.000431821,4.16295e-07,0.001675484,,-3.69041e-05,,,,,,,26.27599502,-0.010959461
3,13,	03/23/2024 19:53:18.716,282.2472,40.0013,1,6,0,0,0,-0.07724094,3.87833,-0.299565855,1.07092e-07,0.000646394,4.16295e-07,0.002507937,,-2.06649e-05,,,22.69728088,,,,26.34328,0.004745722
4,14,	03/23/2024 19:53:28.716,292.2473,50.0014,1,6,0,0,0,-0.07814026,3.879393,-0.303136778,1.07092e-07,0.00086204,4.16295e-07,0.003344508,,,,,,,,,26.32866111,0.004921554
5,15,	03/23/2024 19:53:38.716,302.2473,60.0014,1,6,0,0,0,-0.08013916,3.87871,-0.310836561,1.07092e-07,0.00108149,4.16295e-07,0.004195772,,-0.00026631,,,,,,,26.28725093,-0.019847503
6,16,	03/23/2024 19:53:48.717,312.2485,70.0026,1,6,0,0,0,-0.08234215,3.878657,-0.319376956,1.07092e-07,0.001307152,4.16295e-07,0.005071048,,6.20732e-05,,,,,,,26.34176,0.000985861
7,17,	03/23/2024 19:53:58.718,322.2499,80.004,1,6,0,0,0,-0.08551025,3.877229,-0.331542821,1.07092e-07,0.001540742,4.16295e-07,0.005976982,,,,,,,,,26.36199549,9.85713e-09
8,18,	03/23/2024 19:54:08.719,332.2502,90.0043,1,6,0,0,0,-0.08924007,3.877844,-0.34605907,1.07092e-07,0.001784,4.16295e-07,0.006920296,,-5.0777e-05,,0.317021906,,,,,26.35939219,-0.013650519
9,19,	03/23/2024 19:54:18.720,342.2512,100.0053,1,6,0,0,0,-0.09406471,3.876403,-0.364632724,1.07092e-07,0.00203859,4.16295e-07,0.007907419,,5.75693e-05,,,,,,,26.37889,-0.00597775
10,20,	03/23/2024 19:54:28.720,352.2512,110.0053,1,6,0,0,0,-0.09871674,3.87604,-0.382630033,1.07092e-07,0.002305918,4.16295e-07,0.008943779,,-7.74375e-06,,,,,,,26.40250755,-0.025352642
