,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,217,	03/23/2024 20:26:50.738,2294.2696,10.001,1,8,0,0,0,-0.01243401,3.826416,-0.047577695,3.05217e-07,0.1262667,1.17716e-06,0.4842111,,0.034655839,,,,,,,26.39256859,0.00843284
1,218,	03/23/2024 20:27:00.739,2304.2706,20.002,1,8,0,0,0,-0.07338715,3.821258,-0.280431234,3.05217e-07,0.1264582,1.17716e-06,0.484943,,-0.000343488,,0.008381469,,,,,26.4242,0.01906872
2,219,	03/23/2024 20:27:10.739,2314.2705,30.0019,1,8,0,0,0,-0.07167625,3.820994,-0.273874521,3.05217e-07,0.1266582,1.17716e-06,0.4857073,,0.002792785,,,,,,,26.37514354,-0.007943837
3,220,	03/23/2024 20:27:20.740,2324.2713,40.0027,1,8,0,0,0,-0.07102108,3.821742,-0.271424244,3.05217e-07,0.1268553,1.17716e-06,0.4864605,,,,,,,,,26.45676913,0.013114003
4,221,	03/23/2024 20:27:30.741,2334.2721,50.0035,1,8,0,0,0,-0.07114792,3.821572,-0.271896899,3.05217e-07,0.1270529,1.17716e-06,0.4872156,,-1.28021e-05,,,,,,,26.39422,-0.01017928
5,222,	03/23/2024 20:27:40.742,2344.2731,60.0045,1,8,0,0,0,-0.07284546,3.821532,-0.278381256,3.05217e-07,0.1272533,1.17716e-06,0.4879815,,-0.000571814,,,,,,,26.36409,-0.01438439
6,223,	03/23/2024 20:27:50.742,2354.2734,70.0048,1,8,0,0,0,-0.0748148,3.820637,-0.285840193,3.05217e-07,0.1274586,1.17716e-06,0.488766,,-0.001052721,,,,,,,26.44754136,0.00818826
7,224,	03/23/2024 20:28:00.742,2364.2734,80.0048,1,8,0,0,0,-0.07784367,3.821266,-0.297461369,3.05217e-07,0.1276703,1.17716e-06,0.4895747,,,,,,,,,26.38389,-0.003513694
8,225,	03/23/2024 20:28:10.742,2374.2735,90.0049,1,8,0,0,0,-0.08082676,3.819683,-0.308732601,3.05217e-07,0.1278902,1.17716e-06,0.490415,,-3.29158e-05,,,,,,,26.39906868,-0.000467331
9,226,	03/23/2024 20:28:20.743,2384.2745,100.0059,1,8,0,0,0,-0.08415318,3.820409,-0.321499566,3.05217e-07,0.1281194,1.17716e-06,0.4912909,,0.000251358,,,,,,,26.41723996,-0.000995392
10,227,	03/23/2024 20:28:30.743,2394.2748,110.0062,1,8,0,0,0,-0.08863449,3.819167,-0.338509919,3.05217e-07,0.1283594,1.17716e-06,0.4922075,,-9.51671e-05,,,,,,,26.45131077,0.000711066
11,228,	03/23/2024 20:28:40.744,2404.2755,120.0069,1,8,0,0,0,-0.09318161,3.819247,-0.355883584,3.05217e-07,0.1286111,1.17716e-06,0.493169,,,,,,,,,26.45358,-0.001229644
12,229,	03/23/2024 20:28:50.745,2414.2762,130.0076,1,8,0,0,0,-0.09793472,3.818742,-0.373987429,3.05217e-07,0.1288761,1.17716e-06,0.4941809,,-0.000330234,,,0.0,,,,26.44952587,-0.010451582
13,230,	03/23/2024 20:29:00.746,2424.2775,140.0089,1,8,0,0,0,-0.1033955,3.818088,-0.394773118,3.05217e-07,0.1291555,1.17716e-06,0.4952475,,-8.14346e-05,,0.0,,,,,26.48434,-0.01343727
14,231,	03/23/2024 20:29:10.747,2434.2789,150.0103,1,8,0,0,0,-0.1093645,3.817339,-0.417481371,3.05217e-07,0.1294504,1.17716e-06,0.4963736,,-8.36822e-05,,,,,,,26.50266629,0.010125401
15,232,	03/23/2024 20:29:20.748,2444.2794,160.0108,1,8,0,0,0,-0.1152811,3.814949,-0.439791517,3.05217e-07,0.1297621,1.17716e-06,0.4975634,,-0.000107891,,0.639606178,3.133752108,,,,26.52236,0.009140968
16,233,	03/23/2024 20:29:30.749,2454.2801,170.0115,1,8,0,0,0,-0.1223822,3.815726,-0.466976942,3.05217e-07,0.1300917,1.17716e-06,0.498821,,-0.000352856,,,,,,,26.52782,0.001990199
17,234,	03/23/2024 20:29:40.749,2464.2802,180.0116,1,8,0,0,0,-0.1295986,3.814753,-0.494386648,3.05217e-07,0.1304403,1.17716e-06,0.5001507,,4.93141e-05,,,,,,,26.51177995,-0.001551473
18,235,	03/23/2024 20:29:50.750,2474.2813,190.0127,1,8,0,0,0,-0.1368523,3.813786,-0.521925386,3.05217e-07,0.1308093,1.17716e-06,0.5015585,,-0.000122007,,,,,,,26.53554,0.01140356
19,236,	03/23/2024 20:30:00.751,2484.283,200.0144,1,8,0,0,0,-0.1449356,3.812972,-0.552635385,3.05217e-07,0.1311999,1.17716e-06,0.5030479,,-8.29701e-07,,,,,,,26.55355,0.006428361
20,237,	03/23/2024 20:30:10.752,2494.2837,210.0151,1,8,0,0,0,-0.1535187,3.811923,-0.585201463,3.05217e-07,0.131613,1.17716e-06,0.5046226,,-0.000117597,,0.412638396,,,,,26.52889,-0.01712799
21,238,	03/23/2024 20:30:20.752,2504.2838,220.0152,1,8,0,0,0,-0.1619768,3.810924,-0.617281275,3.05217e-07,0.1320499,1.17716e-06,0.5062881,,8.06102e-06,,,,,,,26.57171,0.01417756
22,239,	03/23/2024 20:30:30.753,2514.2841,230.0155,1,8,0,0,0,-0.1712437,3.809424,-0.652339861,3.05217e-07,0.1325119,1.17716e-06,0.5080481,,-0.000152242,,,,,,,26.54463032,-0.010417454
23,240,	03/23/2024 20:30:40.753,2524.2843,240.0157,1,8,0,0,0,-0.1805525,3.808324,-0.687602419,3.05217e-07,0.1329997,1.17716e-06,0.509906,,-0.000105602,,,,,,,26.55571,0.001755357
24,241,	03/23/2024 20:30:50.754,2534.2851,250.0165,1,8,0,0,0,-0.191103,3.807312,-0.727588745,3.05217e-07,0.133515,1.17716e-06,0.5118684,,-4.07003e-06,,,,,,,26.52162586,0.002505176
25,242,	03/23/2024 20:31:00.754,2544.2852,260.0166,1,8,0,0,0,-0.2012434,3.805197,-0.765770782,3.05217e-07,0.1340589,1.17716e-06,0.5139386,,-0.000143367,,0.384092003,2.51040411,,,,26.51679,-0.009177923
26,243,	03/23/2024 20:31:10.755,2554.2863,270.0177,1,8,0,0,0,-0.2123966,3.80458,-0.808079856,3.05217e-07,0.1346326,1.17716e-06,0.5161216,,-7.9108e-05,,,,,,,26.48652298,-0.005770956
27,244,	03/23/2024 20:31:20.756,2564.2877,280.0191,1,8,0,0,0,-0.2234097,3.805153,-0.85010809,3.05217e-07,0.1352371,1.17716e-06,0.5184209,,-0.000222456,,,,,,,26.50803,0.006673932
28,245,	03/23/2024 20:31:30.756,2574.288,290.0194,1,8,0,0,0,-0.2354059,3.801418,-0.894876226,3.05217e-07,0.1358736,1.17716e-06,0.5208411,,-9.66517e-05,,0.428287715,,,,,26.44459597,-0.009413797
29,246,	03/23/2024 20:31:40.758,2584.2895,300.0209,1,8,0,0,0,-0.3214226,3.793149,-1.219203814,3.05217e-07,0.1366417,1.17716e-06,0.5237577,,0.022638019,,0.097250521,3.711194992,,,,26.431862,0.004448752
30,247,	03/23/2024 20:31:50.760,2594.2913,310.0227,1,8,0,0,0,-0.3566303,3.789299,-1.351378839,3.05217e-07,0.1375819,1.17716e-06,0.5273219,,-0.000166047,,0.117092296,,,,,26.40174,-0.01409829
31,248,	03/23/2024 20:32:00.760,2604.2913,320.0227,1,8,0,0,0,-0.4316339,3.781551,-1.632245606,3.05217e-07,0.138687,1.17716e-06,0.5315048,,-0.000306279,,0.157305703,7.240552902,,,,26.40403,-0.00325501
