,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,136,	03/23/2024 20:11:28.035,1383.2652,0.0097,1,7,0,0,0,-1.129434,3.697616,-4.176213229,0.000266742,0.0624597,0.001037513,0.239442,,-0.166995794,,,,,,,25.57763515,-0.009559806
1,137,	03/23/2024 20:11:28.528,1383.758,0.5025,1,7,0,0,0,-0.9255028,3.730403,-3.452498422,0.000266742,0.06261441,0.001037513,0.2400139,,,,,,,,,25.61976,0.01365781
2,138,	03/23/2024 20:11:28.533,1383.7628,0.5073,1,7,0,0,0,-0.720685,3.751275,-2.703487623,0.000266742,0.06261601,0.001037513,0.2400198,,,,,,,,,25.61976,0.01365781
3,139,	03/23/2024 20:11:29.032,1384.262,1.0065,1,7,0,0,0,-0.4567308,3.787746,-1.729980261,0.000266742,0.06271558,0.001037513,0.2403934,,0.079549588,,-0.000956301,-1045.696045,,,,25.61976,0.01365781
4,140,	03/23/2024 20:11:29.529,1384.7596,1.5041,1,7,0,0,0,-0.2885361,3.810177,-1.099373612,0.000266742,0.06277885,0.001037513,0.2406329,,,,,,,,,25.61976,0.01365781
5,141,	03/23/2024 20:11:30.033,1385.2636,2.0081,1,7,0,0,0,-0.1804867,3.824833,-0.690331486,0.000266742,0.06281915,0.001037513,0.2407865,,0.029079501,,-0.006556681,-358.9341125,,,,25.61976,0.01365781
6,142,	03/23/2024 20:11:30.555,1385.7855,2.53,1,7,0,0,0,-0.1119585,3.835552,-0.429422649,0.000266742,0.06284495,0.001037513,0.2408852,,,,,,,,,25.61976,0.01365781
7,143,	03/23/2024 20:11:32.033,1387.2635,4.008,1,7,0,0,0,-0.0265007,3.845945,-0.101920235,0.000266742,0.06287495,0.001037513,0.2410003,,0.008953686,,-0.00201042,-418.1109924,,,,25.61898,-0.000243187
8,144,	03/23/2024 20:11:42.033,1397.2636,14.0081,1,7,0,0,0,-0.02861881,3.847324,-0.110105835,0.000266742,0.06291815,0.001037513,0.2411666,,0.002254349,,-0.002019375,-344.515686,,,,25.64977806,-0.008490003
9,145,	03/23/2024 20:11:52.034,1407.2645,24.009,1,7,0,0,0,-0.05515289,3.844367,-0.21202795,0.000266742,0.06303657,0.001037513,0.241622,,-0.000445473,,0.01145658,,,,,25.65935,0.00374496
10,146,	03/23/2024 20:12:02.035,1417.2647,34.0092,1,7,0,0,0,-0.07209301,3.842017,-0.27698257,0.000266742,0.06321316,0.001037513,0.2423006,,-0.000105403,,,,,,,25.69802627,0.010144051
11,147,	03/23/2024 20:12:12.035,1427.2656,44.0101,1,7,0,0,0,-0.08383274,3.840419,-0.321952848,0.000266742,0.06342946,0.001037513,0.2431314,,-0.000186966,,0.086332977,,,,,25.72899,0.008445978
12,148,	03/23/2024 20:12:22.036,1437.2665,54.011,1,7,0,0,0,-0.0930872,3.838959,-0.357357944,0.000266742,0.06367492,0.001037513,0.2440738,,-0.005917946,,,,,,,25.73123739,0.016117019
13,149,	03/23/2024 20:12:32.036,1447.2666,64.0111,1,7,0,0,0,-0.100687,3.837693,-0.386405795,0.000266742,0.06394414,0.001037513,0.2451072,,,,,10.11448002,,,,25.73761552,-0.000478459
14,150,	03/23/2024 20:12:42.037,1457.2676,74.0121,1,7,0,0,0,-0.108366,3.83667,-0.415764581,0.000266742,0.06423438,0.001037513,0.2462209,,-0.000240962,,,,,,,25.73429302,-0.001994952
15,151,	03/23/2024 20:12:52.038,1467.2686,84.0131,1,7,0,0,0,-0.1159515,3.835336,-0.444712962,0.000266742,0.06454512,0.001037513,0.2474128,,,,0.206081003,,,,,25.73429298,0.003459399
16,152,	03/23/2024 20:13:02.039,1477.2694,94.0139,1,7,0,0,0,-0.1232319,3.834141,-0.47248848,0.000266742,0.06487664,0.001037513,0.2486841,,-0.000146863,,,,,,,25.76493,0.0158304
17,153,	03/23/2024 20:13:12.040,1487.2703,104.0148,1,7,0,0,0,-0.1313925,3.832705,-0.503588692,0.000266742,0.06523023,0.001037513,0.2500395,,,,,,,,,25.78237,0.01289785
18,154,	03/23/2024 20:13:22.041,1497.2712,114.0157,1,7,0,0,0,-0.1406164,3.831131,-0.538719849,0.000266742,0.06560729,0.001037513,0.2514844,,-0.000192417,,,,,,,25.81239,0.0346899
19,155,	03/23/2024 20:13:32.042,1507.2722,124.0167,1,7,0,0,0,-0.1502342,3.829351,-0.575299484,0.000266742,0.06601001,0.001037513,0.2530269,,-8.25e-05,,0.255250514,,,,,25.73065077,-0.005492762
20,156,	03/23/2024 20:13:42.043,1517.2735,134.018,1,7,0,0,0,-0.1606121,3.827071,-0.61467391,0.000266742,0.06644038,0.001037513,0.2546747,,-0.000164866,,,,,,,25.76401677,-0.006489148
21,157,	03/23/2024 20:13:52.044,1527.274,144.0185,1,7,0,0,0,-0.1713524,3.826362,-0.655656312,0.000266742,0.06690048,0.001037513,0.2564354,,-0.000162232,,,3.779151917,,,,25.72017,-0.005218983
22,158,	03/23/2024 20:14:02.045,1537.275,154.0195,1,7,0,0,0,-0.1834612,3.823256,-0.701419134,0.000266742,0.06739262,0.001037513,0.2583179,,,,0.206137493,,,,,25.75522769,0.00691819
23,159,	03/23/2024 20:14:12.045,1547.275,164.0195,1,7,0,0,0,-0.1964073,3.822036,-0.750675771,0.000266742,0.06791904,0.001037513,0.2603303,,-0.000236841,,,,,,,25.74171652,-0.005219457
24,160,	03/23/2024 20:14:22.045,1557.2751,174.0196,1,7,0,0,0,-0.2100382,3.817621,-0.801846243,0.000266742,0.06848163,0.001037513,0.2624797,,-0.00024101,,0.2794846,,,,,25.77252,-0.007200837
25,161,	03/23/2024 20:14:32.046,1567.2761,184.0206,1,7,0,0,0,-0.2240276,3.818491,-0.855447374,0.000266742,0.06908347,0.001037513,0.2647777,,-0.000265753,,,4.524949074,,,,25.74003,0.001515746
26,162,	03/23/2024 20:14:42.046,1577.2762,194.0207,1,7,0,0,0,-0.2395725,3.814662,-0.913888112,0.000266742,0.06972652,0.001037513,0.2672314,,-0.00015111,,,,,,,25.78449,0.002228022
27,163,	03/23/2024 20:14:52.047,1587.277,204.0215,1,7,0,0,0,-0.2557487,3.811903,-0.974889237,0.000266742,0.07041314,0.001037513,0.2698496,,-0.00016534,,0.265901089,,,,,25.76933304,0.00520882
28,164,	03/23/2024 20:15:02.048,1597.2785,214.023,1,7,0,0,0,-0.2723761,3.808842,-1.037437529,0.000266742,0.0711454,0.001037513,0.2726397,,-0.000414795,,0.265397102,,,,,25.75251024,-0.009711832
29,165,	03/23/2024 20:15:12.049,1607.2796,224.0241,1,7,0,0,0,-0.2905149,3.805784,-1.105636958,0.000266742,0.07192584,0.001037513,0.2756111,,-0.00022055,,,3.549207926,,,,25.80741064,0.008910112
30,166,	03/23/2024 20:15:22.051,1617.2807,234.0252,1,7,0,0,0,-0.3090496,3.802677,-1.175215806,0.000266742,0.07275648,0.001037513,0.278771,,-0.00037691,,0.260021687,,,,,25.80906866,0.007247941
31,167,	03/23/2024 20:15:32.051,1627.2814,244.0259,1,7,0,0,0,-0.328496,3.799376,-1.248079818,0.000266742,0.07364028,0.001037513,0.2821302,,-0.000434079,,,,,,,25.78906461,-0.00648604
32,168,	03/23/2024 20:15:42.052,1637.2824,254.0269,1,7,0,0,0,-0.348608,3.795529,-1.323151774,0.000266742,0.07457913,0.001037513,0.2856955,,-0.000185427,,0.255561203,3.803931952,,,,25.79694168,-0.001514604
33,169,	03/23/2024 20:15:52.052,1647.2826,264.0271,1,7,0,0,0,-0.3698339,3.792422,-1.402566219,0.000266742,0.07557563,0.001037513,0.2894761,,-0.000496053,,0.221218303,,,,,25.78024,-0.000479221
34,170,	03/23/2024 20:16:02.053,1657.2835,274.028,1,7,0,0,0,-0.3920975,3.788025,-1.485275132,0.000266742,0.07663204,0.001037513,0.2934799,,-0.00057674,,0.205221295,,,,,25.78737,0.001983643
35,171,	03/23/2024 20:16:12.055,1667.2851,284.0296,1,7,0,0,0,-0.4146423,3.784212,-1.569094367,0.000266742,0.07775033,0.001037513,0.297714,,-0.000199949,,,3.965130091,,,,25.8136,0.005968809
36,172,	03/23/2024 20:16:22.056,1677.286,294.0305,1,7,0,0,0,-0.4084473,3.784217,-1.545653216,0.000266742,0.07893217,0.001037513,0.302184,,-0.000649961,,0.359792888,,,,,25.81757732,0.005499725
37,173,	03/23/2024 20:16:32.057,1687.2869,304.0314,1,7,0,0,0,-0.3596983,3.790725,-1.363517338,0.000266742,0.0799576,0.001037513,0.3060695,,0.001502343,,-0.052754842,,,,,25.79438,-0.01316845
38,174,	03/23/2024 20:16:42.057,1697.287,314.0315,1,7,0,0,0,-0.3197451,3.795694,-1.213654558,0.000266742,0.0809366,0.001037513,0.309781,,0.000233171,,,-2.855086088,,,,25.78087629,-0.011703983
39,175,	03/23/2024 20:16:52.057,1707.2873,324.0318,1,7,0,0,0,-0.2936878,3.798937,-1.11570145,0.000266742,0.08178508,0.001037513,0.3130029,,0.000240782,,-0.330462903,,,,,25.8238,-0.003213882
40,176,	03/23/2024 20:17:02.058,1717.2878,334.0323,1,7,0,0,0,-0.2746019,3.80167,-1.043945805,0.000266742,0.08257444,0.001037513,0.3160024,,0.000280718,,-0.241684899,,,,,25.81576737,0.00644853
41,177,	03/23/2024 20:17:12.058,1727.2882,344.0327,1,7,0,0,0,-0.2559977,3.80318,-0.973605333,0.000266742,0.08331166,0.001037513,0.3188057,,0.000261944,,,-5.333270073,,,,25.79832094,-0.014644054
42,178,	03/23/2024 20:17:18.576,1733.8057,350.5502,1,7,0,0,0,-0.1907015,3.813588,-0.727256952,0.000266742,0.08375018,0.001037513,0.3204744,,0.003880614,,-0.01580443,,,,,25.83486501,0.019860334
43,179,	03/23/2024 20:17:28.576,1743.806,360.5505,1,7,0,0,0,-0.1389627,3.820153,-0.530858775,0.000266742,0.08420051,0.001037513,0.3221931,,-0.017548669,,-0.045918658,-9.527896881,,,,25.8444,0.01440048
44,180,	03/23/2024 20:17:36.049,1751.2788,368.0233,1,7,0,0,0,-0.2139997,3.810051,-0.815349771,0.000266742,0.0844727,0.001037513,0.3232331,,-0.002920188,,0.017964009,134.4322052,,,,25.77922,-0.01710594
45,181,	03/23/2024 20:17:38.781,1754.0108,370.7553,1,7,0,0,0,-0.2719049,3.799982,-1.033233726,0.000266742,0.08466112,0.001037513,0.3239501,,-0.00447114,,0.01238475,79.96703339,,,,25.84683743,0.021129043
46,182,	03/23/2024 20:17:48.782,1764.0118,380.7563,1,7,0,0,0,-0.3056879,3.796844,-1.160649269,0.000266742,0.08547038,0.001037513,0.3270242,,-0.000509579,,0.1438016,,,,,25.85475,0.001993179
47,183,	03/23/2024 20:17:58.782,1774.0121,390.7566,1,7,0,0,0,-0.3299055,3.792446,-1.251148794,0.000266742,0.08635349,0.001037513,0.3303749,,-0.000498624,,,7.437694073,,,,25.79438,-0.005216599
48,184,	03/23/2024 20:18:08.782,1784.0121,400.7566,1,7,0,0,0,-0.3528833,3.788586,-1.33692873,0.000266742,0.08730134,0.001037513,0.3339675,,-0.000369771,,0.250544697,,,,,25.76646833,-0.007209758
