,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,9,	03/22/2024 23:54:24.744,252.2494,10.001,1,6,0,0,0,-0.04277325,3.883448,-0.166107692,9.74969e-08,8.71603e-06,3.78983e-07,3.38517e-05,,-0.001096963,,,,,,,25.93548476,0.001275749
1,10,	03/22/2024 23:54:34.744,262.25,20.0016,1,6,0,0,0,-0.08396244,3.878761,-0.325670238,9.74969e-08,0.000234531,3.78983e-07,0.000909896,,-0.000633321,,0.004901801,52.43999863,,,,25.87847,-0.004698038
2,11,	03/22/2024 23:54:44.745,272.2509,30.0025,1,6,0,0,0,-0.08220673,3.879011,-0.31888081,9.74969e-08,0.000465038,3.78983e-07,0.00180403,,6.07267e-05,,,,,,,25.86832057,-0.00151697
3,12,	03/22/2024 23:54:54.745,282.2511,40.0027,1,6,0,0,0,-0.08252811,3.878946,-0.320122082,9.74969e-08,0.000693915,3.78983e-07,0.002691799,,5.38152e-05,,,,,,,25.87956227,-0.006394338
4,13,	03/22/2024 23:55:04.745,292.2512,50.0028,1,6,0,0,0,-0.08363438,3.878672,-0.324390328,9.74969e-08,0.00092458,3.78983e-07,0.003586446,,-5.09707e-05,,,,,,,25.83495566,-0.0104266
5,14,	03/22/2024 23:55:14.747,302.2524,60.004,1,6,0,0,0,-0.0857935,3.878326,-0.332735162,9.74969e-08,0.001160112,3.78983e-07,0.004499884,,,,,,,,,25.82722,-0.004931092
6,15,	03/22/2024 23:55:24.747,312.2532,70.0048,1,6,0,0,0,-0.08893204,3.877284,-0.344814776,9.74969e-08,0.001402749,3.78983e-07,0.005440785,,-4.41772e-05,,0.271284699,,,,,25.85743874,0.004987021
7,16,	03/22/2024 23:55:34.748,322.2539,80.0055,1,6,0,0,0,-0.09208584,3.875833,-0.356909338,9.74969e-08,0.001654703,3.78983e-07,0.006417693,,-7.70443e-06,,,,,,,25.84712,0.006981492
8,17,	03/22/2024 23:55:44.749,332.2548,90.0064,1,6,0,0,0,-0.0968895,3.876521,-0.375594181,9.74969e-08,0.001917745,3.78983e-07,0.007437457,,-7.81545e-05,,,,,,,25.83771906,0.006737115
9,18,	03/22/2024 23:55:54.750,342.2559,100.0075,1,6,0,0,0,-0.1020508,3.875215,-0.395468791,9.74969e-08,0.002193692,3.78983e-07,0.008507087,,-8.6743e-05,,,,,,,25.81783,0.006683469
10,19,	03/22/2024 23:56:04.751,352.2567,110.0083,1,6,0,0,0,-0.107378,3.874213,-0.416005244,9.74969e-08,0.002484351,3.78983e-07,0.00963355,,-6.96205e-05,,,,,,,25.80921,0.00967443
11,20,	03/22/2024 23:56:14.753,362.2585,120.0101,1,6,0,0,0,-0.1136284,3.875221,-0.440335162,9.74969e-08,0.002791026,3.78983e-07,0.01082186,,,,,,,,,25.79644,-0.003988147
12,21,	03/22/2024 23:56:24.753,372.2585,130.0101,1,6,0,0,0,-0.1209221,3.873696,-0.468415455,9.74969e-08,0.003115936,3.78983e-07,0.01208057,,-3.97522e-05,,,,,,,25.74731494,0.006683362
13,22,	03/22/2024 23:56:34.753,382.2586,140.0102,1,6,0,0,0,-0.1275682,3.87281,-0.494047401,9.74969e-08,0.003460343,3.78983e-07,0.01341451,,-7.43224e-05,,,0.0,,,,25.77825,0.01535118
14,23,	03/22/2024 23:56:44.754,392.2595,150.0111,1,6,0,0,0,-0.1358299,3.872517,-0.526003597,9.74969e-08,0.003825947,3.78983e-07,0.01483023,,-8.99796e-05,,0.404073596,,,,,25.80787,0.005221367
15,24,	03/22/2024 23:56:54.755,402.2605,160.0121,1,6,0,0,0,-0.1444168,3.871289,-0.559079169,9.74969e-08,0.004214406,3.78983e-07,0.01633405,,5.84815e-06,,,,,,,25.81029,0.02186
16,25,	03/22/2024 23:57:04.755,412.2607,170.0123,1,6,0,0,0,-0.1532898,3.869134,-0.593098777,9.74969e-08,0.00462692,3.78983e-07,0.01793057,,-2.78938e-05,,,,,,,25.7968,0.01488686
17,26,	03/22/2024 23:57:14.756,422.2622,180.0138,1,6,0,0,0,-0.1630449,3.868805,-0.630788924,9.74969e-08,0.005065679,3.78983e-07,0.01962817,,,,,2.1702981,,,,25.79228024,-0.007216113
18,27,	03/22/2024 23:57:24.756,432.2622,190.0138,1,6,0,0,0,-0.1732492,3.867754,-0.670085286,9.74969e-08,0.005532062,3.78983e-07,0.02143208,,-0.000173879,,,,,,,25.78685575,-0.001752431
19,28,	03/22/2024 23:57:34.757,442.2631,200.0147,1,6,0,0,0,-0.1841984,3.866122,-0.712133487,9.74969e-08,0.006027481,3.78983e-07,0.02334769,,-0.000126996,,0.403532892,,,,,25.75024832,-0.00650878
20,29,	03/22/2024 23:57:44.758,452.2641,210.0157,1,6,0,0,0,-0.1955585,3.864728,-0.755780411,9.74969e-08,0.006553824,3.78983e-07,0.02538217,,-0.000166917,,,,,,,25.80855121,0.004745609
21,30,	03/22/2024 23:57:54.759,462.2644,220.016,1,6,0,0,0,-0.2078638,3.862852,-0.802947096,9.74969e-08,0.007112224,3.78983e-07,0.02753977,,-1.05892e-05,,,,,,,25.75549179,0.001754791
22,31,	03/22/2024 23:58:04.760,472.2655,230.0171,1,6,0,0,0,-0.2201786,3.861858,-0.850298488,9.74969e-08,0.007704919,3.78983e-07,0.02982901,,-0.000106126,,,,,,,25.78569,0.007681847
23,32,	03/22/2024 23:58:14.761,482.2669,240.0185,1,6,0,0,0,-0.2332115,3.860135,-0.900227874,9.74969e-08,0.008333354,3.78983e-07,0.03225533,,-0.000203194,,0.396941394,,,,,25.7652342,-0.012368955
