,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,9,	03/13/2024 21:37:35.567,242.2533,0.0122,1,6,0,0,0,-1.127288,3.788281,-4.270483712,2.69307e-10,1.99738e-07,1.04665e-09,7.74524e-07,,-0.008594456,,,,,,,25.49361419,-0.003456473
1,10,	03/13/2024 21:37:36.060,242.7462,0.5051,1,6,0,0,0,-0.7178507,3.821938,-2.743580869,2.69307e-10,0.000154711,1.04665e-09,0.000585851,,0.278425306,,-0.003630935,-275.4111938,,,,25.49184,-0.000554919
2,11,	03/13/2024 21:37:36.559,243.2453,1.0042,1,6,0,0,0,-0.4541426,3.84406,-1.745751403,2.69307e-10,0.000254651,1.04665e-09,0.000967822,,,,,,,,,25.49183846,-0.000554919
3,12,	03/13/2024 21:37:37.062,243.7483,1.5072,1,6,0,0,0,-0.2840242,3.859668,-1.096239116,2.69307e-10,0.0003173,1.04665e-09,0.001208703,,0.031010989,,-0.008889291,-221.3551025,,,,25.49184,-0.000554919
4,13,	03/13/2024 21:37:37.684,244.3702,2.1291,1,6,0,0,0,-0.175931,3.869709,-0.680801774,2.69307e-10,0.000362567,1.04665e-09,0.001383476,,,,,,,,,25.49184,-0.000554919
5,14,	03/13/2024 21:37:38.580,245.2661,3.025,1,6,0,0,0,-0.0638237,3.880139,-0.247644827,2.69307e-10,0.000396175,1.04665e-09,0.001513609,,0.00466828,,-0.00272997,-313.1803894,,,,25.49183846,-0.000554919
6,15,	03/13/2024 21:37:48.581,255.2664,13.0253,1,6,0,0,0,-0.02047062,3.883032,-0.079488073,2.69307e-10,0.000431484,1.04665e-09,0.001650701,,0.001925177,,-0.003304937,,,,,25.50031463,-0.012149099
7,16,	03/13/2024 21:37:58.582,265.2679,23.0268,1,6,0,0,0,-0.04634762,3.881386,-0.179893003,2.69307e-10,0.00052539,1.04665e-09,0.002015278,,-0.000718847,,0.0114542,,,,,25.45399331,-0.002775286
8,17,	03/13/2024 21:38:08.582,275.2681,33.027,1,6,0,0,0,-0.06310844,3.879564,-0.244833232,2.69307e-10,0.00067817,1.04665e-09,0.002608128,,-0.000247561,,,,,,,25.49172,-0.0183779
9,18,	03/13/2024 21:38:18.583,285.2689,43.0278,1,6,0,0,0,-0.07501221,3.8784,-0.290927355,2.69307e-10,0.000870695,1.04665e-09,0.003354927,,-0.000195622,,,,,,,25.48316,-0.002229214
10,19,	03/13/2024 21:38:28.585,295.2705,53.0294,1,6,0,0,0,-0.08394432,3.876029,-0.325370619,2.69307e-10,0.00109172,1.04665e-09,0.004212018,,,,,,,,,25.49743,0.002786517
