,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/21/2024 14:07:54.584,245.2214,3.001,1,6,0,0,0,-0.0603199,3.871957,-0.233556059,2.64618e-10,3.79182e-05,1.02704e-09,0.000146946,,-0.001016099,,0.000682892,,,,,25.11295917,-0.002463273
1,11,	03/21/2024 14:08:04.585,255.2224,13.002,1,6,0,0,0,-0.07427883,3.871572,-0.287575838,2.64618e-10,0.000231052,1.02704e-09,0.00089483,,-0.000210246,,0.006645278,269.5111084,,,,25.10582168,-0.021127872
2,12,	03/21/2024 14:08:14.586,265.224,23.0036,1,6,0,0,0,-0.08084106,3.870378,-0.31288546,2.64618e-10,0.000446927,1.02704e-09,0.00173046,,-0.000209908,,,,,,,25.13683,-0.001987815
3,13,	03/21/2024 14:08:24.586,275.224,33.0036,1,6,0,0,0,-0.08627224,3.86939,-0.333820943,2.64618e-10,0.000678745,1.02704e-09,0.002627546,,9.32488e-06,,,,,,,25.14884937,0.014446213
4,14,	03/21/2024 14:08:34.587,285.225,43.0046,1,6,0,0,0,-0.09031677,3.868565,-0.349396295,2.64618e-10,0.000923882,1.02704e-09,0.003575949,,-0.000183175,,0.1517542,,,,,25.18696556,0.006522019
5,15,	03/21/2024 14:08:44.588,295.226,53.0056,1,6,0,0,0,-0.09486389,3.867716,-0.366906585,2.64618e-10,0.001181178,1.02704e-09,0.004571162,,-0.000145447,,,,,,,25.13060245,0.006048088
6,16,	03/21/2024 14:08:54.589,305.2268,63.0064,1,6,0,0,0,-0.09990788,3.866766,-0.386320394,2.64618e-10,0.001451292,1.02704e-09,0.005615715,,-0.000146965,,,,,,,25.17495,0.007691383
7,17,	03/21/2024 14:09:04.589,315.2271,73.0067,1,6,0,0,0,-0.1048183,3.865726,-0.405198828,2.64618e-10,0.001734933,1.02704e-09,0.006712308,,-0.000119977,,,,,,,25.13754501,-0.003996375
8,18,	03/21/2024 14:09:14.590,325.2278,83.0074,1,6,0,0,0,-0.1105852,3.864944,-0.427405605,2.64618e-10,0.002033856,1.02704e-09,0.007867688,,0.000548027,,,,,,,25.16949431,0.007451062
9,19,	03/21/2024 14:09:24.590,335.228,93.0076,1,6,0,0,0,-0.1170502,3.863605,-0.452235738,2.64618e-10,0.002349553,1.02704e-09,0.00908755,,-0.000271141,,0.258741707,4.824304104,,,,25.13438,-0.005512834
10,20,	03/21/2024 14:09:34.591,345.2287,103.0083,1,6,0,0,0,-0.1243896,3.862268,-0.480425972,2.64618e-10,0.002683979,1.02704e-09,0.01037937,,-0.000202826,,,,,,,25.09228748,-0.008690921
11,21,	03/21/2024 14:09:44.591,355.229,113.0086,1,6,0,0,0,-0.1319351,3.86081,-0.509376353,2.64618e-10,0.003038981,1.02704e-09,0.01175021,,-0.000156459,,,,,,,25.10899,-0.000241399
12,22,	03/21/2024 14:09:54.591,365.2292,123.0088,1,6,0,0,0,-0.1404886,3.858903,-0.54213188,2.64618e-10,0.00341689,1.02704e-09,0.01320896,,-2.09822e-05,,,,,,,25.10582,-0.007682443
13,23,	03/21/2024 14:10:04.592,375.2301,133.0097,1,6,0,0,0,-0.150135,3.857762,-0.579185098,2.64618e-10,0.003819545,1.02704e-09,0.0147626,,-0.000140217,,0.244364902,,,,,25.07633,-0.01067936
14,24,	03/21/2024 14:10:14.593,385.231,143.0106,1,6,0,0,0,-0.1601944,3.855932,-0.617698713,2.64618e-10,0.004248966,1.02704e-09,0.0164188,,-0.000161207,,,,,,,25.13754402,0.014910442
15,25,	03/21/2024 14:10:24.594,395.2318,153.0114,1,6,0,0,0,-0.1707048,3.853565,-0.657822043,2.64618e-10,0.004707424,1.02704e-09,0.01818614,,-8.89888e-05,,,,,,,25.13118,0.008692145
16,26,	03/21/2024 14:10:34.595,405.2327,163.0123,1,6,0,0,0,-0.1819592,3.852028,-0.700911933,2.64618e-10,0.005197069,1.02704e-09,0.02007276,,-0.000175002,,0.264714986,3.721647978,,,,25.13754,0.004462004
17,27,	03/21/2024 14:10:44.595,415.2328,173.0124,1,6,0,0,0,-0.1948204,3.848939,-0.749851836,2.64618e-10,0.00571966,1.02704e-09,0.02208523,,-0.000236961,,,,,,,25.14319,0.002987385
18,28,	03/21/2024 14:10:54.595,425.233,183.0126,1,6,0,0,0,-0.2082653,3.847667,-0.801335522,2.64618e-10,0.006277914,1.02704e-09,0.0242338,,-0.000208609,,,,,,,25.11447935,-0.00099953
19,29,	03/21/2024 14:11:04.595,435.233,193.0126,1,6,0,0,0,-0.2219639,3.844202,-0.853274068,2.64618e-10,0.006873656,1.02704e-09,0.02652524,,-0.000304197,,0.239967003,,,,,25.10656365,-0.004229513
20,30,	03/21/2024 14:11:14.596,445.2339,203.0135,1,6,0,0,0,-0.2366743,3.840904,-0.909043266,2.64618e-10,0.007508962,1.02704e-09,0.02896725,,-0.000321121,,,4.046940804,,,,25.10336,0.000472665
