,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,1006,	03/21/2024 16:57:27.740,10418.3776,3.7641,1,18,0,0,0,-0.06067753,3.874756,-0.235110623,0.1940848,0.198001,0.7537166,0.7558086,,-0.002471477,,0.00060032,,,,,25.27600071,0.003219989
1,1007,	03/21/2024 16:57:37.740,10428.3777,13.7642,1,18,0,0,0,-0.0713501,3.875467,-0.276514958,0.1940848,0.1981879,0.7537166,0.7565328,,-0.000188331,,0.01032224,208.7967987,,,,25.33815131,0.008212278
2,1008,	03/21/2024 16:57:47.740,10438.3779,23.7644,1,18,0,0,0,-0.07773018,3.875028,-0.301206624,0.1940848,0.1983953,0.7537166,0.7573366,,-0.000168683,,,,,,,25.32427,-0.002057552
3,1009,	03/21/2024 16:57:57.741,10448.3787,33.7652,1,18,0,0,0,-0.08226013,3.873409,-0.318627128,0.1940848,0.1986173,0.7537166,0.7581965,,-7.96954e-05,,,,,,,25.27093559,0.002464011
4,1010,	03/21/2024 16:58:07.741,10458.379,43.7655,1,18,0,0,0,-0.08647633,3.872217,-0.334855115,0.1940848,0.1988517,0.7537166,0.7591042,,-9.80523e-05,,,,,,,25.31094,-0.001704097
5,1011,	03/21/2024 16:58:17.741,10468.379,53.7655,1,18,0,0,0,-0.09071636,3.871564,-0.351214194,0.1940848,0.1990976,0.7537166,0.7600562,,3.53222e-05,,0.215098694,,,,,25.24859,-0.008978248
6,1012,	03/21/2024 16:58:27.742,10478.38,63.7665,1,18,0,0,0,-0.0948801,3.87063,-0.367245761,0.1940848,0.1993552,0.7537166,0.7610536,,-9.31508e-05,,,,,,,25.26531,-0.01067698
7,1013,	03/21/2024 16:58:37.743,10488.3809,73.7674,1,18,0,0,0,-0.10007,3.869805,-0.387251386,0.1940848,0.1996256,0.7537166,0.7620999,,-6.78424e-05,,,,,,,25.24617,0.009444356
8,1014,	03/21/2024 16:58:47.743,10498.3809,83.7674,1,18,0,0,0,-0.1051159,3.86901,-0.406694468,0.1940848,0.1999097,0.7537166,0.7631993,,-0.000377654,,,,,,,25.19283,-0.01191795
9,1015,	03/21/2024 16:58:57.743,10508.381,93.7675,1,18,0,0,0,-0.1108837,3.867867,-0.428883404,0.1940848,0.2002096,0.7537166,0.7643592,,4.9985e-05,,,,,,,25.18647,-0.005275607
10,1016,	03/21/2024 16:59:07.744,10518.3819,103.7684,1,18,0,0,0,-0.1171732,3.866265,-0.453022642,0.1940848,0.2005267,0.7537166,0.7655856,,-0.00010288,,,,,,,25.1579154,-0.000523376
11,1017,	03/21/2024 16:59:17.744,10528.3821,113.7686,1,18,0,0,0,-0.1244555,3.865482,-0.481080495,0.1940848,0.2008628,0.7537166,0.7668849,,-0.000132078,,0.313590705,3.992405891,,,,25.10609,-0.01918256
12,1018,	03/21/2024 16:59:27.746,10538.3837,123.7702,1,18,0,0,0,-0.132473,3.864235,-0.511906803,0.1940848,0.2012198,0.7537166,0.7682648,,-0.000142681,,,,,,,25.13572473,0.003518831
13,1019,	03/21/2024 16:59:37.746,10548.3839,133.7704,1,18,0,0,0,-0.1413879,3.862875,-0.546163784,0.1940848,0.2015994,0.7537166,0.7697313,,-3.31134e-05,,,,,,,25.1015514,-0.016138357
14,1020,	03/21/2024 16:59:47.747,10558.3848,143.7713,1,18,0,0,0,-0.1504841,3.861409,-0.581080658,0.1940848,0.2020038,0.7537166,0.7712929,,-0.00028221,,,,,,,25.11523424,0.005274201
15,1021,	03/21/2024 16:59:57.747,10568.385,153.7715,1,18,0,0,0,-0.1601467,3.859772,-0.618129749,0.1940848,0.2024347,0.7537166,0.7729564,,-0.00019964,,0.265551299,,,,,25.09122,-0.005750656
16,1022,	03/21/2024 17:00:07.748,10578.3859,163.7724,1,18,0,0,0,-0.1709051,3.857348,-0.659240446,0.1940848,0.2028942,0.7537166,0.7747294,,-6.83956e-05,,,,,,,25.07786573,-0.009157028
17,1023,	03/21/2024 17:00:17.748,10588.3859,173.7724,1,18,0,0,0,-0.1821117,3.855073,-0.702053898,0.1940848,0.2033839,0.7537166,0.776618,,-9.5154e-05,,0.233728796,3.839737892,,,,25.0778656,0.010970034
18,1024,	03/21/2024 17:00:27.748,10598.386,183.7725,1,18,0,0,0,-0.1938267,3.853391,-0.746890061,0.1940848,0.2039064,0.7537166,0.778632,,-0.000218903,,,,,,,25.10828369,-0.000709178
19,1025,	03/21/2024 17:00:37.748,10608.3861,193.7726,1,18,0,0,0,-0.2066984,3.851526,-0.796104262,0.1940848,0.2044631,0.7537166,0.7807769,,-0.000111914,,,,,,,25.07861167,0.004695004
20,1026,	03/21/2024 17:00:47.748,10618.3862,203.7727,1,18,0,0,0,-0.2202625,3.849552,-0.847911947,0.1940848,0.2050561,0.7537166,0.7830601,,-9.42562e-05,,0.287449092,,,,,25.06678402,0.000185416
21,1027,	03/21/2024 17:00:57.749,10628.3873,213.7738,1,18,0,0,0,-0.2344332,3.847121,-0.901892887,0.1940848,0.2056874,0.7537166,0.7854895,,-0.000123481,,,,,,,25.0399,-0.004937649
22,1028,	03/21/2024 17:01:07.749,10638.3873,223.7738,1,18,0,0,0,-0.248827,3.844277,-0.956559913,0.1940848,0.2063586,0.7537166,0.7880707,,-0.000304077,,,3.817851067,,,,25.03990173,0.002755446
23,1029,	03/21/2024 17:01:17.750,10648.3875,233.774,1,18,0,0,0,-0.2647514,3.841868,-1.017139932,0.1940848,0.2070722,0.7537166,0.7908132,,-0.000241672,,0.295296609,,,,,25.03596,0.001231432
24,1030,	03/21/2024 17:01:27.751,10658.3884,243.7749,1,18,0,0,0,-0.2812204,3.838681,-1.079515406,0.1940848,0.2078298,0.7537166,0.7937226,,-0.000201439,,0.193549499,,,,,25.01773,0.000475645
