,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,10,	03/24/2024 12:14:23.361,252.246,10.0002,1,6,0,0,0,-0.0611124,3.881902,-0.237232348,1.1346e-07,1.64e-05,4.4103e-07,6.36779e-05,,-0.000178128,,,,,,,26.24105283,0.010205514
1,11,	03/24/2024 12:14:33.363,262.2471,20.0013,1,6,0,0,0,-0.09245014,3.878459,-0.358564078,1.1346e-07,0.000268593,4.4103e-07,0.001041868,,-0.000187717,,0.004095257,85.03117371,,,,26.24696,-0.008975863
2,12,	03/24/2024 12:14:43.363,272.2478,30.002,1,6,0,0,0,-0.09167385,3.878122,-0.355522375,1.1346e-07,0.0005236,4.4103e-07,0.002030847,,,,,,,,,26.26461,-0.02010405
3,13,	03/24/2024 12:14:53.363,282.2478,40.002,1,6,0,0,0,-0.09187126,3.87835,-0.356308901,1.1346e-07,0.000778259,4.4103e-07,0.003018413,,-1.89249e-05,,,,,,,26.23248,-0.001767874
4,14,	03/24/2024 12:15:03.365,292.2491,50.0033,1,6,0,0,0,-0.09360313,3.877684,-0.36296336,1.1346e-07,0.001036359,4.4103e-07,0.004019236,,7.6653e-06,,,,,,,26.26513,0.01741171
5,15,	03/24/2024 12:15:13.365,302.2495,60.0037,1,6,0,0,0,-0.09676456,3.878574,-0.375308507,1.1346e-07,0.001301142,4.4103e-07,0.005045864,,-7.33389e-05,,0.246676907,,,,,26.24279426,0.016880637
6,16,	03/24/2024 12:15:23.366,312.2505,70.0047,1,6,0,0,0,-0.1004648,3.876625,-0.389464355,1.1346e-07,0.001575205,4.4103e-07,0.006108338,,6.00585e-05,,,,,,,26.19177,-0.01464367
7,17,	03/24/2024 12:15:33.366,322.2508,80.005,1,6,0,0,0,-0.1053915,3.875161,-0.408409031,1.1346e-07,0.001860824,4.4103e-07,0.007215444,,-9.19455e-05,,,,,,,26.2146,0.01096129
8,18,	03/24/2024 12:15:43.367,332.2518,90.006,1,6,0,0,0,-0.1107178,3.874914,-0.429021953,1.1346e-07,0.002160741,4.4103e-07,0.00837778,,,,,,,,,26.21214,0.01066148
9,19,	03/24/2024 12:15:53.367,342.2519,100.0061,1,6,0,0,0,-0.1167736,3.873665,-0.452341807,1.1346e-07,0.002476787,4.4103e-07,0.0096024,,-3.04269e-06,,,,,,,26.18911,0.002993941
10,20,	03/24/2024 12:16:03.368,352.2525,110.0067,1,6,0,0,0,-0.1241713,3.874987,-0.481162173,1.1346e-07,0.002811198,4.4103e-07,0.0108979,,-8.69861e-05,,,,,,,26.16355,-0.001706481
11,21,	03/24/2024 12:16:13.369,362.2535,120.0077,1,6,0,0,0,-0.1319771,3.872775,-0.511117613,1.1346e-07,0.00316606,4.4103e-07,0.01227233,,-0.000569459,,,,,,,26.12231,-0.001695752
