,Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,TC_Counter1,TC_Counter2,TC_Counter3,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,Aux_Temperature_1 (C),Aux_dT/dt_1 (C/s)
0,101,	03/23/2024 12:15:04.132,1153.2495,10.0008,1,7,0,0,0,-0.05332661,3.852678,-0.205450257,2.06e-07,0.06394789,7.96e-07,0.2458926,,0.000583828,,,,,,,26.1160589,-0.008196108
1,102,	03/23/2024 12:15:14.133,1163.2499,20.0012,1,7,0,0,0,-0.08854198,3.849619,-0.340852889,2.06e-07,0.06418847,7.96e-07,0.2468188,,0.008045297,,0.005741717,,,,,26.08419832,-0.011419026
2,103,	03/23/2024 12:15:24.133,1173.2506,30.0019,1,7,0,0,0,-0.08771801,3.849864,-0.337702409,2.06e-07,0.06443261,7.96e-07,0.2477587,,,,,,,,,26.1247,0.003985763
3,104,	03/23/2024 12:15:34.134,1183.2515,40.0028,1,7,0,0,0,-0.08774376,3.850251,-0.3378355,2.06e-07,0.06467595,7.96e-07,0.2486956,,-4.88e-05,,,,,,,26.08104,-0.003743768
4,105,	03/23/2024 12:15:44.134,1193.2515,50.0028,1,7,0,0,0,-0.08918095,3.850324,-0.343375552,2.06e-07,0.06492195,7.96e-07,0.2496427,,-1.53e-05,,,,,,,26.11362,0.02032518
5,106,	03/23/2024 12:15:54.135,1203.2525,60.0038,1,7,0,0,0,-0.09207058,3.850099,-0.354480848,2.06e-07,0.06517379,7.96e-07,0.2506123,,-2.52e-05,,,,,,,26.05417,-0.01834333
6,107,	03/23/2024 12:16:04.136,1213.2527,70.004,1,7,0,0,0,-0.09538841,3.84881,-0.367131866,2.06e-07,0.06543385,7.96e-07,0.2516134,,-4.16e-05,,,,,,,25.99554,-0.009194016
7,108,	03/23/2024 12:16:14.136,1223.2535,80.0048,1,7,0,0,0,-0.09947872,3.849916,-0.382984716,2.06e-07,0.06570436,7.96e-07,0.2526546,,-6.06e-05,,,,,,,26.02567261,0.000178124
8,109,	03/23/2024 12:16:24.137,1233.2544,90.0057,1,7,0,0,0,-0.1049337,3.847808,-0.40376473,2.06e-07,0.0659878,7.96e-07,0.2537455,,,,,,,,,26.00114,-0.00222683
9,110,	03/23/2024 12:16:34.138,1243.2552,100.0065,1,7,0,0,0,-0.1100559,3.848083,-0.423504238,2.06e-07,0.06628591,7.96e-07,0.2548927,,6.13e-05,,,,,,,26.0179785,0.003457609
10,111,	03/23/2024 12:16:44.138,1253.2555,110.0068,1,7,0,0,0,-0.1164312,3.847587,-0.447979172,2.06e-07,0.06660064,7.96e-07,0.2561037,,-7.64e-05,,,4.175109863,,,,25.9775,0.000754595
11,112,	03/23/2024 12:16:54.139,1263.2565,120.0078,1,7,0,0,0,-0.1238136,3.846766,-0.476281947,2.06e-07,0.06693393,7.96e-07,0.2573857,,2.17e-05,,0.428349406,,,,,25.93566173,0.004266465
